"sample.depths","sample.ages","upland.sum","Pinus.Strobus","Pinus.banksiana.P..resinosa","Picea","Abies","Tsuga","Larix","Juniperus.Thuja","Quercus","Fagus","Carya","Juglans.cinerea","Acer.rubrum","Acer.saccharum","Betula","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Salix","Tilia","Ostrya.Carpinus","Ulmus","Platanus","Alnus","Ericaceae","Corylus","Myrica","Ilex.Nemopanthus","Cyperaceae","Poaceae","Chenopodiaceae.Amaranthaceae","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Artemisia","Rumex","Thalictrum","Rosaceae","Celtis","Vitis","Polygonum.lapathifolium","Polygonum.undiff.","Apiaceae","Juglans.nigra","Lamiaceae"
1,19,519,104,35,14,6,13,0,10,31,18,2,0,0,16,148,1,1,2,0,6,9,2,16,4,0,0,2,5,8,7,49,1,6,3,0,0,0,0,0,0,0,0,0
4,164,539,112,16,14,3,20,4,1,37,35,0,0,0,22,153,3,1,0,0,7,8,0,18,3,0,0,3,4,15,4,48,2,2,4,0,0,0,0,0,0,0,0,0
9,404,609,129,22,14,5,27,0,6,33,40,2,0,0,21,210,2,0,0,1,10,9,0,16,4,1,1,2,1,8,2,33,3,6,0,0,0,1,0,0,0,0,0,0
12,549,583,135,14,14,6,25,7,11,34,24,2,2,0,38,187,2,3,0,1,14,8,1,12,0,1,1,1,7,6,2,12,0,11,0,0,0,0,1,0,0,1,0,0
59,2812,429,112,10,8,2,21,1,1,19,20,0,0,0,17,173,0,2,0,0,7,6,0,9,1,0,0,1,5,4,1,5,2,2,0,0,0,0,0,0,0,0,0,0
67,3198,569,146,28,7,4,34,1,0,32,34,2,1,0,16,203,2,1,0,0,11,13,1,12,1,0,0,6,3,1,0,4,1,4,0,1,0,0,0,0,0,0,0,0
77,3679,611,201,20,7,2,33,0,2,32,12,1,0,1,21,223,1,0,0,2,8,5,0,7,0,0,0,2,10,4,1,8,6,2,0,0,0,0,0,0,0,0,0,0
87,4161,434,116,31,8,4,15,1,2,28,9,0,0,0,10,178,1,1,0,0,10,2,0,6,0,0,0,0,2,4,0,3,0,2,0,0,0,0,0,1,0,0,0,0
97,4642,486,152,43,7,5,19,1,1,28,7,0,0,1,8,172,1,0,1,1,5,6,0,7,0,0,0,2,9,3,0,5,1,1,0,0,0,0,0,0,0,0,0,0
107,5124,481,156,20,8,2,17,0,0,39,8,0,0,0,15,167,2,0,0,1,5,6,0,6,0,3,0,0,11,3,1,5,2,3,0,0,0,0,0,0,1,0,0,0
117,5606,432,122,28,7,4,20,0,1,33,7,0,0,2,12,151,0,1,1,1,10,2,1,8,1,0,0,1,11,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
127,6087,425,154,27,4,3,15,0,0,28,4,0,0,0,13,134,3,0,0,0,6,7,0,6,0,0,0,1,11,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0
133,6376,423,154,19,4,2,15,0,3,28,1,0,0,1,10,124,0,0,2,0,12,8,1,9,1,1,0,1,14,3,1,7,1,1,0,0,0,0,0,0,0,0,0,0
138,6617,481,298,57,10,3,6,2,0,26,1,1,0,0,3,36,0,0,0,1,7,6,0,1,0,0,0,0,9,1,3,8,0,2,0,0,0,0,0,0,0,0,0,0
142,NA,437,274,38,3,2,7,0,1,29,1,0,1,0,4,33,0,1,0,0,6,11,3,1,0,1,0,0,9,2,2,6,0,2,0,0,0,0,0,0,0,0,0,0
153,NA,444,158,28,6,2,20,0,2,30,2,0,0,0,18,115,3,2,0,0,9,9,1,8,0,2,0,1,9,5,0,8,2,4,0,0,0,0,0,0,0,0,0,0
157,NA,368,190,41,7,0,5,1,1,25,1,1,0,1,2,29,0,5,0,0,2,13,0,4,0,2,0,0,19,5,1,9,1,2,0,0,0,0,0,1,0,0,0,0
160,NA,363,198,59,1,0,8,0,5,20,0,0,0,0,1,22,0,2,1,0,4,7,0,2,0,1,0,0,15,8,0,2,1,5,0,0,0,0,0,0,0,0,0,1
163,NA,366,210,53,4,0,3,0,3,14,0,2,0,0,1,30,1,1,0,0,2,7,0,2,0,4,0,0,15,1,2,8,3,0,0,0,0,0,0,0,0,0,0,0
167,NA,431,222,68,8,2,6,0,1,25,0,0,0,0,2,38,4,0,0,0,6,12,2,2,0,1,0,0,18,5,1,3,2,1,0,0,0,0,0,0,0,0,1,1
