"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Prunus.pensylvanica","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Salix.undiff.","Acer.rubrum","Fraxinus.pennsylvanica.type","Fabaceae.undiff.","Ranunculaceae.undiff.","Thalictrum","Rosaceae.undiff.","Brassicaceae","Castanea.dentata","Tsuga.canadensis","Picea.glauca.type","Taxus","Plantago","Acer.pensylvanicum","Caryophyllaceae","Juglans.cinerea","Sambucus","Larix","Tilia","Amaranthaceae","Ephedra","Viburnum.opulus","Arceuthobium.pusillum","Viburnum.edule","Apiaceae","Salix.vestita.type","Onagraceae","Polygonaceae.undiff.","Shepherdia.canadensis","Liliaceae","Saxifraga.cernua.type","cf..Oxyria.digyna","Salix.herbacea.type","Populus.grandidentata.type","Rosaceae.cf..Prunus.serotina","Saxifraga.oppositifolia.type","Sanguisorba.canadensis","Oxytropis.maydelliana.type","Prunus.undiff.","Asteraceae.subf..Cichorioideae","Campanula.type","Rubus.chamaemorus","Koenigia.islandica","Armeria.maritima","cf..Sarcobatus.vermiculatus","Polygonum.undiff.","Polygonum.viviparum","Dryas","Rhamnus.Vitis","Viburnum.nudum"
0,0,597,1,34,19,9,1,322,1,3,4,2,1,48,11,1,2,2,1,2,2,21,48,2,1,7,2,4,6,1,7,2,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,441,629,0,29,13,2,0,317,4,1,13,2,0,61,34,0,3,9,2,7,1,4,29,1,0,3,0,6,12,0,0,3,55,0,1,1,1,1,1,2,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,911,626,0,62,12,0,3,327,5,1,9,2,0,51,7,0,0,4,0,3,0,4,41,3,0,11,1,7,17,0,0,0,43,1,0,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1833,640,0,39,7,0,0,317,2,0,10,3,0,37,86,0,2,10,0,3,1,4,18,7,0,0,1,8,32,0,1,6,38,0,1,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2764,838,0,38,13,1,3,432,3,0,15,3,0,69,27,0,0,7,1,4,1,5,59,12,0,4,0,11,50,1,0,0,59,0,3,3,1,0,0,0,0,0,7,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3937,974,0,54,5,0,1,561,2,0,16,5,1,75,26,0,2,12,1,5,0,7,52,8,1,10,2,9,67,0,0,2,34,1,0,1,0,0,1,1,1,0,3,0,3,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5107,793,0,50,19,2,1,471,4,0,6,5,0,61,15,0,1,13,0,7,0,1,35,4,0,6,2,4,36,0,0,0,39,1,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6251,696,1,26,13,0,0,394,2,0,4,4,0,51,22,0,3,6,0,2,0,0,33,6,0,6,0,13,68,0,0,1,11,0,0,2,0,0,0,1,0,0,19,0,4,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,6823,575,0,15,14,0,1,346,4,2,3,4,0,19,33,0,3,4,0,6,0,1,20,4,0,0,0,25,48,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7461,1269,0,8,25,1,2,775,9,4,4,12,1,59,36,0,4,22,1,9,0,6,36,4,3,5,3,17,143,1,0,0,48,4,2,2,0,0,0,0,0,0,19,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,8365,483,1,4,16,0,0,280,1,2,1,3,1,21,34,0,3,6,1,5,1,0,19,1,0,0,0,9,39,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,5,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,9268,687,0,14,57,0,0,352,2,2,0,6,0,33,26,2,12,18,2,8,1,4,38,1,1,6,5,22,45,0,0,2,18,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,9810,432,0,1,88,1,0,182,3,0,0,2,1,21,13,1,2,10,0,2,4,1,40,2,0,0,0,26,16,0,0,0,8,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,10352,860,0,52,290,2,2,202,14,0,0,4,0,73,8,2,17,18,3,4,4,7,32,0,0,10,3,43,33,0,0,0,25,4,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,10533,901,1,66,358,0,0,195,8,1,0,2,0,68,9,5,21,20,5,3,2,9,4,2,0,6,6,38,26,0,0,1,25,7,0,1,0,0,0,1,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,10605,729,0,1,205,2,2,202,21,4,0,0,1,58,17,2,31,14,3,9,21,14,0,0,1,1,0,34,16,0,0,0,44,11,0,1,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,10642,610,0,2,142,0,2,159,24,3,0,2,0,28,19,3,22,21,5,5,26,12,0,2,0,2,0,16,37,0,0,6,48,9,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,10678,796,0,1,166,0,1,257,34,8,0,3,0,43,17,3,31,18,7,8,54,3,2,0,0,1,0,29,32,0,0,5,37,23,0,3,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,10714,750,0,1,115,2,4,234,39,7,0,1,1,53,12,9,39,24,4,11,59,12,4,1,1,0,0,13,29,0,0,14,32,22,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,10786,515,0,0,31,0,5,195,40,1,0,1,0,26,5,3,31,15,3,6,39,17,1,3,0,2,1,15,26,0,0,5,13,23,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,10822,716,0,0,37,0,5,236,53,4,0,2,2,37,9,8,50,17,6,9,71,29,2,3,0,3,0,10,39,0,0,17,17,22,0,6,0,0,0,0,0,0,3,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,10895,468,0,0,13,0,3,169,50,3,1,1,1,11,7,8,57,7,3,4,41,15,1,2,0,1,0,7,22,0,0,8,11,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,11246,505,1,0,13,0,7,181,57,1,0,5,0,7,7,7,59,16,4,5,28,10,1,0,1,1,0,12,29,0,0,2,6,37,1,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
