"sample.depths","sample.ages","upland.sum","Acer.negundo","Betula","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Platanus","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Ambrosia","Fraxinus.americana.type","Pinus","Populus","Amaranthaceae","Plantago","Acer.saccharum","Artemisia","Carya","Corylus","Impatiens","Asteraceae.subf..Cichorioideae","Rumex","Tsuga","Alnus","Brassicaceae","Ranunculus","Zea.mays","Onagraceae","Lamiaceae","Fraxinus.nigra","Abies","Shepherdia.canadensis","Thalictrum","Caryophyllaceae","Humulus","Larix","Myrica","Iva.annua","Iva.xanthifolia","Apiaceae"
1,-25,286,5,27,4,4,4,8,20,1,1,3,3,3,89,5,2,2,3,1,49,8,19,19,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,324,908,13,25,0,13,2,2,489,1,0,1,3,0,50,8,1,12,20,1,165,2,41,14,11,2,8,1,1,2,1,3,6,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,501,384,1,6,5,4,10,2,89,1,0,1,4,3,26,0,15,14,13,0,80,2,57,4,8,0,6,2,3,0,0,1,0,17,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,590,377,1,7,2,11,4,3,111,0,0,3,5,1,12,1,4,2,21,0,32,2,104,2,6,1,2,1,3,2,0,0,5,16,7,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
170,722,262,1,6,1,1,8,2,49,0,0,2,8,0,7,0,7,3,15,0,2,0,67,2,3,0,12,3,1,0,0,0,0,54,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
180,766,318,0,13,1,1,9,12,95,0,2,5,2,0,25,0,4,2,21,0,0,3,68,2,2,0,8,0,1,0,0,0,5,19,7,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0
190,811,394,0,12,2,7,19,1,172,1,0,4,1,0,19,1,9,3,8,1,4,1,78,0,0,0,7,2,1,0,0,0,3,30,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
200,855,312,1,17,2,8,11,3,83,0,0,3,1,2,19,1,6,2,8,0,6,1,70,4,2,0,8,0,3,0,0,0,4,39,1,3,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0
210,899,378,0,13,1,8,8,3,164,2,0,4,1,1,43,0,1,2,9,0,0,0,86,0,1,0,7,0,4,0,0,0,0,7,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
220,943,364,0,15,3,4,9,7,141,2,0,14,0,0,47,1,1,1,10,0,0,0,60,2,1,0,3,0,5,1,0,0,0,13,17,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
230,987,495,0,18,1,2,2,5,286,0,0,8,1,2,47,0,3,2,9,0,0,3,79,0,0,0,4,0,1,1,0,0,0,8,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
240,1032,394,0,23,2,4,9,3,184,3,0,6,0,4,35,1,2,2,13,0,1,2,67,0,0,0,8,0,2,1,0,0,0,12,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
260,1120,271,1,17,1,3,13,6,62,0,0,5,2,1,39,0,2,0,11,0,1,5,74,1,0,0,10,0,1,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
305,1319,451,0,8,0,31,11,4,216,4,0,8,0,4,19,0,5,0,12,0,0,4,91,1,0,0,9,0,3,1,0,0,0,7,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
340,1474,395,1,15,1,4,37,5,181,4,0,7,2,4,25,0,1,1,11,0,2,2,55,1,1,0,15,1,5,0,0,0,0,9,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
380,1650,529,0,10,3,1,21,11,317,2,0,4,0,3,49,0,3,0,13,0,0,5,48,2,0,0,13,0,2,0,0,0,0,10,5,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
