"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Plantago.major","Platanus","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Zea.mays","Alnus","Ambrosia","Fraxinus","Populus","Brassicaceae","Iva.xanthifolia","Acer.saccharum","Pinus.strobus","Castanea","Cephalanthus","Juglans.cinerea","Fabaceae","Ilex.Nemopanthus","Apiaceae","Juglans.nigra","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Corylus","Thalictrum","Acer.rubrum","Rumex","Sambucus","Vitis","Acer.negundo","Rhus","Ericaceae","Cornus.canadensis","Sarcobatus.vermiculatus","Iva.annua","Lamiaceae","Dryas","Morus","Urtica","Shepherdia.canadensis"
1,-16,483,1,9,80,8,6,8,2,14,38,1,8,9,17,2,1,50,3,3,8,5,29,1,17,71,2,2,1,5,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14,632,5,2,65,4,3,8,7,10,50,1,14,14,19,0,0,53,1,2,10,4,27,0,17,76,8,14,0,0,9,202,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,47,563,2,4,73,4,3,12,6,10,39,3,22,10,25,0,0,44,1,2,18,4,26,0,20,67,2,19,0,1,17,120,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,80,442,0,2,71,4,0,4,0,25,8,1,15,6,14,0,0,77,0,5,24,4,19,0,11,18,5,4,0,0,17,105,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,113,445,2,1,75,3,0,3,3,20,6,3,17,6,6,0,2,78,0,2,37,1,18,0,18,7,12,0,0,0,8,115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,289,433,0,0,54,5,1,1,0,25,0,2,14,11,2,0,2,94,0,2,52,0,22,0,5,1,10,0,0,1,16,105,0,0,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,608,439,1,0,77,7,0,5,4,26,2,5,12,9,7,0,0,95,0,3,34,2,23,0,4,1,8,3,0,0,18,86,1,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,927,433,0,2,62,3,1,5,1,43,0,3,18,3,10,0,2,90,2,3,42,1,23,0,4,3,13,0,0,0,29,62,2,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1246,452,0,0,82,1,0,0,4,72,0,1,19,3,9,0,2,95,1,2,30,1,21,0,6,0,15,1,0,0,17,67,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1565,422,1,0,73,8,0,3,1,56,0,1,15,4,3,0,0,85,2,3,29,1,21,0,7,0,19,0,0,0,27,58,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
100,1884,450,3,0,52,2,0,0,0,66,1,2,5,7,6,0,3,77,0,8,28,2,27,0,10,0,14,0,0,0,37,97,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2203,422,1,0,65,7,0,0,3,48,0,3,13,3,6,0,3,92,0,4,34,1,29,0,4,1,21,0,0,0,18,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2522,451,1,1,69,12,0,1,4,48,1,1,18,3,2,0,3,129,0,7,33,1,27,0,2,2,13,0,0,1,28,39,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
130,2841,408,0,0,63,4,0,0,1,77,0,0,15,0,4,0,1,98,0,6,25,0,37,0,3,2,11,0,0,0,28,29,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
140,3160,408,0,1,58,8,0,0,2,68,0,1,16,3,8,0,4,61,0,9,31,0,39,0,9,0,15,0,0,0,20,49,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
150,3479,424,2,3,73,2,1,0,1,101,1,2,19,0,7,0,1,49,1,14,15,0,48,0,7,2,11,0,0,0,33,29,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3798,400,1,1,83,3,1,0,1,86,0,1,14,1,5,0,2,55,1,7,31,0,24,0,4,0,13,0,1,0,23,33,0,0,1,0,0,0,0,0,0,1,0,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0
170,4117,412,0,1,63,5,1,0,2,85,0,2,14,3,6,0,2,53,1,9,27,0,26,0,6,1,28,0,0,1,36,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4436,464,1,3,66,10,0,2,1,84,1,1,11,4,7,0,0,77,0,13,28,1,43,0,6,3,13,2,0,0,36,46,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,4914,486,0,1,68,7,0,5,1,80,0,1,13,1,9,0,1,97,0,12,23,0,45,0,6,0,9,0,0,0,47,56,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,5074,433,0,0,70,7,2,1,0,59,0,0,24,3,8,0,3,97,0,12,20,0,31,0,4,2,15,0,0,1,27,34,0,2,6,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
210,5319,497,0,1,54,7,1,0,1,70,0,3,11,3,2,0,6,50,0,17,121,1,42,0,4,1,25,0,0,0,31,40,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5565,475,0,2,63,12,0,1,1,65,0,3,7,3,6,0,6,73,0,11,85,1,26,0,3,2,21,0,0,0,39,40,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5811,479,0,0,38,11,1,0,0,79,0,5,12,3,6,0,3,75,0,10,80,0,36,0,5,2,29,0,0,1,36,33,0,0,8,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
240,6056,434,0,2,38,2,0,0,3,58,0,1,12,3,7,0,10,64,1,17,77,0,40,0,2,0,15,0,0,0,32,45,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
250,6302,420,0,0,35,2,0,0,0,62,0,2,12,1,3,0,7,50,1,7,96,0,32,0,6,0,12,0,0,0,37,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
260,6547,437,1,0,38,2,0,0,0,53,0,2,15,3,12,0,10,63,0,12,62,1,34,0,5,0,20,0,0,0,44,56,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
270,6793,440,0,0,34,3,1,2,5,73,0,0,15,3,15,0,11,70,2,9,59,0,23,0,0,0,8,0,0,0,22,80,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280,7038,424,0,0,34,3,0,1,2,54,2,0,8,2,13,0,2,68,0,15,33,0,33,0,2,0,11,1,0,0,32,104,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
290,7284,433,0,2,54,2,2,1,1,39,0,1,23,3,15,0,6,67,2,5,60,0,32,0,1,0,16,0,0,0,34,61,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
300,7529,534,3,1,47,2,0,0,1,13,0,2,21,5,13,0,4,93,0,3,18,0,19,0,1,3,16,0,0,1,25,242,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,7775,480,2,0,69,0,0,1,3,9,0,2,28,1,22,0,2,74,0,5,7,0,20,0,8,0,8,0,0,0,11,203,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
320,8021,418,2,1,60,4,1,0,5,8,2,3,18,5,20,0,1,68,0,2,9,0,20,0,1,1,15,0,0,0,24,146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
330,8266,459,1,1,79,2,0,4,4,7,1,4,21,3,49,0,3,75,0,0,5,1,16,0,2,2,17,2,0,0,2,157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,8512,520,1,1,68,1,2,1,3,5,0,1,15,1,56,0,5,104,1,1,4,1,15,0,5,2,18,2,0,0,5,199,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
350,8757,542,3,4,51,1,3,5,10,2,0,6,15,1,168,0,6,84,2,0,6,0,17,0,4,2,14,7,0,0,3,124,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
360,9003,509,1,2,52,4,0,1,2,3,3,5,10,2,99,0,3,86,0,1,4,1,16,0,4,1,9,2,0,0,3,192,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,9248,465,2,0,34,1,2,6,2,2,1,3,5,5,242,0,2,38,1,1,5,1,11,0,5,1,9,4,0,0,3,77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
380,9494,476,6,2,37,0,0,2,3,3,2,4,8,4,228,0,1,44,0,0,6,1,12,0,3,3,6,0,0,0,1,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,9740,478,3,1,36,2,0,2,4,0,4,4,16,4,276,0,2,37,2,0,10,0,15,0,7,0,6,1,0,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,9985,498,6,4,29,0,0,1,2,0,4,8,14,7,294,0,2,31,2,0,10,0,15,0,3,1,8,4,0,0,2,48,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,10231,453,5,0,44,0,0,4,5,2,5,3,11,6,225,0,4,32,2,1,4,0,11,0,6,1,7,5,0,0,2,64,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,10476,429,2,2,35,2,0,3,8,4,3,3,15,4,187,0,5,38,2,0,6,0,18,0,5,0,4,2,0,0,1,76,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
430,10722,445,4,2,42,1,0,1,1,3,2,6,9,4,258,0,1,41,0,0,8,2,13,0,2,0,3,3,0,0,3,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,10967,442,9,1,49,0,1,2,3,3,3,7,9,8,222,0,2,34,2,0,8,0,20,0,0,3,6,3,0,0,1,43,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,NA,455,17,2,64,2,0,6,6,0,5,6,18,19,198,0,2,46,4,1,5,0,8,0,0,1,5,6,0,0,2,24,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,NA,469,7,8,36,4,1,17,16,0,12,14,20,47,123,0,1,72,4,0,4,3,14,0,1,1,18,18,0,0,1,19,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
470,NA,502,3,16,40,0,2,17,16,0,6,23,10,132,123,0,0,33,12,0,4,5,9,0,4,0,3,12,0,0,0,16,0,1,4,0,0,0,0,0,0,5,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0
480,NA,485,7,10,140,1,2,13,47,0,5,3,5,104,78,0,0,13,8,0,2,4,3,0,1,3,1,18,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
490,NA,590,6,22,160,0,2,7,106,0,8,1,4,63,104,0,0,12,21,0,0,6,6,0,18,3,1,3,0,0,0,15,1,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
500,NA,689,5,59,65,5,4,7,132,1,15,5,8,95,131,0,1,34,58,0,1,11,7,0,4,8,3,9,0,5,0,7,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
