"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea","Adiantum","Equisetum","Huperzia.lucidula","Ophioglossaceae","Osmundaceae","Polypodiophyta.undiff.","Pteridium","Pediastrum","Bryophyta.undiff.","Sphagnum","Brasenia.schreberi","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium.type","Typha.latifolia.type","Spore..trilete.","Tilletia","Indeterminable","Unknown.undiff.","Unknown.I"
0,-55,0,0,25,3,56,28,7,0,0,0,1,0,0,40,9,28,1,8,4,4,1,0,0,0,0,0,0,19,4,23,6,24,4,7,112,5,0,0,2,10,53,3,163,7,1,22,3,8,1,6,9,0,0,11,3,14,60,2,0,1,12,0,0,1,1,0,0,0,0,0,0,1,34,1,39,0,0,1,0,0,0,0,0,2,0,0,0,15,42,0
5,-44,0,0,24,6,40,18,11,1,0,0,0,0,0,24,2,17,0,2,5,4,2,0,0,0,1,0,0,17,0,27,1,22,14,5,14,0,0,0,2,12,34,4,137,6,2,17,1,0,0,4,5,0,0,4,6,6,55,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,85,2,29,0,0,0,0,0,0,0,0,4,0,0,0,16,46,0
13.5,-24,0,2,27,8,48,35,13,0,0,0,0,0,0,43,9,44,0,5,2,1,0,0,0,0,0,1,4,29,1,56,3,50,6,0,130,7,0,0,3,16,44,1,66,0,1,7,0,0,0,3,4,0,0,2,0,2,36,1,0,1,16,0,0,2,0,0,0,0,0,1,0,1,31,8,23,0,0,0,0,0,0,0,1,2,2,0,0,18,21,0
23.5,13,0,1,15,2,41,17,9,0,0,2,0,0,0,29,7,20,0,3,5,2,0,0,0,0,0,0,0,20,2,29,2,40,3,1,78,5,0,0,1,17,24,1,67,1,1,6,0,1,0,4,3,0,0,1,0,1,36,0,0,0,15,0,0,0,0,0,1,0,0,0,0,1,30,6,18,0,0,0,0,0,0,0,0,0,1,0,1,17,12,0
28.5,39,0,0,16,1,37,8,13,0,0,1,0,0,0,29,10,24,0,3,3,0,1,0,0,0,2,0,0,23,1,35,4,26,1,4,98,7,0,0,4,7,32,0,65,0,0,7,0,1,0,1,7,0,0,2,2,4,37,0,0,0,12,0,0,0,0,0,2,0,0,0,0,1,29,7,11,0,0,0,0,0,0,0,0,0,1,0,1,7,15,0
38.5,111,0,1,13,3,37,16,6,0,0,2,0,0,0,20,7,12,0,1,1,3,1,0,0,0,0,0,1,19,2,27,2,26,3,1,66,5,0,0,4,11,38,0,96,0,0,4,0,0,0,5,4,0,0,1,1,2,39,0,0,0,19,0,0,1,0,0,1,0,1,0,0,3,38,2,16,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
48.5,220,0,1,8,3,40,8,17,0,0,0,1,0,0,28,3,27,0,4,0,4,1,0,0,0,0,0,0,12,2,15,1,22,3,4,85,15,0,0,0,14,20,0,36,0,1,2,0,0,0,1,9,0,0,0,0,0,35,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,17,5,15,0,0,0,0,0,0,0,0,1,1,0,1,8,4,0
58.5,372,0,2,23,1,35,27,14,0,0,0,0,0,0,52,8,26,0,3,0,2,1,0,0,0,1,0,0,20,1,40,2,35,5,2,126,10,0,0,1,34,27,0,2,0,0,30,0,0,0,0,7,0,0,0,0,0,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,15,5,14,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
67,536,0,2,26,3,20,17,12,0,0,0,0,0,0,38,4,32,0,5,1,2,0,0,0,0,0,0,1,29,1,39,2,38,3,1,139,3,1,0,2,25,21,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,0,0,0,0,0,0,0,0,1,0,0,1,6,1,0
74,689,0,1,32,4,40,25,11,0,0,0,0,0,0,41,13,25,0,5,4,3,0,1,0,0,0,0,0,30,0,38,1,37,4,4,200,5,1,0,3,33,33,0,2,0,1,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,3,12,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0
81,853,0,0,15,6,40,19,8,0,0,0,0,0,0,37,9,23,0,3,2,3,0,0,0,0,0,0,0,28,1,47,1,23,5,3,140,4,0,0,1,27,35,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0
88,1026,0,1,19,3,38,32,9,0,0,0,0,0,0,33,6,30,0,3,1,4,0,0,0,0,0,1,0,16,0,30,0,14,2,7,93,1,0,0,3,20,20,0,1,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5,26,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0
96,1227,0,0,28,4,43,29,5,0,0,0,1,0,0,45,2,25,0,4,2,1,0,0,0,0,0,0,0,24,1,22,2,16,1,2,80,5,0,0,6,25,48,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,4,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
104,1427,0,0,36,2,76,30,23,1,0,0,0,0,0,83,11,41,0,12,3,1,1,0,0,0,1,0,1,34,0,22,2,10,6,1,136,1,0,0,10,16,60,3,0,0,1,1,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,4,0
115,1690,0,0,32,1,20,13,4,0,0,0,0,0,0,86,9,13,0,2,0,2,0,0,0,0,0,0,0,36,0,15,1,6,12,0,127,1,0,0,8,15,45,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0
125,1904,1,1,26,2,10,32,2,0,0,0,0,0,0,79,10,10,0,5,1,1,0,0,1,0,0,0,1,33,1,11,3,14,7,0,74,1,0,0,6,15,30,2,2,0,1,1,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,7,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0
135,2090,0,1,21,1,26,35,16,0,0,0,0,0,0,68,19,15,0,1,2,3,0,1,0,0,0,0,0,18,0,4,1,10,4,0,111,2,0,0,6,24,24,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,7,4,0
145,2251,0,1,20,0,53,29,4,0,0,0,1,0,0,81,11,35,0,5,0,3,0,0,0,0,0,0,7,22,0,0,2,3,9,0,70,1,0,0,7,13,32,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0
155,2390,0,1,22,4,35,32,3,1,0,0,0,0,0,86,11,29,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,3,8,0,106,0,0,0,5,11,39,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
165,2512,0,1,16,1,45,26,7,0,0,0,0,0,0,85,3,11,0,2,0,0,0,0,0,0,0,0,1,33,0,1,0,5,6,0,102,0,0,0,6,5,35,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
175,2619,0,2,19,2,46,18,5,0,0,0,0,0,0,82,22,28,0,4,1,0,0,0,0,0,0,0,1,21,1,1,0,4,2,0,88,1,0,0,5,14,31,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
180,2668,0,3,20,2,44,15,11,0,0,0,1,0,0,90,7,33,0,2,1,3,0,0,0,0,0,0,2,34,0,3,0,2,5,0,110,0,0,0,11,13,43,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0
190,2760,0,0,28,2,34,11,15,0,0,0,0,0,0,90,16,25,0,3,0,1,0,0,0,0,0,0,2,38,0,0,0,3,7,1,81,1,0,0,12,11,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0
195,2803,0,1,31,1,47,17,3,0,0,0,0,0,0,92,20,17,0,5,2,0,0,0,0,0,0,0,0,27,0,4,0,4,3,0,60,1,0,0,8,9,40,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2887,0,0,32,2,58,25,7,0,0,0,0,0,0,106,12,23,0,4,0,2,0,0,0,0,0,0,3,34,0,1,0,3,2,0,65,1,0,0,8,15,36,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
215,2971,0,0,37,0,46,25,5,0,0,0,0,0,0,100,7,26,0,2,1,0,0,0,0,0,0,0,1,41,0,1,0,0,4,0,52,0,0,0,12,15,47,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
225,3058,0,0,38,4,38,22,4,1,0,0,0,0,0,112,7,27,0,8,3,0,0,0,1,0,0,0,0,23,0,6,0,4,2,0,77,1,0,0,6,15,67,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
235,3151,0,0,32,7,19,24,4,0,0,0,0,0,0,77,13,19,0,3,4,0,1,0,0,0,0,0,0,25,2,2,0,5,1,0,63,0,0,0,6,6,39,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
245,3254,0,1,18,2,31,27,5,0,0,0,0,0,0,77,10,11,0,8,2,0,0,0,1,0,0,0,2,32,0,3,0,5,2,0,117,2,0,0,4,5,31,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
255,3367,0,0,24,1,88,16,6,0,0,0,1,0,0,87,7,35,0,7,1,2,0,0,2,0,0,0,1,44,0,7,0,4,7,0,66,0,0,0,5,4,47,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
265,3489,0,0,49,1,31,25,6,1,0,0,0,0,0,85,8,21,2,2,0,3,0,0,0,0,0,1,0,47,0,4,3,1,3,0,62,0,0,0,9,11,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
275,3616,0,0,24,1,50,23,0,0,0,0,0,0,0,88,9,20,0,6,3,0,0,0,0,0,0,1,0,30,0,7,0,10,1,0,97,1,0,0,10,7,57,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
280,3682,0,0,28,1,33,33,1,0,0,0,0,0,0,72,5,16,0,6,2,0,0,0,0,0,0,0,0,22,0,3,1,5,1,0,105,1,0,0,6,10,48,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
290,3815,0,1,30,2,48,32,4,0,0,0,0,0,0,52,8,19,0,5,1,1,0,0,0,1,0,0,0,24,0,6,2,3,6,0,108,2,0,0,6,6,36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
295,3882,0,0,26,2,45,16,1,0,0,0,1,0,0,90,9,21,0,6,0,0,0,0,1,1,0,1,0,17,0,7,0,4,3,0,108,0,0,0,7,9,36,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
305,4015,0,0,28,1,28,12,1,0,0,0,0,0,0,76,7,35,0,2,0,0,0,0,0,0,0,0,0,64,0,6,0,2,5,0,43,0,0,0,10,12,27,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
315,4146,0,0,34,5,68,19,0,0,0,0,0,0,0,115,8,19,0,0,0,0,0,0,0,0,0,0,0,15,0,3,1,3,4,0,40,2,0,0,12,6,44,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
325,4272,0,1,34,5,42,7,0,0,0,0,0,0,0,86,6,28,0,3,0,1,0,0,1,0,0,0,0,33,0,3,0,3,7,0,56,0,0,0,19,10,38,2,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0
335,4392,0,0,28,2,29,16,2,0,0,0,0,0,0,130,4,15,2,4,1,1,0,0,0,0,0,0,0,13,0,4,1,5,6,0,57,0,0,0,10,7,30,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
