"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Betula","Carya","Celtis","Cornus.sericea.type","Cornus.undiff.","Corylus","Ephedra","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.Thuja","Larix","Morus","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides.type","Prunus.type","Quercus","Rhus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Viburnum","Vitis","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Bidens.type","Brassicaceae","Caryophyllaceae","Chenopodiaceae.undiff.","Comarum.type","Cyperaceae","Dalea.purpurea","Epilobium","Fabaceae.undiff.","Galium","Humulus.Cannabis.sativa","Iva.annua.type","Iva.xanthifolia.type","Lycopus.type","Malvaceae","Poaceae","Polygonaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba.canadensis","Spiraea.type","Thalictrum","Urtica","Xanthium"
22,144,0.0113636363636364,0,0,0.00142045454545455,0.00142045454545455,0.00142045454545455,0,0,0,0.140625,0.00142045454545455,0,0,0,0.00852272727272727,0,0,0.00426136363636364,0.00568181818181818,0,0,0,0,0.00142045454545455,0.00710227272727273,0,0,0.0170454545454545,0.046875,0.200284090909091,0.186079545454545,0.0696022727272727,0,0.00142045454545455,0.00426136363636364,0.00284090909090909,0.0411931818181818,0,0.00994318181818182,0.00142045454545455,0,0,0.00284090909090909,0,0.03125,0,0,0.0568181818181818,0.00284090909090909,0.00284090909090909,0.0340909090909091,0.00568181818181818,0,0.00142045454545455,0,0,0.0113636363636364,0.00142045454545455,0.0198863636363636,0,0,0,0,0.00142045454545455,0,0.00426136363636364,0,0,0.0525568181818182,0,0,0,0,0.00142045454545455,0.00142045454545455,0.00142045454545455,0.00142045454545455
40,295,0.0269709543568465,0,0.00103734439834025,0.00103734439834025,0.00103734439834025,0,0.024896265560166,0,0.00311203319502075,0.134854771784232,0,0,0,0,0.00622406639004149,0,0,0.00518672199170124,0.004149377593361,0,0,0,0,0.0020746887966805,0.00829875518672199,0,0,0.0134854771784232,0.0321576763485477,0.147302904564315,0.382780082987552,0.0933609958506224,0,0,0.00103734439834025,0,0.0342323651452282,0,0.0020746887966805,0,0,0,0,0,0.0134854771784232,0,0,0.00829875518672199,0.00103734439834025,0,0.0228215767634855,0.00103734439834025,0,0,0,0.00103734439834025,0.004149377593361,0,0.004149377593361,0,0,0,0,0,0,0,0,0,0.0176348547717842,0,0.00103734439834025,0,0,0,0,0,0
50,379,0.00721500721500722,0.00144300144300144,0,0.00144300144300144,0.00144300144300144,0,0.0721500721500721,0,0.00432900432900433,0.147186147186147,0,0,0,0,0.0101010101010101,0,0,0.00432900432900433,0,0,0.00144300144300144,0.00288600288600289,0,0.00288600288600289,0.025974025974026,0,0,0.0202020202020202,0.0202020202020202,0.147186147186147,0.326118326118326,0.0317460317460317,0,0.00144300144300144,0.00288600288600289,0.00144300144300144,0.0418470418470418,0,0.00288600288600289,0.00144300144300144,0,0,0.00144300144300144,0.00144300144300144,0.0115440115440115,0,0,0.0158730158730159,0,0,0.0288600288600289,0.00721500721500722,0,0.00432900432900433,0,0.00144300144300144,0.0101010101010101,0,0.0115440115440115,0,0,0,0,0,0.00144300144300144,0.00144300144300144,0,0,0.0216450216450216,0,0,0,0,0,0,0.00144300144300144,0
70,546,0.005,0,0.0025,0,0,0.005,0.03,0,0.0025,0.14,0,0,0,0,0.01,0,0,0.0025,0.0025,0,0.0025,0,0,0,0.0325,0,0,0.015,0.005,0.1125,0.3325,0.115,0,0,0,0,0.0575,0,0.0075,0,0,0,0,0.0025,0.0125,0,0,0.01,0.0025,0,0.025,0,0,0,0,0,0.0075,0,0.0175,0,0,0,0,0,0,0.0025,0,0,0.0375,0,0,0.0025,0,0,0,0,0
110,881,0.00797448165869218,0.00318979266347687,0,0,0.00159489633173844,0.00797448165869218,0.0318979266347687,0,0.00318979266347687,0.20414673046252,0,0,0,0,0.0223285486443381,0,0,0.00478468899521531,0.00637958532695375,0,0,0,0,0,0.0271132376395534,0,0,0.0414673046251994,0.00318979266347687,0.0590111642743222,0.135566188197767,0.0574162679425837,0,0.00159489633173844,0.00797448165869218,0,0.199362041467305,0,0.00478468899521531,0.00159489633173844,0,0,0,0,0.05103668261563,0,0,0.0175438596491228,0.00478468899521531,0,0.025518341307815,0.00478468899521531,0,0,0,0,0.00318979266347687,0,0.0207336523125997,0,0,0,0,0.00159489633173844,0,0.00318979266347687,0,0,0.0334928229665072,0,0,0,0,0,0,0,0.00159489633173844
130,1048,0.00431965442764579,0,0,0,0.00863930885529158,0,0.0172786177105832,0,0.00431965442764579,0.196544276457883,0,0,0,0,0.0367170626349892,0,0,0.0259179265658747,0.0107991360691145,0,0,0,0,0,0,0,0,0.0561555075593952,0.00647948164146868,0.0863930885529158,0.0561555075593952,0.125269978401728,0,0,0,0,0.177105831533477,0,0.0129589632829374,0.00215982721382289,0,0,0.00647948164146868,0,0.0280777537796976,0,0.00215982721382289,0.00647948164146868,0,0,0.0302375809935205,0.019438444924406,0,0,0,0,0.0172786177105832,0,0.0172786177105832,0,0,0,0,0,0.00215982721382289,0,0,0,0.0431965442764579,0,0,0,0,0,0,0,0
150,1216,0.00175438596491228,0,0,0,0,0,0.0508771929824561,0,0.00526315789473684,0.196491228070175,0,0,0,0,0.0210526315789474,0,0,0.00701754385964912,0.00350877192982456,0,0,0,0,0.00526315789473684,0,0,0,0.0649122807017544,0.00526315789473684,0.103508771929825,0.0912280701754386,0.0526315789473684,0,0,0,0.00350877192982456,0.203508771929825,0,0.00701754385964912,0.0157894736842105,0,0,0,0,0.0192982456140351,0,0,0.0105263157894737,0,0,0.0280701754385965,0.0105263157894737,0.00175438596491228,0,0,0,0.00526315789473684,0,0.0298245614035088,0,0,0,0,0,0,0,0,0,0.0473684210526316,0,0,0,0,0,0.0087719298245614,0,0
170,1383,0.00794701986754967,0,0,0.00132450331125828,0.00132450331125828,0,0.0384105960264901,0,0.00529801324503311,0.154966887417219,0.00132450331125828,0,0,0.00132450331125828,0.00794701986754967,0,0,0.00529801324503311,0.00529801324503311,0,0,0,0,0,0.0145695364238411,0,0,0.0185430463576159,0.0251655629139073,0.111258278145695,0.381456953642384,0.0582781456953642,0,0.00264900662251656,0.00927152317880795,0,0.0437086092715232,0,0.00529801324503311,0,0,0,0.00132450331125828,0,0.0105960264900662,0,0,0.00264900662251656,0.00132450331125828,0,0.0251655629139073,0.00529801324503311,0,0,0,0,0.00397350993377483,0,0.0211920529801325,0,0,0,0,0.00132450331125828,0,0,0,0,0.0264900662251656,0,0,0,0,0,0,0,0
190,1550,0.00630914826498423,0,0.00157728706624606,0.00157728706624606,0.00157728706624606,0,0.0315457413249211,0,0,0.227129337539432,0,0,0,0,0,0,0,0.00315457413249211,0.00157728706624606,0,0,0,0,0.00157728706624606,0.0315457413249211,0,0,0.0189274447949527,0.028391167192429,0.134069400630915,0.219242902208202,0.11198738170347,0,0,0.0157728706624606,0,0.0804416403785489,0,0.00157728706624606,0.00157728706624606,0,0,0.00315457413249211,0,0,0,0,0.00788643533123028,0.00315457413249211,0,0.0299684542586751,0.00315457413249211,0,0,0,0,0.00315457413249211,0,0.00946372239747634,0,0,0,0,0,0,0,0,0,0.0189274447949527,0,0.00157728706624606,0,0,0,0,0,0
210,1718,0.00373831775700935,0,0,0,0.00186915887850467,0,0.0149532710280374,0,0.00186915887850467,0.192523364485981,0,0,0,0,0.0130841121495327,0,0,0.0130841121495327,0.0149532710280374,0,0,0.00186915887850467,0,0.00186915887850467,0.00186915887850467,0,0,0.0336448598130841,0.00560747663551402,0.0785046728971963,0.0355140186915888,0.0205607476635514,0,0.00186915887850467,0,0,0.424299065420561,0,0.0130841121495327,0,0,0,0,0,0.00186915887850467,0,0,0.00747663551401869,0,0,0.0373831775700935,0.00934579439252336,0,0,0,0,0.011214953271028,0,0.0242990654205607,0,0,0,0,0,0,0,0,0,0.0336448598130841,0,0,0,0,0,0,0,0
