"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris.type","Ericaceae","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.cf..P..glauca","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhus.typhina","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Sarracenia.purpurea","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.undiff."
125,1936,3,2,1,0,32,0,7,2,0,1,0,1,0,313,0,0,0,0,0,0,0,0,1,3,0,7,0,100,0,23,3,0,4,0,0,1,3,0,7,51,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,3,14,0,66,1,0,0,0,3,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,1,131,0,0,14,0,1,1,0,0,0,0,0
137,2122,2,0,2,0,12,1,5,0,0,0,0,1,2,238,0,0,0,0,0,0,0,0,0,2,0,0,0,21,0,10,3,0,0,0,0,2,2,0,15,21,6,0,0,0,0,0,1,0,0,0,0,1,0,2,0,9,4,4,0,28,16,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,54,0,0,7,0,0,2,0,0,0,0,0
150,2323,1,0,3,0,10,0,4,0,0,0,0,0,0,149,0,2,0,1,0,0,0,0,1,0,0,1,0,58,0,9,7,1,0,0,0,1,1,1,21,109,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,6,4,0,21,3,2,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,69,0,0,12,1,0,0,0,0,0,1,0
162,2509,7,0,1,1,11,0,10,1,0,0,0,2,1,190,0,3,0,0,0,0,0,0,0,0,0,0,0,43,1,8,0,0,0,0,0,0,0,0,8,31,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,5,3,1,41,18,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,46,0,0,6,0,0,0,0,0,0,0,0
175,2710,1,1,2,0,17,0,16,0,0,2,0,4,0,254,0,0,0,1,0,0,0,0,0,1,0,0,0,56,0,7,5,0,3,0,0,2,0,0,19,59,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,2,4,0,65,10,1,0,0,1,1,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,62,0,0,8,1,0,0,0,0,0,0,0
188,2912,1,0,2,0,12,0,9,4,0,0,0,0,0,196,0,0,0,0,0,0,0,0,2,2,0,1,0,31,0,7,3,0,1,0,0,5,0,0,18,16,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,7,4,15,0,70,37,0,0,0,6,1,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,29,0,0,7,0,0,2,1,0,0,0,0
200,3098,0,0,6,0,12,0,6,2,0,0,0,1,0,243,0,3,0,0,0,0,0,0,0,4,0,1,0,30,0,14,4,0,0,0,0,6,1,0,6,86,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,6,3,0,83,10,1,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,13,0,0,3,0,0,0,0,0
212,3284,1,0,4,2,12,1,3,2,0,0,0,0,0,228,0,2,1,0,0,1,0,0,1,1,0,1,0,35,0,5,0,0,1,0,0,11,1,0,3,6,4,0,0,0,0,1,0,0,0,0,0,0,0,8,0,4,1,5,0,69,14,1,0,0,1,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,32,0,0,13,0,0,0,0,0,0,0,0
225,3485,2,3,11,0,40,7,40,1,0,2,0,0,3,413,0,1,0,0,0,0,0,0,2,7,0,5,0,60,0,23,5,0,10,0,0,1,6,0,3,31,10,0,0,0,0,0,2,0,0,1,0,0,2,7,0,16,2,13,0,169,27,0,0,0,25,1,0,0,0,0,138,2,0,0,1,0,0,0,2,0,0,0,0,0,4,0,4,27,0,0,27,1,0,2,0,0,0,0,0
238,3686,1,0,2,1,12,0,20,4,0,0,0,1,2,386,0,0,1,0,0,0,0,0,1,2,0,1,0,37,0,12,6,0,3,0,0,3,2,0,16,23,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,7,0,185,25,2,0,0,2,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,2,7,0,0,11,0,0,0,0,1,2,0,0
