"sample.depths","sample.ages","Sample.volume..ml.","Eucalyptus.suspension..volume.added..ml.","Eucalyptus.suspension..concentration..grains.ml.","Eucalyptus.spike..number.counted.","Picea","Pinus.strobus","Pinus.banksiana","Pinus.undiff.","Abies","Tsuga","Larix","Thuja","Betula","Populus","Quercus","Ulmus","Fagus","Carya","Acer","Fraxinus","Tilia","Juglans","Ostrya.Carpinus","Castanea","Other.trees","Juniperus.type","Juniperus.Thuja","Alnus.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana","Salix","Corylus","Elaeagnus","Shepherdia.argentea","Shepherdia.canadensis","Myrica","Cornus","Other.shrubs","Ericaceae","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Rubus","Chenopodiaceae","Apiaceae","Fabaceae","Dryas","Potentilla","Rosaceae.undiff.","Saxifragaceae","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Caltha","Polygonum","Urticaceae","Oxyria.Digyna","Rumex","Iris.versicolor","Plantago","Other.herbs","Isoëtes","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodiella.inundata","Huperzia.lucidula","Lycopodium.obscurum","Equisetum","Pteridophyta.undiff.","Botrychium","Pteridium","Polypodiaceae","Other.ferns","Unknown","Cyperaceae","Typha","Sparganium","Potamogeton","Nuphar","Nymphaea","Myriophyllum","Sphagnum","Bryophyta.undiff.","Menyanthes.trifoliata","Osmunda","Callitriche","Nymphoides","Dryopteris","Eriocaulon.aquaticum","Other.aquatics","Stratiotes.aloides","X.s.Pollen.Sum"
440,9481,1,0,136400,122,57,41,8,16,15,0,3,0,113,0,22,7,0,0,2,4,0,0,5,0,0,0,1,0,6,5,0,5,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,63,0,6,4,0,0,0,16,4,0,0,12,0,4,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,331
450,9773,1,0,136400,104,50,43,5,15,14,0,7,0,124,1,22,3,0,0,1,0,0,0,1,1,0,0,0,0,8,1,1,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,0,0,2,0,0,0,10,5,0,0,6,0,4,2,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,312
460,10065,1,0,136400,110,71,24,6,6,4,1,11,0,120,1,25,1,0,0,0,4,0,0,4,0,0,0,0,0,7,0,2,3,0,0,0,15,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,73,0,5,6,0,1,0,21,4,0,0,19,0,2,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,315
470,10358,1,0,136400,104,26,12,9,5,2,1,8,0,142,2,13,3,0,0,1,1,0,0,2,1,0,1,0,0,6,1,1,2,0,0,0,18,0,0,0,3,0,0,2,0,0,2,0,0,0,0,1,0,0,2,2,1,0,0,0,2,0,0,0,60,3,3,2,0,0,0,1,1,0,0,28,0,5,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,277
480,10650,1,0,136400,201,32,20,7,7,4,1,19,0,159,0,24,1,0,0,1,5,0,0,4,0,0,0,0,0,5,0,2,1,0,0,0,43,1,0,0,10,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,74,0,16,11,0,2,0,23,0,0,0,58,0,4,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,357
490,10942,1,0,128800,99,27,18,3,3,1,1,1,0,40,3,16,2,0,0,0,0,0,0,2,0,0,1,0,0,3,0,2,0,0,0,0,40,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,121,8,34,10,0,0,0,3,0,0,0,37,0,4,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,182
500,11235,1,0,128800,258,46,24,18,15,2,0,0,0,60,6,25,1,0,1,1,7,0,0,3,0,0,0,0,0,9,1,5,0,0,0,0,62,0,0,8,14,6,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,92,37,0,1,0,6,0,0,0,75,0,5,3,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,326
510,11527,1,0,128800,145,13,10,12,5,2,0,0,0,62,2,5,2,0,0,0,2,0,0,4,0,0,0,0,2,6,0,11,0,0,0,0,41,0,0,9,18,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,295,1,31,15,0,0,8,2,2,0,0,32,0,5,18,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,223
515,11717,1,0,128800,111,11,1,28,4,0,0,0,0,93,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,13,5,10,2,0,0,0,18,0,0,19,13,4,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,2,3,0,0,0,0,4,6,17,3,0,0,0,0,3,1,1,6,0,7,47,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,244
520,11935,1,0,128800,110,13,0,33,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,6,10,0,0,0,0,21,0,0,14,23,1,0,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6,0,0,1,0,0,8,25,6,0,0,2,0,2,1,0,11,0,12,40,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,204
525,12153,1,0,128800,75,12,1,10,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,26,0,0,3,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,5,2,0,0,0,0,3,8,3,4,0,0,0,0,2,0,1,10,0,3,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,105
534,12545,1,0,128800,58,5,0,20,1,0,0,0,0,26,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,15,3,4,0,0,0,0,29,0,0,5,11,2,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24,3,11,2,0,0,5,0,4,0,0,13,0,4,41,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,136
542,13193,1,0,128800,100,27,0,0,35,0,0,0,0,45,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,7,1,0,0,1,23,0,0,5,45,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,113,2,21,4,0,0,8,1,0,0,0,6,0,3,57,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,208
545,13548,1,0,128800,112,13,1,24,4,1,0,0,0,65,1,2,0,0,1,0,1,0,0,5,0,0,6,0,0,0,0,8,0,0,0,0,33,0,0,6,31,7,0,3,2,1,1,0,1,0,0,0,1,0,1,0,0,0,3,0,2,0,0,0,38,5,35,10,0,0,10,2,2,0,1,30,0,5,41,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,229
555,NA,1,0,128800,409,22,1,52,2,1,0,0,0,34,1,8,0,0,0,0,1,0,1,4,0,0,2,0,0,4,3,22,0,0,0,24,9,0,0,41,12,2,0,1,11,0,0,0,0,1,2,4,2,0,2,0,0,0,2,3,0,0,1,0,84,0,8,5,0,0,2,1,2,0,0,38,0,13,28,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,288
570,NA,1,0,128800,103,6,0,0,45,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,5,0,0,0,1,9,0,0,1,6,3,0,3,8,0,0,0,0,0,1,1,4,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
