"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea.mariana.type","Pinus.undiff.","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Onagraceae","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rubus.chamaemorus","Tsuga.canadensis","Picea.undiff.","Salix.undiff.","Fagus","Juniperus.communis.Thuja.occidentalis.type","Ostrya.Carpinus","Corylus.cornuta","Fraxinus.nigra.type","Juglans.cinerea","Abies.balsamea","Caryophyllaceae","Fraxinus.pennsylvanica.type","Picea.glauca.type","Populus.tremuloides.type","Quercus","Tilia","Acer.saccharum","Saxifraga.oppositifolia.type","Ranunculaceae.undiff.","Ribes","cf..Oxyria.digyna","Acer.spicatum","Carya.ovata","Pinus.resinosa.type","Taxus","Potentilla.palustris.type","Fabaceae.undiff.","Urtica.type","Populus.balsamifera.type","Salix.herbacea.type","Salix.vestita.type","Castanea.dentata","Celtis.occidentalis","Oxytropis.maydelliana.type","Saxifraga.stellaris.type","Brassicaceae","Saxifraga.cernua.type"
5,493,910,1,106,2,1,260,292,24,8,113,2,1,1,2,4,2,1,10,1,3,9,1,1,1,56,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1677,742,3,78,0,3,204,239,16,2,138,1,0,5,0,2,0,0,6,0,1,14,0,0,0,22,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1892,481,0,50,0,3,167,138,15,2,76,0,0,0,0,0,2,3,1,0,1,7,2,0,2,8,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2156,762,3,112,2,6,224,201,12,1,134,2,0,2,0,0,0,1,6,0,14,14,0,0,0,20,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2401,397,0,46,0,4,112,56,3,2,98,0,0,0,2,0,14,0,1,0,4,0,0,0,0,32,0,0,0,1,0,2,1,0,1,1,10,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2637,535,0,82,1,4,143,68,9,2,165,1,0,1,0,1,3,0,15,0,2,9,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2747,403,0,37,0,1,92,23,5,3,127,1,0,0,0,0,3,0,13,0,2,3,0,0,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2914,550,0,95,1,2,138,38,3,1,211,1,0,2,1,0,0,0,3,0,2,11,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3122,646,0,117,1,5,141,34,3,0,196,4,0,1,0,1,1,0,10,0,7,2,0,0,0,120,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,3354,470,4,131,3,5,172,20,5,1,99,1,0,0,0,1,0,0,6,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
