"sample.depths","sample.ages","Artemisia","Betula","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Acer","Alnus.incana","Ambrosia","Amaranthaceae","Poaceae","Alnus.viridis.subsp..crispa","Ulmus","Fraxinus","Juglans","Abies","Rosaceae.undiff.","Myrica","Rubus.chamaemorus","Populus","Carya","Corylus","Ranunculaceae.undiff.","Tsuga","Fagus","Asteraceae.subf..Asteroideae.undiff.","Thalictrum","Ostrya","Rumex","Epilobium","Plantago","Fabaceae"
0.5,0,0.00424929178470255,0.0807365439093484,0.0028328611898017,0.0028328611898017,0.00708215297450425,0.0084985835694051,0.0056657223796034,0.752832861189802,0.018413597733711,0.0028328611898017,0.00495750708215297,0.00141643059490085,0.00141643059490085,0.00141643059490085,0.00424929178470255,0.00991501416430595,0.0028328611898017,0.0028328611898017,0.084985835694051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,173,0.00175438596491228,0.110526315789474,0,0.00350877192982456,0.012280701754386,0.0105263157894737,0.00701754385964912,0.66140350877193,0.0140350877192982,0.00350877192982456,0.00175438596491228,0.00175438596491228,0,0,0.00350877192982456,0.0105263157894737,0,0.00701754385964912,0.145614035087719,0.00175438596491228,0.00175438596491228,0.00175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,381,0.0108191653786708,0.0911901081916538,0,0.00154559505409583,0.0139103554868624,0.0154559505409583,0.00618238021638331,0.687789799072643,0.00927357032457496,0,0.00618238021638331,0.00309119010819165,0,0.00154559505409583,0.00154559505409583,0.00618238021638331,0.00154559505409583,0.00618238021638331,0.125193199381762,0.00154559505409583,0.00154559505409583,0,0.00154559505409583,0.00309119010819165,0.00309119010819165,0.00154559505409583,0,0,0,0,0,0,0,0,0,0,0,0,0
8,519,0.00692640692640693,0.0675324675324675,0,0.00692640692640693,0.00173160173160173,0.00692640692640693,0.00692640692640693,0.738528138528138,0.00865800865800866,0.00346320346320346,0.00865800865800866,0.00346320346320346,0,0,0.00173160173160173,0.00173160173160173,0,0.00519480519480519,0.122943722943723,0,0.00173160173160173,0,0,0,0.00519480519480519,0,0.00173160173160173,0,0,0,0,0,0,0,0,0,0,0,0
10,657,0.00596569724086503,0.102908277404922,0,0.00447427293064877,0.00596569724086503,0.0119313944817301,0.00447427293064877,0.610738255033557,0.0164056674123788,0.00596569724086503,0.0193885160328113,0.00149142431021626,0.00149142431021626,0,0.00894854586129754,0.00447427293064877,0.00149142431021626,0.00894854586129754,0.165548098434004,0.00447427293064877,0.00149142431021626,0,0.00149142431021626,0,0.00447427293064877,0,0.00149142431021626,0.00149142431021626,0.00149142431021626,0.00149142431021626,0.00149142431021626,0,0,0,0,0,0,0,0
15,1003,0.00753012048192771,0.088855421686747,0,0.00451807228915663,0.00753012048192771,0.0210843373493976,0.00150602409638554,0.670180722891566,0.0150602409638554,0.00301204819277108,0.00602409638554217,0,0.00150602409638554,0,0.0120481927710843,0,0.00150602409638554,0.00301204819277108,0.149096385542169,0,0.00150602409638554,0,0,0,0.00301204819277108,0,0,0,0,0,0,0.00150602409638554,0.00150602409638554,0,0,0,0,0,0
20,1349,0.00967741935483871,0.101612903225806,0,0.0032258064516129,0.0064516129032258,0.00806451612903226,0.00483870967741936,0.644354838709677,0.017741935483871,0,0.00725806451612903,0,0,0,0.0112903225806452,0,0,0,0.17741935483871,0,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0.0032258064516129,0.00161290322580645,0,0,0,0,0
25,1685,0.00929368029739777,0.118959107806691,0,0,0.00743494423791822,0.016728624535316,0.00185873605947955,0.587360594795539,0.00557620817843866,0,0.00371747211895911,0.00185873605947955,0,0,0.00371747211895911,0.00185873605947955,0,0.00743494423791822,0.215613382899628,0,0.00557620817843866,0,0.00185873605947955,0,0.00743494423791822,0,0,0,0,0,0,0,0.00185873605947955,0,0.00185873605947955,0,0,0,0
29,1923,0.00848896434634975,0.108658743633277,0,0,0.00509337860780985,0.0237691001697793,0.00169779286926995,0.606960950764007,0.0254668930390492,0.0033955857385399,0.0110356536502547,0,0.00169779286926995,0,0.0135823429541596,0.0033955857385399,0.00169779286926995,0.00169779286926995,0.173174872665535,0,0,0,0,0,0.0067911714770798,0,0,0,0,0,0,0,0,0,0.00169779286926995,0.00169779286926995,0,0,0
35,2279,0.00878477306002928,0.0951683748169839,0,0,0.00585651537335286,0.0117130307467057,0.00146412884333821,0.60614934114202,0.0175695461200586,0,0.00585651537335286,0,0.00146412884333821,0,0.00439238653001464,0,0,0.00585651537335286,0.226939970717423,0.00146412884333821,0.00146412884333821,0,0,0,0.00439238653001464,0,0,0,0,0,0,0,0.00146412884333821,0,0,0,0,0,0
40,2577,0.0101670297748729,0.092955700798838,0,0.00145243282498184,0.00580973129992738,0.0159767610748003,0.00580973129992738,0.628177196804648,0.0174291938997821,0.00435729847494553,0.0101670297748729,0.00145243282498184,0.00145243282498184,0,0.0145243282498184,0.00290486564996369,0.00145243282498184,0.00435729847494553,0.172839506172839,0,0,0,0,0,0.00145243282498184,0.00145243282498184,0,0,0,0,0,0.00145243282498184,0,0,0,0,0.00290486564996369,0.00145243282498184,0
45,2874,0.0072202166064982,0.0866425992779783,0,0.0036101083032491,0.00541516245487365,0.01985559566787,0,0.597472924187726,0.0036101083032491,0,0.00180505415162455,0.0036101083032491,0,0,0.00902527075812274,0.00180505415162455,0,0.0072202166064982,0.236462093862816,0.00180505415162455,0,0,0,0,0.0072202166064982,0,0,0,0,0,0,0,0.00180505415162455,0,0.0036101083032491,0,0,0.00180505415162455,0
