"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Betula","Betulaceae.undiff.","Carya","Castanea","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.type","Ilex","Juglans.cinerea","Larix","Liquidambar","Moraceae","Myrica","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana.type","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Rhus","Rubus.type","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Vitis","Ambrosia","Apiaceae.undiff.","Araliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","cf..Cistaceae","cf..Oxalis","cf..Primula","Chenopodiaceae.Amaranthaceae","Cyperaceae.undiff.","Fabaceae.undiff.","Gentianaceae","Humulus.Cannabis.sativa","Hypericum","Impatiens","Iva.annua.type","Lamiaceae","Plantago.undiff.","Plantago.rigida.type","Plumbaginaceae","Poaceae.undiff.","Polygonaceae.undiff.","Potentilla.type","Ranunculus","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex","Saxifragaceae","Secale","Sisyrinchium","Solanaceae","Thalictrum","Trifolium.type","Triticum","Urticaceae","Zea"
0,-48,0,0.004021448,0.001340483,0,0.00536193,0.036193029,0.002680965,0.004021448,0.004021448,0.004021448,0.004021448,0,0.004021448,0.073726542,0.004021448,0.001340483,0,0.002680965,0.021447721,0,0,0,0,0.048257373,0.022788204,0.001340483,0,0,0.002680965,0.016085791,0.008042895,0.282841823,0.001340483,0.012064343,0.108579088,0.001340483,0.001340483,0,0,0,0,0.001340483,0,0.004021448,0.002680965,0.053619303,0.001340483,0.00536193,0.001340483,0.012064343,0.001340483,0.001340483,0,0,0,0,0.001340483,0.014745308,0.001340483,0,0,0,0.001340483,0.001340483,0,0.009383378,0.076407507,0,0.111260054,0,0,0,0.009383378,0.001340483,0.008042895,0,0,0,0,0,0,0,0,0
8,-28,0,0.001426534,0,0.002853067,0.001426534,0.045649073,0,0.004279601,0.001426534,0,0,0.001426534,0.008559201,0.04850214,0.001426534,0.007132668,0.001426534,0.001426534,0.011412268,0.002853067,0,0,0.001426534,0.062767475,0.034236805,0,0,0,0.002853067,0.019971469,0.004279601,0.289586305,0,0.001426534,0.109843081,0,0.001426534,0,0.004279601,0,0,0.012838802,0.001426534,0.002853067,0,0.054208274,0.004279601,0,0,0.009985735,0,0,0,0.001426534,0.001426534,0,0.001426534,0.017118402,0,0.001426534,0,0,0,0,0,0.02425107,0.059914408,0,0.085592011,0,0,0,0.012838802,0,0.034236805,0,0,0,0,0,0,0.001426534,0,0
16,-8,0.001153403,0.005767013,0,0.006920415,0.00922722,0.035755479,0.003460208,0.00922722,0.00461361,0.001153403,0.01384083,0.001153403,0.005767013,0.003460208,0.00461361,0.014994233,0,0,0.033448674,0.001153403,0,0,0.002306805,0.085351788,0.064590542,0.001153403,0.001153403,0,0.00461361,0.001153403,0.00461361,0.121107266,0.002306805,0.00461361,0.131487889,0.002306805,0.00461361,0,0,0,0.001153403,0.002306805,0.00461361,0.001153403,0,0.07266436,0.002306805,0,0.001153403,0.024221453,0,0,0.001153403,0.001153403,0,0,0,0.038062284,0.003460208,0,0,0.00461361,0,0,0,0.025374856,0.014994233,0,0.108419839,0,0,0,0.005767013,0,0.092272203,0.001153403,0.003460208,0.001153403,0,0,0,0.001153403,0,0.001153403
24,-1,0,0.00729927,0.002919708,0.002919708,0.002919708,0.042335766,0.004379562,0.008759124,0,0.002919708,0.017518248,0,0.00729927,0.016058394,0.008759124,0.020437956,0,0.002919708,0.051094891,0,0,0,0,0.075912409,0.080291971,0.00729927,0.002919708,0,0.001459854,0.005839416,0.005839416,0.135766423,0,0.004379562,0.194160584,0,0.004379562,0,0,0.001459854,0,0.008759124,0.004379562,0,0,0.052554745,0,0,0,0.005839416,0,0,0,0,0,0,0.001459854,0.020437956,0.002919708,0,0,0.001459854,0,0,0,0.02919708,0.017518248,0,0.067153285,0,0,0,0.005839416,0,0.055474453,0,0.004379562,0,0.001459854,0,0,0,0,0.002919708
32,8,0,0.00239521,0.00239521,0.007185629,0.009580838,0.02754491,0.004790419,0.007185629,0.00239521,0.001197605,0.016766467,0,0.005988024,0.007185629,0.011976048,0.017964072,0.001197605,0,0.025149701,0,0,0,0,0.08502994,0.110179641,0.001197605,0.001197605,0,0.00239521,0.001197605,0.003592814,0.111377246,0.001197605,0.004790419,0.164071856,0,0.003592814,0,0.001197605,0,0.001197605,0.009580838,0.007185629,0,0,0.05748503,0.00239521,0,0,0.005988024,0,0,0,0.001197605,0,0,0,0.022754491,0.003592814,0.001197605,0,0.008383234,0,0,0,0.019161677,0.005988024,0,0.101796407,0,0,0,0.007185629,0,0.093413174,0.001197605,0.004790419,0,0,0,0,0,0,0.003592814
40,22,0,0.01174743,0.002936858,0.001468429,0.004405286,0.04845815,0.005873715,0.016152717,0.001468429,0,0.020558003,0,0.019089574,0.005873715,0.007342144,0.016152717,0.002936858,0,0.035242291,0,0,0,0.001468429,0.114537445,0.111600587,0.002936858,0.001468429,0,0.001468429,0,0,0.133627019,0,0.001468429,0.165932452,0.001468429,0.001468429,0,0,0,0,0.010279001,0.002936858,0,0.001468429,0.038179148,0,0,0.001468429,0.01174743,0,0,0,0,0,0.002936858,0,0.02349486,0.004405286,0,0,0.001468429,0,0,0,0.019089574,0.014684288,0,0.063142438,0,0,0,0.005873715,0.001468429,0.052863436,0,0.002936858,0.001468429,0.001468429,0,0,0,0,0.001468429
48,53,0,0.008169935,0.006535948,0,0.004901961,0.026143791,0.001633987,0.006535948,0,0.003267974,0.016339869,0,0.013071895,0.003267974,0.017973856,0.024509804,0,0.003267974,0.035947712,0,0,0,0,0.135620915,0.104575163,0.006535948,0.003267974,0,0,0.006535948,0.006535948,0.130718954,0,0,0.218954248,0,0.003267974,0,0,0,0,0.014705882,0.004901961,0,0.004901961,0.016339869,0,0,0,0.008169935,0,0,0,0,0,0,0,0.026143791,0.003267974,0,0.001633987,0,0,0,0,0.008169935,0.004901961,0,0.047385621,0,0,0,0.011437908,0,0.052287582,0,0.004901961,0,0.001633987,0.001633987,0,0,0,0
56,85,0,0.011164274,0.003189793,0.001594896,0.009569378,0.027113238,0.004784689,0.006379585,0.003189793,0.001594896,0.027113238,0,0.012759171,0.003189793,0.015948963,0.007974482,0,0,0.035087719,0,0,0,0,0.140350877,0.108452951,0,0.003189793,0,0.003189793,0.011164274,0.01754386,0.135566188,0.003189793,0.004784689,0.197767145,0.001594896,0,0,0,0,0,0.015948963,0.001594896,0.001594896,0.001594896,0.009569378,0,0,0,0.003189793,0,0,0,0,0,0,0.001594896,0.007974482,0,0,0,0,0,0,0,0.011164274,0.019138756,0,0.052631579,0,0,0,0.009569378,0,0.057416268,0,0.003189793,0,0.003189793,0.001594896,0,0,0,0.001594896
64,105,0,0.011075949,0,0.004746835,0.004746835,0.028481013,0.006329114,0.007911392,0,0,0.018987342,0,0.006329114,0.007911392,0.007911392,0.03164557,0,0.001582278,0.050632911,0,0,0,0,0.140822785,0.077531646,0,0,0,0,0.006329114,0.007911392,0.143987342,0.001582278,0,0.237341772,0.001582278,0.004746835,0.001582278,0,0,0,0.012658228,0.006329114,0.001582278,0,0.009493671,0,0.001582278,0.001582278,0.007911392,0,0,0,0,0,0,0,0.006329114,0.009493671,0,0,0,0,0.001582278,0,0.012658228,0.012658228,0,0.026898734,0,0,0,0.009493671,0,0.058544304,0,0.001582278,0.001582278,0.001582278,0,0.004746835,0,0,0
72,125,0,0.010471204,0.001745201,0,0.003490401,0.012216405,0.013961606,0.003490401,0,0.001745201,0.013961606,0,0,0.003490401,0.012216405,0.017452007,0.001745201,0.001745201,0.061082024,0,0,0,0,0.157068063,0.12390925,0.001745201,0.001745201,0,0.001745201,0.001745201,0.001745201,0.139616056,0,0.006980803,0.237347295,0,0.001745201,0,0,0,0,0.020942408,0,0,0,0.012216405,0,0,0,0.008726003,0,0.001745201,0,0,0,0,0.001745201,0.005235602,0.010471204,0,0,0,0,0,0,0.012216405,0.019197208,0,0.008726003,0,0,0,0.008726003,0,0.054101222,0,0,0,0,0.001745201,0,0,0,0
