"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Betula","Botrychium","Cannabaceae","Carya","Ceanothus","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Indeterminable","Isoëtes","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Maclura.pomifera.type","Melilotus.type","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonaceae.undiff.","Polypodiaceae","Polypodium.type","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rhamnus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
1295,-5,0,3,0,0,2,7,88,0,0,3,2,0,18,0,0,4,0,2,0,0,3,1,0,0,0,0,0,0,9,0,0,9,0,0,1,0,0,0,0,1,2,0,1,0,1,0,2,5,7,0,28,0,0,0,9,3,0,95,0,0,1,2,0,12,0,1,0,1,0,0,3,23,5,1,0
1300,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,99,0,2,0,1,2,6,76,0,0,3,1,1,5,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,9,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,0,5,0,26,0,0,0,6,0,2,62,0,0,0,0,0,3,0,0,0,0,0,0,5,6,3,0,0
1315,211,0,0,0,4,7,2,20,0,0,8,1,0,15,0,0,0,0,0,0,3,1,7,0,2,0,0,0,1,0,0,0,16,3,0,0,1,0,0,1,0,0,0,0,0,7,1,9,10,22,0,19,0,0,0,0,5,2,90,0,0,0,1,0,4,0,0,0,0,0,2,0,7,3,0,0
1325,327,0,2,1,6,11,1,14,0,1,13,6,1,18,0,0,1,2,0,0,4,3,18,0,16,0,0,0,1,1,1,0,28,0,0,1,0,2,0,0,0,0,2,0,0,6,4,11,29,36,1,25,0,2,0,3,2,5,81,0,0,0,1,0,6,0,0,0,0,2,0,2,10,0,2,0
1345,560,0,0,0,3,12,3,16,0,0,13,4,0,40,0,0,2,1,2,0,5,2,14,0,3,0,1,0,3,1,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,9,2,7,13,40,1,12,0,0,1,1,0,1,120,0,0,0,0,2,4,0,0,0,0,0,3,1,3,1,0,0
1365,792,0,0,2,1,7,1,9,0,0,2,4,0,18,1,0,1,0,0,0,2,0,8,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,1,3,0,4,7,11,0,12,0,0,0,2,2,1,114,0,0,0,0,0,2,0,0,0,0,0,1,1,4,0,0,0
1400,1200,0,0,0,0,5,1,8,0,0,10,2,0,17,0,0,0,0,0,0,2,0,11,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,8,10,1,21,1,0,0,0,0,0,90,0,0,0,0,0,2,0,0,0,0,0,0,1,7,1,0,1
1440,1676,1,0,0,1,7,0,16,1,0,10,4,0,13,0,0,0,0,0,0,2,3,8,0,2,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,6,0,1,4,1,2,13,18,1,28,1,0,0,0,1,3,101,0,0,0,0,1,2,0,0,0,1,1,0,2,3,0,0,0
1500,2426,0,1,0,2,10,3,11,0,0,11,6,0,17,0,0,2,0,0,0,3,1,12,0,1,0,0,0,3,1,1,0,4,0,0,0,0,0,0,0,0,0,3,0,0,8,0,5,10,17,1,34,0,0,0,5,1,1,133,0,0,0,0,0,1,0,0,0,1,0,0,0,10,3,1,0
1538,2909,0,1,0,3,13,3,11,0,0,13,6,0,22,1,0,1,0,1,0,2,5,7,0,3,0,0,0,1,1,1,1,12,0,1,1,1,0,0,0,0,0,0,0,0,7,0,4,9,31,1,21,0,0,0,2,1,1,127,0,0,0,0,0,3,0,0,0,0,2,1,0,10,0,1,0
1600,3603,0,0,0,4,13,6,7,1,0,14,4,0,16,0,0,1,0,1,0,0,1,17,0,0,0,0,0,3,1,1,0,6,0,0,1,0,1,0,0,0,1,0,0,0,10,2,2,12,21,0,15,0,0,0,0,0,0,95,0,0,0,0,0,3,0,1,0,0,0,0,1,2,0,0,0
1640,3923,0,0,1,8,13,4,7,0,0,15,6,0,18,0,0,0,0,1,0,3,3,11,0,4,1,1,1,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18,1,6,18,20,0,38,0,0,0,2,2,2,216,0,0,1,0,0,4,0,0,0,1,1,0,1,10,3,0,0
1700,4350,0,0,0,1,3,2,17,0,0,13,3,0,4,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,8,2,0,3,2,0,0,0,0,1,0,0,0,1,2,4,12,14,0,22,0,0,0,0,1,1,90,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0
1740,4924,1,0,0,0,8,9,16,0,0,16,2,0,3,0,0,1,0,0,0,0,2,7,0,0,0,0,0,6,0,1,1,3,2,0,1,0,0,0,0,0,5,0,0,0,5,2,3,6,35,2,40,0,0,0,1,0,1,69,0,0,0,0,1,3,0,0,0,1,0,0,1,4,1,0,2
1800,6261,0,3,0,0,4,6,16,0,0,24,6,0,2,0,0,0,0,0,0,3,1,21,0,1,0,0,0,1,1,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,4,0,3,4,17,0,36,1,0,0,1,2,0,65,0,0,0,0,0,5,0,0,1,0,0,0,0,8,2,0,0
1860,7576,1,0,0,3,4,13,17,2,0,26,6,0,4,0,0,0,0,0,0,0,3,16,0,0,1,0,0,2,1,2,0,16,2,2,2,1,0,0,0,0,1,0,0,0,8,0,0,10,24,0,36,0,0,0,0,8,2,76,0,0,0,0,0,9,0,1,0,0,2,0,0,15,1,0,0
1898,8084,0,0,0,2,5,21,40,0,0,40,2,0,0,0,1,2,0,1,0,3,3,16,0,0,2,0,1,1,1,0,0,16,0,3,0,1,0,0,0,0,4,0,0,0,10,2,5,4,18,1,56,0,0,0,3,4,1,49,0,0,0,0,1,1,0,1,0,1,0,0,3,12,4,0,0
1918,8215,0,0,0,1,8,9,17,1,0,22,7,0,0,0,0,3,0,0,0,0,2,10,1,0,0,0,0,1,0,1,0,11,1,1,2,0,0,0,0,0,0,0,0,0,16,1,2,22,34,0,33,0,0,0,0,0,1,38,2,0,0,0,0,4,0,0,0,1,0,0,0,24,0,0,0
1958,8438,1,0,0,7,4,14,32,1,1,34,6,0,7,0,0,1,0,0,1,1,3,5,0,1,1,0,1,10,3,0,0,21,1,1,1,1,1,0,0,0,0,0,0,0,21,0,8,12,45,0,34,0,0,0,0,0,7,52,0,0,0,0,0,6,0,0,0,0,0,0,1,41,2,1,0
2000,8792,0,0,0,0,6,5,9,0,0,12,5,0,5,0,0,2,0,0,0,0,1,4,0,2,0,0,0,6,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,11,2,11,4,35,0,19,0,0,0,0,1,4,24,0,0,0,0,0,6,0,0,0,0,1,0,0,36,0,2,0
2020,9067,0,0,0,2,2,2,11,0,0,8,1,0,3,0,0,2,0,1,0,6,0,5,0,2,1,0,0,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,4,23,5,30,1,9,0,0,0,2,0,7,25,0,0,0,0,0,6,0,0,1,0,1,0,0,36,0,0,0
2040,9441,3,0,0,17,30,11,16,0,0,17,1,0,23,0,0,4,0,0,0,6,2,6,0,2,0,1,0,21,1,1,0,8,0,0,3,0,1,0,0,0,0,0,0,0,57,8,135,10,136,1,32,0,0,0,0,0,25,77,0,0,1,1,0,7,0,0,0,1,4,0,0,119,0,0,0
2060,9939,5,0,0,4,15,6,16,0,0,14,5,0,27,0,0,6,0,2,0,6,1,3,0,7,0,0,0,18,0,1,0,23,0,1,5,0,1,1,0,0,0,0,0,0,33,5,118,4,193,0,35,0,0,0,1,0,49,82,0,1,0,1,0,2,0,0,0,0,1,0,2,111,0,0,0
2080,10583,1,0,0,2,8,1,3,0,0,8,0,0,29,1,0,3,0,0,0,0,0,5,0,0,0,1,0,19,0,0,0,23,0,0,3,0,1,0,0,0,0,0,0,0,7,1,72,3,106,0,1,0,0,0,0,0,30,31,0,0,0,0,0,3,1,0,0,0,2,0,0,53,0,0,0
2100,11334,8,0,0,1,18,1,2,0,0,6,0,0,49,0,1,0,0,1,0,7,3,3,1,5,0,0,0,29,3,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,9,18,92,5,127,0,1,0,0,0,2,0,19,20,0,0,0,0,0,4,0,0,0,0,0,0,0,19,2,0,0
2120,12098,4,0,0,0,19,3,1,0,0,12,3,0,75,0,0,0,0,1,0,5,8,19,0,0,0,1,0,13,1,3,0,10,0,0,0,0,14,0,0,0,0,1,0,0,13,170,1,0,0,0,5,0,0,0,12,3,0,21,0,0,0,0,0,3,0,0,2,0,0,0,0,11,2,0,1
2140,12869,1,0,0,1,3,3,8,0,0,39,7,0,96,0,0,0,0,0,1,4,9,21,0,1,0,3,0,17,1,1,0,22,0,0,0,0,18,0,0,0,0,0,0,0,9,280,5,1,0,0,23,0,0,0,7,2,0,15,0,0,0,4,0,20,0,0,1,1,0,0,0,5,4,0,0
2175,NA,3,0,0,3,1,1,15,0,0,11,1,0,2,0,1,0,0,0,0,0,8,28,0,6,0,4,0,42,2,4,0,10,0,0,0,0,7,0,0,0,0,0,0,0,2,98,0,1,5,0,12,0,0,0,3,0,0,17,0,0,0,0,0,3,0,1,1,0,0,0,0,3,3,0,0
2220,NA,0,0,0,0,0,2,12,0,0,9,1,0,2,0,4,0,0,0,0,0,3,13,0,4,0,3,0,34,6,2,0,9,0,0,0,0,4,0,0,0,0,0,0,0,2,93,4,1,4,0,7,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0
2262,NA,0,0,0,0,0,2,5,0,0,6,2,0,0,0,1,0,0,0,0,0,0,8,0,6,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,0
