"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae.undiff.","Ericaceae","Fraxinus","Juglans","Juniperus","Larix","Morus","Myrica","Ostrya","Picea","Pinus.banksiana","Pinus.strobus","Pinus.undiff.","Populus.balsamifera","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Eupatorium","Plantago.lanceolata","Poaceae","Rosaceae","Thalictrum"
3,-9,501,6,3,5,72,0,0,1,0,3,0,0,4,0,0,0,3,13,157,170,0,6,0,1,43,6,1,0,5,0,0,0,0,2,0,0
25,252,470,0,6,4,84,0,4,0,0,2,0,0,0,0,0,0,0,16,142,158,0,12,0,0,39,0,1,0,2,0,0,0,0,0,0,0
75,843,541,0,5,5,122,1,0,0,0,0,0,0,0,0,0,0,1,10,151,161,0,11,4,1,60,3,0,0,6,0,0,0,0,0,0,0
125,1435,514,0,7,3,82,5,0,0,0,1,0,0,0,0,0,1,11,17,157,174,0,5,3,0,41,0,5,0,0,0,1,0,0,1,0,0
175,1860,472,0,8,2,68,1,2,0,0,3,0,0,0,0,0,4,5,7,162,169,0,3,2,0,30,3,2,0,1,0,0,0,0,0,0,0
225,2176,503,0,2,0,68,0,0,0,0,4,0,0,0,0,0,0,3,19,167,186,0,4,0,2,41,7,0,0,0,0,0,0,0,0,0,0
275,2491,517,0,15,7,70,0,2,0,0,0,0,0,0,0,0,0,2,8,185,193,0,5,0,0,22,1,3,0,2,0,2,0,0,0,0,0
325,2807,464,0,8,3,81,0,0,0,0,2,0,0,0,5,0,0,3,19,142,161,0,9,0,0,21,6,2,0,1,0,0,0,1,0,0,0
375,3122,518,0,3,8,60,4,1,0,0,4,0,0,0,0,0,0,14,24,171,194,0,0,1,0,27,1,3,0,1,0,2,0,0,0,0,0
425,3437,544,2,6,4,40,0,0,0,0,2,0,0,0,0,0,0,6,26,189,215,0,10,2,0,31,3,2,0,4,0,0,0,0,2,0,0
475,3943,570,0,6,5,47,0,4,1,0,0,0,0,0,0,1,0,0,27,199,226,0,27,0,0,16,0,7,0,0,0,0,0,0,4,0,0
525,4529,605,0,6,7,29,0,6,0,0,0,0,0,0,0,0,0,0,67,200,267,0,13,0,0,7,1,2,0,0,0,0,0,0,0,0,0
550,4822,554,0,11,13,27,2,3,0,0,0,1,0,0,0,0,0,0,14,219,233,0,19,0,0,3,6,1,0,2,0,0,0,0,0,0,0
600,5409,505,0,3,6,46,0,0,2,0,0,0,0,0,0,0,4,7,48,150,198,0,27,2,3,2,5,2,0,0,0,0,0,0,0,0,0
650,5995,536,0,8,7,36,0,3,0,0,1,0,0,0,0,0,6,1,49,166,215,0,17,1,0,19,1,2,0,3,0,0,0,0,1,0,0
700,6667,547,0,7,13,15,1,4,0,0,0,0,0,0,0,0,1,2,56,176,232,0,23,5,2,1,5,4,0,0,0,0,0,0,0,0,0
750,7339,567,0,12,4,12,0,0,0,0,0,0,0,0,0,0,3,27,44,199,243,0,10,1,1,0,9,1,0,1,0,0,0,0,0,0,0
800,8814,587,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,163,109,272,0,2,1,0,0,3,2,0,1,0,3,0,0,0,0,0
850,10288,534,0,0,10,24,0,0,0,0,0,0,0,0,0,0,1,0,150,89,239,0,7,0,0,0,9,3,0,1,0,1,0,0,0,0,0
875,11025,581,0,2,3,26,1,0,0,0,0,0,0,0,0,0,1,0,197,71,268,0,7,0,0,0,0,3,0,1,0,1,0,0,0,0,0
900,11762,585,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,191,91,282,0,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0
925,NA,570,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,166,111,277,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
950,NA,592,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,156,127,283,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0
975,NA,94,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,23,14,37,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
