"sample.depths","sample.ages","upland.sum","Alnus.undiff.","Ambrosia.type","Betula","Carya","Castanea","Asteraceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Trees.undiff.","Tsuga","Ulmus","Acer","Fraxinus","Myrica","Populus","Poaceae","Plantago","Aquifoliaceae","Artemisia","Ericaceae","Salix","Juglans","Herbs.undiff.","Liquidambar","Nyssa","Amaranthaceae","Abies","Alnus.viridis.type","Corylus","Tilia","Larix","Cistaceae"
0,11,713,6,35,49,4,2,10,7,4,5,4,2,53,2,262,4,115,26,6,5,6,9,1,47,1,32,9,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0
0,11,713,6,35,49,4,2,10,7,4,5,4,2,53,2,262,4,115,26,6,5,6,9,1,47,1,32,9,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0
25,253,668,10,37,83,7,5,14,5,1,13,5,3,28,13,156,0,137,39,0,5,3,9,4,42,0,31,3,0,0,4,2,1,4,1,2,1,0,0,0,0,0,0
28,282,340,5,22,38,2,2,7,0,1,10,3,3,15,1,102,1,55,0,1,4,1,3,1,39,0,17,0,0,1,3,0,1,0,0,1,1,0,0,0,0,0,0
31,311,381,7,18,31,1,3,5,4,0,15,4,3,19,3,108,2,63,34,2,6,0,7,0,28,0,6,3,1,1,3,0,2,0,1,0,1,0,0,0,0,0,0
35,419,296,3,3,33,4,1,3,1,0,12,2,1,8,2,86,0,69,17,0,9,3,1,4,18,0,7,0,0,3,1,0,2,1,0,1,1,0,0,0,0,0,0
45,862,386,2,0,37,8,3,3,1,1,13,4,1,9,6,122,0,116,3,0,12,7,3,4,19,0,6,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0
55,1318,363,4,0,27,9,1,6,2,0,36,2,1,17,17,128,0,73,0,0,11,4,1,4,14,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
65,1811,375,5,1,32,6,1,4,0,0,20,3,0,20,12,174,0,52,1,0,10,4,4,4,15,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
75,2304,371,3,0,20,7,1,0,1,1,17,3,0,20,12,138,1,105,0,0,2,4,9,4,13,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0
82,2649,324,2,0,15,0,0,0,1,0,8,2,0,8,10,110,2,124,0,1,9,6,1,1,14,0,3,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0
101,3586,351,2,0,23,5,1,0,2,3,14,4,0,13,17,162,2,67,0,0,4,4,5,3,17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
105,3783,423,5,1,36,6,0,0,0,0,27,4,0,12,13,124,0,133,0,0,7,7,7,6,27,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
115,4277,434,1,0,20,10,0,0,1,1,33,4,1,31,12,171,3,96,1,0,1,2,6,2,31,2,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0
125,4770,435,6,1,43,4,2,2,2,0,32,10,0,12,3,132,8,122,0,0,0,1,11,7,28,0,5,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0
135,5263,377,4,0,35,5,3,3,2,1,29,4,1,10,9,110,3,97,0,1,8,5,6,3,29,0,5,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
145,5639,697,10,1,50,2,1,4,3,2,37,4,0,17,14,179,5,248,0,0,27,13,8,8,45,0,8,0,0,1,0,0,3,1,0,2,1,0,0,2,1,0,0
155,5976,438,5,0,21,1,1,2,1,1,27,2,1,25,3,147,4,135,1,0,16,6,1,5,24,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
165,6313,436,1,1,14,1,1,1,4,1,24,1,2,26,7,179,0,116,0,0,15,2,3,3,25,0,1,0,1,1,0,2,0,0,0,1,1,0,1,0,1,0,0
175,6650,483,4,1,22,3,0,4,4,5,39,8,0,13,8,146,2,164,0,0,29,8,2,6,8,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0
185,6987,418,4,2,20,1,0,4,0,2,30,5,0,6,5,117,4,151,0,0,22,7,5,3,24,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
191,7190,429,4,1,27,1,1,0,4,2,11,4,0,14,4,121,4,176,2,0,22,8,2,3,13,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
205,7662,352,1,0,22,0,0,2,4,3,12,7,0,9,7,104,3,126,0,1,11,3,4,7,17,0,2,0,0,0,0,1,0,0,1,2,1,0,1,0,1,0,0
215,7999,350,4,2,22,2,1,3,0,3,18,3,1,16,5,118,2,87,1,0,10,7,5,4,27,0,2,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0
