"sample.depths","sample.ages","Abies","Ambrosia.type","Betula","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Ilex","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Fraxinus","Myrica","Pinus","Populus","Poaceae","Carya","Cyperaceae","Herbs.undiff.","Ranunculaceae.undiff.","Artemisia","Amaranthaceae","Thalictrum","Tilia","Cornus","Lamiaceae","Caprifoliaceae","Rosaceae.undiff.","Polygonum","Juglans","Apiaceae","Onagraceae","Rhamnaceae","Campanulaceae","Caryophyllaceae","Potentilla.type","Shepherdia","Galium","Plantago","Dryas.type","Fabaceae"
0,0,0.0290909090909091,0.0218181818181818,0.367272727272727,0.00363636363636364,0.00727272727272727,0.00363636363636364,0.00363636363636364,0.0218181818181818,0.00363636363636364,0.0109090909090909,0.0109090909090909,0.105454545454545,0.0327272727272727,0.00363636363636364,0.00727272727272727,0.0872727272727273,0.00363636363636364,0.00363636363636364,0.0763636363636364,0.0109090909090909,0.00363636363636364,0.0109090909090909,0.123636363636364,0.00727272727272727,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,62,0.0148026315789474,0.00822368421052632,0.315789473684211,0,0.00328947368421053,0.00328947368421053,0.00657894736842105,0.0838815789473684,0,0.00822368421052632,0,0.120065789473684,0.0246710526315789,0.0115131578947368,0.00164473684210526,0.0855263157894737,0,0.00164473684210526,0.0427631578947368,0.0164473684210526,0.00822368421052632,0.0148026315789474,0.172697368421053,0.00822368421052632,0.0394736842105263,0.00164473684210526,0.00328947368421053,0.00164473684210526,0.00164473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,104,0.013550135501355,0.00542005420054201,0.360433604336043,0,0,0.002710027100271,0.002710027100271,0.046070460704607,0,0,0.00542005420054201,0.173441734417344,0.016260162601626,0.013550135501355,0.002710027100271,0.051490514905149,0,0.00542005420054201,0.051490514905149,0.010840108401084,0.008130081300813,0.021680216802168,0.130081300813008,0.002710027100271,0.0596205962059621,0,0.010840108401084,0,0,0.002710027100271,0.002710027100271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,297,0.0184757505773672,0.0046189376443418,0.429561200923788,0.0023094688221709,0,0.0184757505773672,0.0092378752886836,0.0739030023094688,0,0.0046189376443418,0.0046189376443418,0.0531177829099307,0.0207852193995381,0.0115473441108545,0,0.124711316397229,0,0,0.0369515011547344,0.0046189376443418,0.0092378752886836,0.0023094688221709,0.108545034642032,0.0069284064665127,0.0438799076212471,0.0046189376443418,0.0023094688221709,0.0023094688221709,0.0023094688221709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,489,0.0159420289855072,0,0.336231884057971,0.00289855072463768,0.00144927536231884,0.00144927536231884,0.00434782608695652,0.0884057971014493,0,0.00434782608695652,0,0.110144927536232,0.0246376811594203,0.00144927536231884,0.00289855072463768,0.13768115942029,0.00289855072463768,0.00579710144927536,0.0159420289855072,0.00869565217391304,0.0115942028985507,0.0072463768115942,0.208695652173913,0.00144927536231884,0.00144927536231884,0,0.00434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,682,0.0087719298245614,0,0.350877192982456,0,0.00292397660818713,0.0043859649122807,0.010233918128655,0.115497076023392,0,0.0043859649122807,0.00292397660818713,0.0614035087719298,0.0190058479532164,0,0,0.182748538011696,0.00146198830409357,0.00584795321637427,0.0204678362573099,0.0175438596491228,0.010233918128655,0.00292397660818713,0.171052631578947,0.00146198830409357,0.00146198830409357,0,0,0,0,0,0,0.00146198830409357,0.00146198830409357,0.00146198830409357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,875,0.0121317157712305,0,0.417677642980936,0,0,0.00519930675909879,0.00346620450606586,0.110918544194107,0,0,0.00173310225303293,0.0311958405545927,0.0190641247833622,0,0.00173310225303293,0.155979202772964,0,0,0.0155979202772964,0.0190641247833622,0.00346620450606586,0.00519930675909879,0.188908145580589,0.00519930675909879,0,0.00173310225303293,0,0,0,0,0,0,0,0,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1068,0.0197628458498024,0,0.387351778656126,0,0,0.0118577075098814,0.00197628458498024,0.108695652173913,0,0.00395256916996047,0.00395256916996047,0.033596837944664,0.0256916996047431,0,0,0.175889328063241,0,0.00988142292490119,0.00395256916996047,0.0118577075098814,0.00790513833992095,0.0118577075098814,0.16403162055336,0.00790513833992095,0.00197628458498024,0,0.00395256916996047,0,0,0,0.00197628458498024,0,0,0,0,0.00197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1261,0.00559701492537313,0,0.347014925373134,0,0.00186567164179104,0,0.00746268656716418,0.0914179104477612,0.00186567164179104,0.00373134328358209,0.00186567164179104,0.0354477611940298,0.0242537313432836,0,0,0.248134328358209,0,0.00559701492537313,0.0130597014925373,0.00932835820895522,0.0130597014925373,0.00559701492537313,0.17910447761194,0,0,0,0.00373134328358209,0.00186567164179104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1453,0.00779220779220779,0,0.363636363636364,0,0,0.012987012987013,0.0025974025974026,0.0727272727272727,0,0.0025974025974026,0.012987012987013,0.0207792207792208,0.0233766233766234,0,0,0.18961038961039,0,0.00519480519480519,0.0181818181818182,0.00519480519480519,0.0103896103896104,0.0025974025974026,0.225974025974026,0.00519480519480519,0.0025974025974026,0,0.012987012987013,0,0,0.0025974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
