"sample.depths","sample.ages","upland.sum","Acer.rubrum","Aquifoliaceae","Betula","Caprifoliaceae.undiff.","Carya","Castanea","Cupressaceae","Fagus","Poaceae.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Tilia","Tsuga","Ulmus","Apiaceae","Alnus","Liliaceae","Ambrosia","Rosaceae.undiff.","Fraxinus","Juglans","Acer.saccharum","Rhamnus","Celtis","Corylus","Ericaceae","Liquidambar","Asteraceae.subf..Asteroideae.undiff.","Prunus.Pyrus","Caryophyllaceae","Plantago.lanceolata","Salix","Sambucus","Vitis","Polygonum","Brassicaceae.type","Acer.undiff.","Larix","Populus","Amaranthaceae","Humulus","Lamiaceae","Ailanthus","Cephalanthus","Nyssa","Zea","Cyperaceae","Plantago.major","Thalictrum","Rhus","Viburnum","Fabaceae","Morus","Myrica","Urtica","Ranunculus","Epilobium.type","Liriodendron","Artemisia","Gleditsia","Cornus","Tradescantia","cf..Arisaema","cf..Podophyllum"
0.5,NA,713,10,2,182,2,12,12,2,66,12,10,3,4,4,60,4,128,2,10,92,8,2,10,2,38,2,16,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,NA,430,12,4,54,0,0,6,0,42,4,4,4,14,2,44,4,68,6,0,94,4,0,6,0,22,0,10,0,12,0,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,-24,826,10,4,156,0,10,6,0,96,30,6,10,4,10,42,2,124,14,2,138,8,0,6,0,30,0,8,0,12,6,0,0,2,0,2,0,2,4,2,2,74,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,-9,758,6,4,186,0,8,12,8,64,40,12,6,6,8,30,4,124,18,0,90,10,2,4,0,44,0,24,4,6,4,0,2,2,4,4,2,0,0,0,0,0,0,0,2,2,8,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,9,753,14,0,170,0,10,12,6,46,26,12,3,8,6,28,2,170,14,0,92,8,0,8,0,62,0,10,0,26,0,0,0,2,0,4,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,21,807,6,4,166,0,8,18,4,68,26,26,9,18,16,8,0,190,8,0,88,12,0,6,0,52,0,18,6,20,0,0,0,0,2,10,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,26,771,6,2,188,0,6,22,2,64,34,16,9,12,4,36,2,158,8,0,94,8,0,16,0,36,0,20,2,10,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,36,745,4,4,162,0,8,28,2,44,26,10,11,4,6,58,2,128,16,4,110,6,0,12,0,48,0,18,2,14,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,42,786,14,2,150,0,16,24,4,80,38,24,12,6,4,68,2,122,12,0,120,10,0,14,0,38,2,6,0,8,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,56,730,0,0,126,0,10,22,0,82,28,10,4,10,10,40,0,120,18,0,160,6,0,8,0,36,0,12,2,8,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20.5,65,748,6,0,152,0,8,28,0,50,6,6,5,6,18,58,0,108,20,2,180,10,0,6,0,32,0,16,2,13,0,2,0,0,0,4,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,74,866,8,0,142,0,6,12,2,62,20,6,14,16,10,66,0,116,20,4,256,6,0,6,0,24,0,20,4,18,0,0,6,0,0,0,2,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
24.5,99,708,8,0,158,2,4,26,2,58,22,8,6,12,10,32,0,128,12,0,144,8,2,2,0,14,0,12,2,10,0,8,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0
25.5,109,791,6,0,128,0,8,26,0,82,6,14,5,22,24,34,0,154,6,2,196,4,0,12,0,20,2,12,2,12,0,0,0,2,0,2,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,121,809,4,2,196,0,4,20,0,62,10,12,9,12,16,60,4,128,4,8,214,4,0,2,0,8,2,10,0,8,0,0,0,0,4,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,133,790,4,0,154,2,16,42,2,100,4,4,6,0,6,60,4,124,6,4,174,2,0,10,0,16,4,22,0,8,0,0,6,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,141,802,2,2,128,0,8,28,6,80,2,12,8,10,26,44,0,110,6,6,248,8,0,2,0,14,2,16,4,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
30.5,150,779,2,0,154,0,6,12,0,92,6,8,6,12,12,44,2,136,6,0,216,10,0,2,0,8,0,14,4,15,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
32.5,180,688,10,0,130,0,10,10,2,74,2,2,12,16,6,64,2,98,0,0,198,4,0,8,0,4,2,14,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.5,195,657,10,0,108,0,4,30,0,64,6,0,9,14,12,42,2,106,0,4,196,6,0,8,0,2,2,12,0,10,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
37,247,794,10,0,176,0,18,10,0,116,4,2,2,14,6,28,2,200,4,2,136,12,0,6,0,2,0,14,4,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
41,306,749,2,2,136,0,14,14,2,86,4,6,5,6,12,48,0,124,2,0,242,6,0,6,0,4,0,6,4,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
45,365,917,8,0,152,0,12,22,4,120,8,10,9,18,8,46,0,172,4,4,258,10,0,4,2,6,0,14,2,14,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,425,673,2,2,122,0,14,18,0,90,6,6,5,4,18,26,0,110,2,0,194,6,0,10,0,4,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,454,732,4,0,188,0,8,22,2,86,2,10,0,8,10,38,2,136,2,6,156,8,0,8,0,2,0,10,0,14,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
53,484,663,0,0,118,0,8,12,0,82,0,12,5,10,10,46,0,104,0,0,198,4,0,4,0,4,0,16,2,18,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,544,773,2,0,152,0,6,20,0,98,2,8,5,14,20,52,0,138,0,0,218,2,0,4,0,2,0,12,2,10,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
