"sample.depths","sample.ages","upland.sum","Abies","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fraxinus.americana.type","Fraxinus.nigra","Larix","Myrica","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae.undiff.","Cyperaceae","Dalea.candida.type","Other.herbs","Poaceae","Xanthium"
0,-27,277,1,51,38,0,0,0,0,0,0,0,0,0,74,84,0,3,0,0,0,0,3,6,0,5,1,0,11,0,0
5,70,242,2,28,8,0,0,0,0,0,0,0,0,0,56,131,0,3,1,1,0,0,1,1,0,3,3,0,4,0,0
10,168,243,1,31,16,0,0,0,1,0,0,2,0,0,58,122,0,1,1,0,0,0,4,2,0,1,0,0,3,0,0
15,266,249,1,32,14,0,0,0,1,0,0,0,0,0,67,118,0,2,0,0,0,0,1,1,0,3,4,0,4,1,0
20,364,277,0,48,44,0,0,0,0,0,0,0,0,0,61,95,0,0,0,0,0,0,3,6,0,7,0,0,13,0,0
25,461,246,2,33,21,0,0,0,0,0,0,2,0,1,61,112,0,0,1,0,0,1,1,3,0,1,3,0,4,0,0
30,559,241,0,28,17,0,0,0,0,0,0,1,0,0,78,103,0,1,1,0,0,0,1,5,0,0,0,0,5,1,0
35,657,243,0,24,29,0,0,0,0,0,0,1,0,1,43,125,0,1,1,0,0,0,1,7,1,0,0,0,8,1,0
40,755,224,0,11,14,0,0,0,0,0,0,0,0,0,56,129,0,0,0,0,0,1,1,4,0,1,1,0,5,1,0
45,852,234,0,25,13,0,0,0,0,0,0,0,0,0,53,134,0,0,0,0,0,0,0,1,0,2,3,0,3,0,0
50,950,247,0,26,18,0,0,0,0,0,0,0,0,0,43,137,0,2,2,2,0,0,2,4,1,1,1,0,6,2,0
55,1048,224,0,16,7,0,0,0,0,0,0,1,0,0,61,130,0,1,0,0,0,0,0,1,2,1,0,0,4,0,0
60,1146,231,0,19,15,0,0,0,0,0,0,2,0,0,51,131,0,1,0,0,0,0,0,5,0,1,0,0,6,0,0
65,1243,237,1,28,15,0,0,0,0,0,0,2,0,0,60,121,0,1,0,0,0,0,0,4,0,0,0,0,4,1,0
70,1341,234,0,26,12,0,0,0,0,0,0,3,0,0,54,130,0,1,1,0,0,0,0,3,0,0,0,0,3,1,0
75,1439,229,0,21,14,0,0,0,1,0,0,0,0,0,40,143,0,3,0,0,0,0,0,2,0,0,1,0,2,2,0
