"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tsuga","Ulmus","Alnus","Ambrosia","Myrica","Poaceae","Acer.saccharum","Fraxinus.nigra","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Artemisia","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Asteroideae.undiff.","Fagus","Platanus","Populus","Fraxinus.americana","Castanea","Vitis","Carya","Ericaceae","Sarcobatus.vermiculatus","Corylus","Humulus","Iva.xanthifolia","Apiaceae","Thalictrum","Xanthium","Ephedra.nevadensis.type","Iva.annua","Onagraceae","Shepherdia.canadensis","Tilia"
1,-2,301,10,2,131,2,2,1,1,2,2,26,3,1,1,2,3,1,6,1,1,5,1,30,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,42,300,6,0,182,1,2,1,0,0,0,28,5,0,0,1,0,6,24,0,1,4,0,16,16,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,215,300,13,0,138,0,0,4,0,2,1,41,15,0,0,1,3,10,0,0,7,3,0,26,30,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,512,301,10,0,147,0,3,1,1,0,3,25,18,0,0,1,3,5,3,0,0,2,0,30,38,5,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,808,300,5,0,175,0,23,1,0,0,0,18,8,0,0,2,0,7,1,0,0,4,0,26,27,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1104,303,2,0,180,0,6,4,3,1,0,17,6,0,0,5,3,5,4,0,2,4,2,13,38,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1400,301,7,0,212,0,3,1,1,1,0,16,6,0,0,3,0,3,0,1,1,3,1,8,30,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1696,301,5,0,195,0,12,0,1,1,1,15,12,0,0,1,3,8,2,0,1,4,1,11,24,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,1992,300,2,0,179,1,18,0,0,1,0,11,8,0,0,6,6,5,2,0,2,3,0,10,41,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2288,303,4,0,140,0,10,4,3,1,3,18,11,0,0,6,5,9,3,0,2,6,1,22,47,2,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
100,2585,302,4,0,167,0,7,1,2,5,1,18,5,0,0,1,2,7,2,0,1,5,2,11,54,2,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2881,300,5,0,141,3,20,2,1,3,4,8,14,0,0,0,2,8,4,0,2,14,0,19,41,3,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
