"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Morus","Myrica","Parnassia","Potentilla","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Populus","Pinaceae.undiff.","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Caryophyllaceae","Cerealia","Brassicaceae","Urticaceae"
1,-13,376,5,0,4,1,118,1,39,0,3,5,1,0,4,5,48,3,23,3,4,0,13,0,0,1,0,4,1,0,0,3,0,1,0,1,2,10,14,5,2,0,1,0,11,2,1,0,4,0,0,9,12,0,1,8,0,0,2,1,0
10,250,351,1,0,9,5,80,1,27,0,5,3,0,0,1,0,2,0,32,10,2,3,14,0,0,0,0,0,0,0,0,0,0,0,2,2,0,21,56,1,3,0,0,0,26,0,7,0,1,11,0,16,8,0,0,0,0,1,0,1,0
20,541,343,3,0,9,3,3,0,15,0,3,5,0,0,0,0,0,0,35,20,3,1,3,0,0,0,5,0,0,0,0,0,0,0,0,2,0,30,94,0,0,0,1,0,38,0,0,0,1,1,4,49,15,0,0,0,0,0,0,0,0
60,1707,342,1,1,27,3,1,0,18,0,15,17,0,0,1,0,0,1,27,42,8,2,0,1,0,0,0,0,0,0,1,1,0,0,1,2,0,22,46,0,4,0,0,0,33,0,0,0,0,3,3,41,20,0,0,0,0,0,0,0,0
95,2727,318,2,0,43,0,0,0,3,0,3,2,0,0,0,0,1,0,10,4,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,23,115,0,0,0,0,0,12,0,0,0,0,6,6,69,6,0,0,0,0,0,0,0,1
135,2936,309,0,0,24,2,0,0,16,0,9,12,0,0,0,0,0,0,8,37,9,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7,34,0,4,0,1,0,35,0,0,0,0,5,5,48,45,0,0,0,0,0,0,0,0
170,3064,337,0,0,37,1,0,1,12,0,7,11,0,0,1,0,0,1,22,47,5,4,0,0,2,1,0,0,0,0,0,1,1,0,0,2,0,12,72,0,4,0,0,0,27,0,0,0,0,6,2,34,24,0,0,0,0,0,0,0,0
190,3136,312,4,0,32,1,2,0,17,0,5,6,0,0,0,0,1,0,4,38,3,4,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,32,31,0,2,0,0,0,29,0,0,0,0,6,14,52,24,0,0,0,0,0,0,0,0
210,3209,325,3,0,20,3,0,0,14,0,5,7,0,0,0,0,2,6,24,32,5,2,1,0,0,0,2,0,0,0,0,15,0,0,0,2,0,11,62,0,2,0,0,0,40,0,0,0,0,11,6,22,28,0,0,0,0,0,0,0,0
230,3379,374,1,0,47,3,2,1,25,0,6,5,2,0,0,0,1,0,59,33,2,3,2,0,1,0,2,0,0,0,0,0,0,0,1,4,0,6,57,0,1,0,2,0,35,0,0,0,0,15,13,25,20,0,0,0,0,0,0,0,0
243,3553,466,1,1,36,6,2,1,17,0,8,8,0,0,1,0,0,0,146,25,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,15,78,0,1,0,0,0,41,0,0,0,0,25,8,19,20,0,0,0,0,0,0,0,0
260,3781,480,1,0,32,2,3,1,16,0,8,2,0,0,0,0,2,0,171,12,2,4,0,0,0,0,4,0,0,0,0,2,3,0,0,1,0,20,68,0,6,0,0,0,16,0,0,0,0,74,0,9,21,0,0,0,0,0,0,0,0
270,3915,280,2,0,30,0,5,0,15,0,3,3,0,1,0,0,3,1,36,16,2,1,2,0,0,0,2,0,0,1,0,0,1,0,0,4,0,7,66,0,3,0,0,0,28,0,0,0,2,18,5,10,9,1,0,1,2,0,0,0,0
280,4210,331,1,0,34,0,3,1,11,0,2,3,0,0,0,0,3,0,5,4,0,2,3,0,0,0,16,0,0,1,0,0,0,0,0,1,0,3,70,0,1,0,0,0,3,0,0,0,2,116,13,3,30,0,0,0,0,0,0,0,0
305,4949,339,0,0,23,3,8,2,13,0,1,12,0,0,0,0,2,0,1,3,0,3,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,3,142,0,5,0,0,0,5,0,0,0,0,30,5,11,60,0,0,0,0,0,0,0,0
325,5540,332,1,0,34,3,15,0,14,0,0,5,0,0,3,0,0,0,0,3,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0,0,0,1,128,11,7,43,0,0,0,0,0,0,0,0
350,6279,304,2,1,23,1,4,0,2,0,1,2,0,0,0,0,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,4,0,0,0,10,0,0,0,0,136,9,7,34,0,0,0,0,0,0,0,0
370,7196,393,0,0,12,2,0,0,4,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,0,4,0,0,0,0,268,8,10,25,0,0,0,0,0,0,0,0
385,7927,419,1,0,9,1,2,0,5,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,40,0,4,0,0,0,2,0,0,0,0,317,3,9,17,0,0,0,0,0,0,0,0
405,8902,302,1,0,22,1,7,2,9,0,3,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,2,172,0,1,0,0,0,5,0,0,0,0,1,6,16,21,0,0,0,0,0,0,0,0
430,10120,337,0,0,4,0,0,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,9,0,0,2,0,0,0,0,0,1,0,2,236,0,0,0,0,0,23,1,0,0,2,33,0,7,5,0,0,0,0,0,0,0,0
440,10713,349,1,0,2,0,2,1,10,0,8,0,0,0,0,0,0,1,2,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,6,0,17,233,0,2,0,0,5,38,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0
470,11544,255,1,0,2,0,0,0,3,10,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,25,0,0,1,0,0,0,0,0,34,18,2,134,0,0,0,0,13,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
490,12099,315,0,0,2,1,1,0,2,24,4,0,0,0,0,0,2,0,2,0,0,3,1,0,0,0,13,0,0,0,0,0,0,0,0,106,21,19,90,0,1,0,1,0,14,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0
518,NA,237,0,0,0,1,5,1,1,1,0,0,0,1,0,1,0,29,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,156,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,NA,308,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,63,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,36,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
