"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Shepherdia","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Zea"
1,-42,639,0,0,0,0,11,5,0,0,194,10,3,1,8,0,0,23,12,0,1,0,0,0,0,0,5,0,6,6,19,25,27,4,1,150,0,1,0,2,51,10,0,27,0,0,0,0,0,1,10,0,0,19,0,0,0,5,2,0
5,-32,609,2,0,1,0,2,1,0,0,192,13,7,0,2,2,1,27,0,8,0,0,1,0,0,0,3,0,2,3,11,21,14,1,0,157,1,3,0,0,45,8,0,34,0,2,1,0,0,1,5,0,1,21,0,0,2,14,0,0
8.5,-23,741,1,0,0,0,8,7,0,0,237,8,4,0,0,0,0,29,6,0,0,0,0,0,0,0,9,0,4,7,27,21,31,0,0,182,0,2,0,1,62,12,0,40,0,0,1,0,0,1,6,0,0,18,0,0,0,17,0,0
11,-17,645,1,0,2,0,7,7,1,0,216,11,10,0,4,1,0,26,0,6,0,1,0,0,0,0,3,0,2,7,20,10,29,3,0,136,1,0,0,0,43,11,0,29,0,3,3,0,0,1,6,0,0,25,0,0,0,20,0,0
15,-7,691,3,0,4,0,7,2,1,0,195,12,6,0,7,2,1,28,7,0,1,1,0,0,0,1,7,1,5,4,24,17,19,2,1,158,0,2,0,0,54,15,1,29,0,2,1,0,0,2,10,0,0,37,0,0,0,21,1,0
19,3,624,0,0,1,0,15,9,0,0,185,11,11,1,1,0,1,28,2,7,1,1,1,0,0,0,1,1,1,4,26,19,11,3,0,114,0,2,0,1,58,8,0,39,0,0,3,0,0,1,6,1,0,17,0,0,0,33,0,0
21,8,695,3,0,1,0,11,3,0,0,196,2,0,1,8,0,0,36,6,0,1,2,0,0,0,0,2,0,6,9,29,18,36,1,0,134,0,2,0,0,59,12,0,41,0,0,2,0,0,2,8,0,1,32,0,0,2,29,0,0
25,17,637,1,0,3,0,10,6,1,0,168,8,25,1,4,4,0,33,1,8,0,3,0,0,0,0,5,0,4,12,11,28,33,3,0,111,1,1,0,0,51,6,0,38,0,0,2,0,0,1,9,0,0,24,0,0,0,21,0,0
29,27,625,1,0,4,0,12,5,1,0,176,13,9,0,3,1,0,36,7,1,0,1,0,1,0,0,6,0,4,8,20,22,31,0,1,110,1,1,0,0,47,13,0,38,0,1,1,0,0,1,3,0,0,26,0,0,1,18,1,0
32.5,36,616,0,0,1,0,7,6,0,0,167,6,25,1,4,1,0,32,1,3,0,4,0,0,0,0,3,0,1,6,16,20,38,3,0,103,1,1,0,1,52,7,1,35,0,0,2,0,0,0,5,0,1,38,0,0,0,23,0,1
33.5,38,730,0,0,1,0,13,5,1,0,177,14,11,0,6,0,0,37,12,1,0,2,0,0,0,0,5,0,4,9,15,34,35,3,0,147,0,1,0,1,49,9,0,49,0,0,1,0,0,0,12,0,1,43,0,0,1,31,0,0
35.5,43,607,1,0,3,0,8,8,1,1,159,9,19,0,2,0,0,19,1,5,0,1,0,0,0,0,4,3,2,13,17,28,14,0,0,115,2,2,0,1,56,11,1,37,0,2,1,0,0,1,9,0,3,30,0,0,0,18,0,0
37.5,48,555,0,0,0,0,8,7,0,0,116,10,3,1,4,1,1,23,14,0,0,0,0,3,0,0,10,0,4,7,26,34,28,2,0,108,0,3,0,0,47,8,0,42,0,2,0,0,0,2,6,0,0,20,0,0,2,13,0,0
41.5,58,658,0,0,2,0,5,9,0,0,166,7,13,0,6,1,0,36,2,1,0,1,1,1,0,0,3,1,1,8,16,22,46,0,0,137,1,2,0,0,59,10,0,49,0,1,0,1,0,1,3,0,1,23,1,0,1,20,0,0
42.5,60,687,5,2,2,0,14,3,1,0,169,13,19,2,1,0,1,50,7,2,0,2,1,0,0,0,7,0,2,11,28,44,35,1,0,108,0,1,0,0,45,5,1,41,0,2,0,0,0,1,7,0,0,22,0,0,1,31,0,0
44.5,65,630,0,0,2,1,11,8,0,0,144,8,10,0,10,6,1,39,13,2,0,3,1,2,0,0,10,1,6,8,26,34,20,3,0,95,0,1,0,0,39,4,0,46,0,2,1,0,0,0,9,0,1,20,0,0,1,42,0,0
47.5,73,629,2,0,0,0,8,8,0,0,127,5,11,0,1,0,0,38,8,1,0,4,0,1,0,0,4,0,1,10,34,19,40,4,0,139,0,3,0,2,49,6,0,34,0,0,3,0,0,1,12,0,1,26,1,0,0,24,2,0
49.5,78,722,1,0,0,0,12,5,0,0,123,10,11,1,4,0,1,51,5,0,1,1,0,0,0,0,8,1,0,13,26,65,44,1,0,127,2,1,0,0,64,3,0,60,0,3,1,0,0,1,5,0,1,38,0,0,0,32,0,0
51.5,82,635,3,0,3,0,5,6,0,0,113,6,14,0,3,0,0,39,3,0,1,3,1,0,0,0,6,0,2,11,41,20,34,3,2,123,0,1,0,0,78,6,0,32,0,1,1,0,0,1,6,0,0,30,0,0,0,37,0,0
