"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Ostrya.Carpinus","Picea","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Myrica","Poaceae","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Fagus","Larix","Salix","Ulmus","Populus","Corylus","Cupressaceae","Platanus","Thalictrum","Iva.xanthifolia","Fraxinus.nigra","Ericaceae","Fraxinus.americana","Carya","Juglans.cinerea","Acer.rubrum","Apiaceae","Iva.annua","Rosaceae","Tilia","Sarcobatus.vermiculatus","Juglans.nigra","Amorpha","Vitis","Xanthium","Onagraceae","Ranunculus"
1,-28,292,9,9,109,4,2,1,37,9,2,2,1,19,21,1,1,2,27,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-6,300,6,5,115,3,0,1,46,11,1,2,1,16,18,0,2,1,11,51,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,17,300,5,6,120,2,0,1,37,14,0,4,0,23,10,0,2,0,21,34,2,3,0,3,0,3,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,41,299,6,3,132,2,0,2,50,6,0,1,2,14,5,1,0,2,4,53,3,1,0,8,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,65,300,6,5,110,1,1,0,47,7,0,3,1,14,6,0,1,1,34,50,0,5,0,1,1,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
50,88,300,14,5,111,0,0,5,46,9,0,1,1,17,6,0,1,3,22,44,1,4,0,3,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,213,300,8,5,131,1,1,0,44,7,0,3,0,18,1,0,0,0,26,47,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
80,666,300,5,0,145,0,3,0,34,7,0,5,1,24,0,2,1,1,11,52,1,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
100,1118,300,10,3,121,0,2,2,41,8,0,2,0,25,2,0,1,5,14,57,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1571,300,11,3,124,1,0,1,37,6,0,2,1,20,1,4,0,1,24,43,0,2,0,11,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0
140,2023,300,8,5,114,0,1,1,34,10,0,0,4,24,1,0,1,0,34,51,1,3,0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160,2476,301,10,2,141,0,0,0,49,5,0,4,1,22,1,0,1,0,22,36,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
180,2928,300,9,2,131,0,1,0,45,3,0,4,0,14,2,0,3,1,34,43,0,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3381,300,11,1,158,0,0,0,25,4,0,0,1,21,4,0,0,3,28,22,1,3,0,2,4,0,7,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3833,300,8,1,132,1,5,2,33,11,0,1,1,21,1,0,2,2,43,29,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4286,300,6,1,134,0,3,1,39,7,0,1,1,21,0,1,0,0,38,35,1,2,0,2,0,0,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4738,300,5,0,170,0,1,4,27,6,0,3,0,10,1,1,1,1,47,16,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5191,300,7,2,150,1,1,0,32,9,0,1,2,12,3,0,0,0,39,31,1,3,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
300,5643,300,10,2,158,1,0,0,29,7,0,0,0,18,0,1,2,1,26,38,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
320,6096,300,6,2,128,1,1,0,26,12,0,0,1,28,0,0,0,1,35,40,1,4,2,2,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6549,300,16,5,98,2,1,2,43,12,0,0,0,24,1,0,2,2,48,34,0,3,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,6867,301,9,1,86,3,2,5,22,11,0,1,0,15,1,0,1,1,94,27,0,0,0,5,1,1,8,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
380,7051,300,4,1,105,1,1,1,15,12,0,0,1,16,0,0,0,0,98,28,0,3,0,3,0,0,8,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
400,7235,300,1,4,85,2,1,2,8,7,0,0,1,23,2,2,0,1,113,35,0,1,0,2,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
420,7419,300,7,0,99,0,0,0,15,15,0,3,0,19,3,0,1,1,90,36,0,1,0,1,0,1,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
440,7603,300,1,3,43,2,0,4,7,12,0,1,1,11,2,0,0,4,164,25,0,1,0,2,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
460,7788,300,2,6,46,0,1,2,9,5,0,0,1,11,3,1,2,0,151,49,0,1,0,4,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
480,7972,300,2,2,40,1,2,6,8,6,0,0,0,6,1,1,0,1,194,18,0,2,0,3,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,8156,300,1,5,52,0,1,0,8,8,0,0,0,2,2,0,2,1,155,56,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,8340,290,6,5,97,6,0,3,11,15,0,0,1,2,4,2,3,0,84,45,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
560,NA,300,4,12,69,6,1,1,81,12,0,0,4,6,13,0,1,1,11,67,0,4,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,NA,299,3,5,15,4,5,0,97,9,0,0,2,0,7,1,2,1,10,113,0,15,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
600,NA,300,1,20,24,6,5,3,86,18,0,0,0,9,9,0,1,0,11,90,0,2,4,2,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0
620,NA,300,0,3,15,1,10,1,141,17,0,0,0,1,3,0,1,1,10,90,0,0,0,2,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
630,NA,300,1,1,11,2,17,1,119,19,0,0,3,0,7,0,3,0,7,92,0,2,0,8,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1
640,NA,300,0,16,19,2,30,2,80,21,0,0,1,1,12,2,2,0,5,94,0,0,3,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,NA,300,2,1,7,2,7,0,27,17,0,0,3,1,1,0,2,1,0,221,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,NA,300,0,14,22,8,11,1,18,53,0,0,5,1,5,0,10,2,2,115,0,0,1,25,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
