"sample.depths","sample.ages","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Corylus","Cyperaceae","Dryopteris","Elaeagnus.commutata","Equisetum","Ericaceae","Fraxinus.nigra","Indeterminable","Iva.xanthifolia.type","Juniperus","Lamiaceae","Lycopodium.clavatum.type","Myriophyllum","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Poaceae","Polygonum.amphibium","Populus","Potamogetonaceae","Quercus","Ranunculus","Rosaceae","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium","Thalictrum","Typha","Unknown","Unknown..trilete..Cretaceous.","Utricularia"
545,NA,3,2,10,4,3,1,1,92,3,0,0,0,0,2,0,1,0,0,9,0,136,16,14,0,3,0,2,0,0,18,0,1,10,0,41,0,0,0
555,14581,0,1,17,2,1,0,0,144,1,1,2,0,1,3,0,0,0,0,19,1,129,20,15,1,0,4,0,0,0,10,1,0,7,1,27,0,0,0
565,14676,1,0,16,3,3,0,0,166,2,0,0,1,0,6,0,2,0,0,186,0,128,18,9,0,0,0,1,4,0,17,0,1,6,0,0,0,1,3
570,14724,2,0,29,3,1,0,0,262,0,1,0,0,0,8,0,0,0,1,295,0,132,10,10,0,0,0,0,0,0,11,0,0,2,1,0,4,5,0
575,14772,1,0,20,2,1,0,0,322,0,0,1,0,1,6,1,0,0,0,208,0,142,13,15,0,0,1,0,0,0,4,0,0,5,0,0,0,2,0
585,14868,0,1,31,2,0,0,0,232,0,0,0,0,0,12,0,0,0,0,112,0,123,17,9,0,1,1,0,2,1,13,1,1,1,0,0,0,2,0
595,14964,0,2,18,1,1,0,0,195,1,0,0,0,1,8,0,0,1,0,118,0,129,16,9,0,1,0,0,0,0,20,1,1,0,0,1,1,3,3
605,NA,0,0,15,2,0,0,3,336,0,0,0,0,0,4,0,0,0,0,8,1,137,16,12,0,2,0,0,4,0,8,2,2,0,0,0,4,5,2
