"sample.depths","sample.ages","Abies.balsamea","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Caryophyllaceae","cf..Callitriche","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris","Dryopteris.type.undiff.","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Onagraceae","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Quercus","Ranunculaceae","Rosaceae.undiff.","Rubus.chamaemorus","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sphagnum","Taxus","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
0,-1,2,0,0,0,8,93,0,0,4,4,59,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,3,0,0,3,0,0,1,2,1,3,0,1,0,0,1,152,35,22,0,8,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,1,3,0
10,473,0,0,0,0,5,110,0,0,1,1,66,0,0,0,2,14,0,0,0,0,2,10,0,0,0,0,0,1,0,0,5,3,0,2,6,2,4,0,2,0,0,2,174,39,18,5,27,8,0,0,0,0,2,1,0,1,0,0,0,0,1,0,68,0,0,0,0,0,0,13,2
20,946,0,0,0,0,11,126,1,0,2,0,63,0,0,0,2,6,0,0,0,0,0,5,0,0,0,0,0,3,1,0,6,4,0,2,3,0,10,0,2,0,1,0,146,30,13,3,6,8,0,0,1,0,0,2,0,1,0,0,0,0,1,0,48,0,0,1,0,2,1,6,3
30,1419,0,0,0,0,4,170,0,2,2,2,64,0,1,0,0,19,0,0,0,1,0,3,0,1,2,0,0,13,0,0,8,1,1,4,5,0,1,0,1,0,0,0,364,37,55,17,18,6,0,2,1,0,0,0,0,0,0,0,0,0,2,0,13,1,0,0,0,2,0,4,31
40,1892,2,0,1,0,12,223,2,0,2,2,83,0,0,0,0,9,0,0,0,0,0,6,0,0,2,0,0,1,0,0,5,2,0,1,2,2,5,0,4,1,0,2,189,43,27,1,4,17,0,0,0,0,0,3,0,0,0,0,0,0,6,0,24,0,0,1,0,2,1,6,0
50,2365,0,0,0,1,8,154,0,1,2,1,58,0,0,0,0,8,0,0,0,1,0,6,0,1,0,2,0,9,0,0,3,3,0,4,1,2,4,0,1,0,0,2,248,41,23,4,7,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,17,1,0,0,0,1,0,7,7
60,2838,0,0,0,0,4,160,2,1,5,1,96,0,1,0,2,14,0,0,0,2,0,7,0,0,1,1,2,3,0,0,9,1,0,1,11,0,7,0,0,0,0,2,146,39,27,4,4,1,0,2,9,0,0,1,0,0,0,0,0,0,0,0,25,1,0,0,0,1,1,4,4
70,3311,0,0,0,0,9,185,0,0,4,2,74,0,0,0,0,14,0,0,0,0,2,5,1,0,1,0,0,4,0,0,1,3,0,10,6,0,9,0,6,0,0,2,234,24,18,11,10,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,26,2,0,0,0,0,0,4,0
80,3784,0,0,0,0,0,202,0,0,4,1,86,1,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,4,4,12,3,5,0,0,0,102,31,7,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,1
90,4258,0,0,0,0,4,136,0,0,1,2,91,0,0,0,1,11,0,0,0,0,0,1,0,0,0,1,0,3,0,0,7,3,0,1,2,0,1,0,3,0,1,0,224,20,20,2,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
100,4731,0,0,0,0,5,206,0,0,0,2,71,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,16,0,0,3,1,0,3,4,3,8,0,2,0,0,1,179,27,21,2,6,9,0,1,1,0,0,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,3,1
110,5204,0,0,0,0,9,128,0,0,3,0,114,0,0,1,0,8,0,2,0,0,0,0,0,0,1,0,0,7,0,0,1,3,0,2,2,1,2,0,0,0,0,0,369,27,12,6,10,5,0,0,0,2,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5,0
120,5677,0,0,0,0,2,233,1,1,1,2,95,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,17,1,0,4,0,0,0,3,0,3,0,0,0,4,0,126,10,7,0,1,6,0,2,1,0,0,1,0,1,0,0,0,0,2,0,2,1,0,0,0,0,0,1,3
130,6150,0,0,0,0,1,343,1,0,0,0,46,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,3,0,0,2,1,0,0,2,0,4,0,0,0,0,0,190,10,11,2,1,3,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2
140,NA,0,0,0,0,0,75,0,8,3,0,105,0,0,0,0,17,0,0,2,0,0,1,0,1,1,0,0,0,0,1,36,0,0,1,7,5,5,0,0,0,3,0,67,7,13,0,2,12,26,5,2,0,0,4,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,2,13
150,NA,1,1,0,0,8,46,3,0,17,13,59,1,1,0,0,43,1,0,0,0,3,3,0,0,1,0,1,1,0,0,2,0,0,2,6,4,3,0,0,0,4,0,76,23,106,14,23,15,0,1,1,0,0,6,0,3,0,0,1,1,7,4,55,0,0,0,0,3,0,7,0
157,NA,0,0,1,0,0,55,15,2,34,21,68,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,4,3,5,0,0,0,2,0,48,3,108,0,9,8,14,1,1,0,0,9,0,6,0,0,0,0,5,0,10,1,1,0,0,4,2,0,24
