"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Humulus","Indeterminable","Iva","Juglans","Larix","Lycopodium.type","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus.balsamifera","Populus.tremuloides","Populus.undiff.","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rhamnus","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sarracenia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Urtica","Xanthium"
145,1999,2,0,0,2,11,3,3,2,2,25,0,0,0,11,17,0,1,2,0,0,0,0,0,3,0,0,2,0,0,0,0,2,1,26,81,46,0,4,0,0,0,0,3,14,0,0,0,0,0,0,0,0,69,0,0,0,1,1,0,0
155,2086,2,1,0,0,9,0,3,1,3,35,0,0,6,1,11,0,1,0,0,2,0,0,0,0,0,0,4,1,0,0,0,4,1,15,84,54,1,5,0,0,0,0,5,9,0,0,0,0,0,0,0,0,154,0,3,0,5,0,0,0
175,2260,5,0,0,0,3,3,5,4,0,13,0,0,1,4,5,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,3,88,145,70,0,1,0,0,0,0,12,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
275,3130,0,1,0,0,10,4,7,9,5,28,2,0,0,5,9,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6,27,121,60,0,5,0,0,0,0,12,14,0,0,0,0,1,0,0,0,41,0,1,3,1,0,0,0
295,3304,0,0,0,0,1,1,3,2,0,15,0,0,1,1,9,0,0,1,0,0,0,0,0,1,2,1,0,0,2,0,0,1,0,21,82,46,0,1,0,0,0,0,0,13,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0
335,3652,0,0,1,0,1,0,2,3,3,4,0,0,0,8,5,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,21,63,58,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,3,1,3,0,0,0
345,3739,0,0,0,0,13,3,10,6,3,36,1,0,2,5,21,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,11,40,44,1,4,0,1,0,1,0,37,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0
350,3782,1,2,4,1,20,2,6,8,4,44,1,0,3,40,45,0,2,0,0,3,0,1,0,0,0,0,4,0,0,0,0,1,0,8,31,25,0,7,5,0,0,1,0,64,0,0,0,0,1,0,0,0,1,0,2,0,7,0,0,0
355,3943,0,0,5,0,25,3,7,10,1,38,1,0,1,12,11,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,3,0,10,2,23,0,7,0,0,0,0,0,69,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0
375,4588,0,0,0,0,16,1,8,7,2,15,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,1,4,4,7,0,300,0,0,0,0,0,24,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0
415,5877,0,0,0,0,17,1,6,9,3,18,0,0,1,3,4,0,0,0,0,0,1,1,0,8,3,0,0,0,2,2,0,0,0,16,4,12,0,168,0,0,0,0,0,32,0,0,0,0,1,0,0,2,0,0,1,0,4,0,0,0
435,6521,0,0,0,0,33,18,31,32,7,25,0,0,8,2,5,0,5,0,0,6,1,3,0,1,2,3,0,2,3,2,6,16,2,19,4,22,0,94,0,0,0,0,0,120,0,0,0,0,10,1,0,1,1,0,2,11,17,0,0,0
455,7165,0,0,0,0,15,0,0,0,0,19,0,0,7,3,0,0,5,0,0,3,0,0,0,0,1,0,0,0,9,0,1,11,1,6,13,21,1,0,0,0,0,1,0,86,0,0,0,0,0,0,0,0,0,0,2,6,15,0,0,0
475,7810,0,0,0,0,15,17,48,22,7,27,0,0,3,5,2,0,2,0,0,0,0,1,0,0,6,0,0,0,17,1,0,1,4,36,2,16,0,40,0,0,0,0,0,43,0,0,0,0,2,0,0,0,0,0,1,5,13,0,0,0
515,9504,0,0,0,0,37,15,22,20,4,37,1,0,7,36,2,0,0,0,0,3,0,0,1,2,0,2,0,0,0,1,0,4,0,43,38,6,0,18,0,0,0,0,0,21,0,0,0,0,4,0,0,0,0,0,0,3,15,0,3,0
535,10690,2,3,0,0,20,3,12,18,2,78,3,0,1,0,4,0,1,0,0,5,0,2,0,0,3,0,2,1,0,0,0,7,8,80,1,30,0,8,0,0,0,0,0,22,0,0,1,0,1,6,0,0,0,1,1,0,33,0,0,0
545,10986,2,0,0,0,3,2,8,20,0,54,4,4,13,4,5,0,2,0,0,5,1,0,0,0,0,3,12,0,0,0,0,3,78,149,2,50,1,4,1,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,19,0,0,0
550,11133,6,0,0,4,8,0,4,23,1,84,1,2,5,1,15,0,8,0,0,15,0,0,0,0,0,3,14,2,0,0,0,4,164,132,2,21,0,3,0,0,0,0,3,20,0,0,0,0,3,0,0,0,2,1,0,0,26,0,0,0
555,11281,0,0,0,0,2,0,2,4,1,14,0,0,4,0,5,0,0,0,0,2,0,0,1,0,0,0,6,0,0,1,0,2,38,32,1,12,0,9,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,4,5,0,0,0
560,11429,1,1,0,0,1,1,1,6,0,15,0,0,3,1,14,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,4,100,12,28,17,0,6,0,0,0,0,0,7,1,0,0,0,5,0,0,0,0,0,0,1,15,0,0,0
575,NA,2,0,0,0,6,1,2,26,1,25,0,0,2,0,11,0,0,0,0,10,0,1,0,0,0,1,1,1,0,0,0,2,216,2,6,22,0,10,0,0,1,0,0,6,0,1,0,0,4,0,0,0,1,1,0,0,3,0,1,0
615,NA,0,0,0,0,1,2,12,22,0,2,1,0,1,1,9,0,0,0,1,0,0,0,0,0,1,0,13,0,0,0,0,0,173,1,0,7,0,5,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0
635,NA,0,0,0,0,2,2,9,15,0,8,1,0,1,8,46,0,4,0,0,6,0,1,1,12,1,0,0,0,0,1,0,1,73,2,0,3,0,13,1,0,5,4,0,2,0,0,0,0,6,5,0,0,1,3,0,1,3,0,2,0
