"sample.depths","sample.ages","Acer.negundo","Acer.undiff.","Alnus.incana.type","Betula","Bidens.type","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.undiff.","Poaceae.undiff.","Ilex","Juglans.nigra","Juglans.undiff.","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Plantago.lanceolata","Platanus","Quercus","Rubus","Salix","Sambucus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Vitis","Ambrosia","Populus","Brassicaceae","Urtica","Acer.saccharum","Chenopodium.type","Celtis.Maclura.type","Fraxinus.quadrangulata.F..nigra.type","Fraxinus.pennsylvanica.F..americana.type","Liquidambar.styraciflua","Mitella","Castanea","Lonicera","Nyssa","Rumex","Xanthium","Myrica.type","Cephalanthus.occidentalis","Prunus","Rhamnus","Zanthoxylum.americanum","Catalpa.speciosa","Diodia","Artemisia","Tsuga","Zea.mays","Viburnum","Dodecatheon","Solanaceae","Iva","Trifolium","Liriodendron.tulipifera","Hypericum","Onagraceae","Lamiaceae","Cornus.florida","Acer.rubrum","Magnolia","Morus","Polygonum.hydropiper.type","Asteraceae.subf..Cichorioideae","Plantago.undiff.","Robinia","Hypoxis.hirsuta","Juglans.cinerea","Celastraceae","Galium","Toxicodendron.radicans","Malvaceae","Tilia"
10,-23,0.00191938579654511,0.00191938579654511,0.00575815738963532,0.00767754318618042,0.00191938579654511,0.0249520153550864,0.00383877159309021,0.00191938579654511,0.00767754318618042,0.0211132437619962,0.00191938579654511,0.00191938579654511,0.00575815738963532,0.143953934740883,0.00191938579654511,0.00767754318618042,0.00383877159309021,0.00959692898272553,0.055662188099808,0.0652591170825336,0.00575815738963532,0.0115163147792706,0.00383877159309021,0.247600767754319,0.00575815738963532,0.053742802303263,0.00383877159309021,0.00383877159309021,0.00767754318618042,0.0287907869481766,0.00383877159309021,0.00383877159309021,0.130518234165067,0.00191938579654511,0.00575815738963532,0.00383877159309021,0.00383877159309021,0.00575815738963532,0.00767754318618042,0.0383877159309021,0.0326295585412668,0.0115163147792706,0.00191938579654511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-15,0.0019047619047619,0.0019047619047619,0.00761904761904762,0.00761904761904762,0.00761904761904762,0.0323809523809524,0.00761904761904762,0.0019047619047619,0.00380952380952381,0.0247619047619048,0,0.0019047619047619,0.0114285714285714,0.0514285714285714,0,0.00952380952380952,0.00952380952380952,0.0133333333333333,0.0571428571428571,0.060952380952381,0.00571428571428571,0.00380952380952381,0,0.207619047619048,0.00380952380952381,0.078095238095238,0.00571428571428571,0,0.0152380952380952,0.019047619047619,0,0.00571428571428571,0.205714285714286,0,0.0019047619047619,0,0,0.00380952380952381,0.00380952380952381,0.0323809523809524,0.0323809523809524,0.0133333333333333,0,0.00571428571428571,0.0019047619047619,0.0019047619047619,0.0019047619047619,0.00571428571428571,0.00380952380952381,0.019047619047619,0.0019047619047619,0.0019047619047619,0.0019047619047619,0.0019047619047619,0.0019047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-7,0,0.0016260162601626,0.0065040650406504,0.008130081300813,0.0016260162601626,0.016260162601626,0.0032520325203252,0.0016260162601626,0.0065040650406504,0.024390243902439,0,0,0.0032520325203252,0.0276422764227642,0,0.0065040650406504,0.008130081300813,0.0032520325203252,0.0439024390243902,0.0666666666666667,0.0097560975609756,0.0065040650406504,0.0016260162601626,0.2,0.0016260162601626,0.0617886178861789,0.0048780487804878,0,0.0048780487804878,0.0016260162601626,0.0016260162601626,0.0032520325203252,0.385365853658537,0.0016260162601626,0,0,0,0.0016260162601626,0,0.0308943089430894,0.0260162601626016,0.0016260162601626,0,0.0032520325203252,0,0.0032520325203252,0,0,0.0016260162601626,0.0065040650406504,0,0,0,0.0016260162601626,0,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0.00143472022955524,0,0.00430416068866571,0.00430416068866571,0.00573888091822095,0.0129124820659971,0.00286944045911047,0.00143472022955524,0.00573888091822095,0.0229555236728838,0.00143472022955524,0.00573888091822095,0,0.0459110473457676,0.00143472022955524,0.0129124820659971,0.00717360114777618,0.00573888091822095,0.0516499282639885,0.0832137733142037,0.00430416068866571,0.00430416068866571,0,0.176470588235294,0.00143472022955524,0.0387374461979914,0.00143472022955524,0,0.0258249641319943,0.00573888091822095,0,0.00143472022955524,0.338593974175036,0,0.00430416068866571,0.00286944045911047,0,0.00286944045911047,0,0.0100430416068867,0.00860832137733142,0.00143472022955524,0,0.0631276901004304,0,0.00143472022955524,0.00430416068866571,0.00573888091822095,0,0.0100430416068867,0,0,0,0.00286944045911047,0,0,0,0.00286944045911047,0,0,0,0.00143472022955524,0.00143472022955524,0.00143472022955524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,0,0,0.0010351966873706,0.0020703933747412,0.010351966873706,0.0010351966873706,0,0,0.0041407867494824,0.0227743271221532,0,0,0.0062111801242236,0.020703933747412,0,0.0010351966873706,0.0010351966873706,0.0010351966873706,0.0269151138716356,0.0559006211180124,0.0010351966873706,0,0.0020703933747412,0.140786749482402,0.0144927536231884,0.0124223602484472,0,0,0.0165631469979296,0.0041407867494824,0,0.0010351966873706,0.589026915113872,0,0.0010351966873706,0,0,0.0020703933747412,0,0.010351966873706,0.0041407867494824,0.0010351966873706,0,0.0227743271221532,0,0,0,0.010351966873706,0,0.0031055900621118,0,0,0,0,0,0,0,0.0010351966873706,0.0010351966873706,0,0.0010351966873706,0.0010351966873706,0,0,0.0010351966873706,0.0010351966873706,0.0020703933747412,0.0010351966873706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,25,0,0,0.00172711571675302,0.0138169257340242,0.00518134715025907,0.00172711571675302,0,0.00172711571675302,0.0120898100172712,0.0120898100172712,0,0,0.00863557858376511,0.0449050086355786,0,0.00690846286701209,0.00863557858376511,0.00518134715025907,0.0500863557858377,0.07426597582038,0.00172711571675302,0.00518134715025907,0,0.221070811744387,0.00518134715025907,0.0397236614853195,0.00345423143350604,0,0.0138169257340242,0.00172711571675302,0,0.00345423143350604,0.359240069084629,0,0.00518134715025907,0.00172711571675302,0,0.00172711571675302,0,0.0138169257340242,0.0155440414507772,0.00345423143350604,0,0.0310880829015544,0,0.00172711571675302,0.00345423143350604,0,0.00172711571675302,0.0103626943005181,0,0,0,0,0,0,0,0,0,0,0,0.00172711571675302,0,0,0,0,0,0,0.00172711571675302,0.00172711571675302,0.00345423143350604,0,0,0,0,0,0,0,0,0,0,0
90,41,0,0.00133689839572193,0.00401069518716578,0.00802139037433155,0.017379679144385,0.00935828877005348,0,0,0.00267379679144385,0.018716577540107,0,0,0.00133689839572193,0.0254010695187166,0,0.00267379679144385,0,0,0.0414438502673797,0.109625668449198,0,0.00267379679144385,0,0.183155080213904,0.00668449197860963,0.0213903743315508,0.00133689839572193,0,0.0601604278074866,0.0053475935828877,0.00133689839572193,0.00133689839572193,0.429144385026738,0,0,0,0.00133689839572193,0.00267379679144385,0,0.00401069518716578,0.00802139037433155,0.00133689839572193,0,0.0133689839572193,0,0,0,0.00802139037433155,0,0,0,0,0,0,0.00133689839572193,0,0,0.00267379679144385,0,0,0.00133689839572193,0,0,0,0,0,0,0,0,0,0,0.00133689839572193,0,0,0,0,0,0,0,0,0,0
110,57,0,0,0.00131233595800525,0.00131233595800525,0.0223097112860892,0.010498687664042,0,0.00131233595800525,0.005249343832021,0.057742782152231,0,0.00131233595800525,0.00131233595800525,0.0354330708661417,0,0,0.00131233595800525,0,0.0328083989501312,0.103674540682415,0,0,0.00131233595800525,0.18241469816273,0.0026246719160105,0.0236220472440945,0,0.00131233595800525,0.047244094488189,0.00131233595800525,0,0.00393700787401575,0.397637795275591,0,0,0.00131233595800525,0,0.00131233595800525,0.00131233595800525,0.010498687664042,0.00393700787401575,0.0026246719160105,0,0.0236220472440945,0,0,0,0.0026246719160105,0,0.005249343832021,0,0,0,0.00131233595800525,0,0,0,0,0,0,0,0.00131233595800525,0,0,0,0,0,0,0.00131233595800525,0,0,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0,0,0,0,0,0
130,73,0,0,0,0.00154320987654321,0.0154320987654321,0.00617283950617284,0,0,0.00462962962962963,0.0416666666666667,0.00154320987654321,0.00154320987654321,0.00462962962962963,0.0200617283950617,0,0,0.00154320987654321,0.00154320987654321,0.0570987654320988,0.103395061728395,0,0,0,0.155864197530864,0.00308641975308642,0.114197530864198,0,0,0.0324074074074074,0.00308641975308642,0,0.00154320987654321,0.391975308641975,0,0.00308641975308642,0,0.00154320987654321,0,0,0.00617283950617284,0.00308641975308642,0.00308641975308642,0,0.0108024691358025,0,0,0,0.00154320987654321,0,0.00308641975308642,0,0,0,0,0,0,0,0,0.00154320987654321,0,0.00154320987654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154320987654321,0,0,0,0,0,0,0
150,88,0,0,0,0,0.00591216216216216,0.00422297297297297,0,0.000844594594594595,0,0.0126689189189189,0,0,0.00168918918918919,0.0177364864864865,0,0,0.000844594594594595,0,0.0185810810810811,0.0329391891891892,0,0,0,0.0625,0,0.161317567567568,0.00168918918918919,0,0.0346283783783784,0.00168918918918919,0,0.00168918918918919,0.610641891891892,0,0.00253378378378378,0,0,0,0,0.00253378378378378,0.00168918918918919,0.00168918918918919,0.000844594594594595,0.00844594594594595,0,0,0,0.00337837837837838,0,0.000844594594594595,0,0,0,0.00253378378378378,0,0,0,0.00253378378378378,0,0,0,0.000844594594594595,0,0,0,0,0,0,0.000844594594594595,0,0,0,0.000844594594594595,0,0,0,0.000844594594594595,0,0,0,0,0
