"sample.depths","sample.ages","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Bidens.type","Carya","Cephalanthus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Itea","Juglans.nigra","Juglans.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Plantago.major","Plantago.lanceolata","Quercus","Rubus","Salix","Sambucus","Thalictrum","Ulmus","Apiaceae","Populus","Amaranthaceae","Hypoxis","Acer.saccharinum","Acer.saccharum","Achillea.type","Polygonum.hydropiper.type","Castanea","Fraxinus.undiff.","Juglans.cinerea","Acer.negundo","Iva.annua.type","Galium","Ilex","Platanus","Tsuga","Fagus","Urtica.type","Lamiaceae","Amelanchier.type","Zea.mays","Corylus","Iva.xanthifolia.type","Liriodendron","Magnolia","Tilia","Spiraea","Dalea","Cornus.florida","Prunus","Polygonum.aviculare.type","Rumex","Cornus.canadensis.type","Celtis.Maclura","Ranunculaceae.undiff.","Humulus.Cannabis.sativa","Acer.pensylvanicum","Pinus.subg..Strobus","Abies","Sanguisorba.canadensis","Potentilla.type","Cirsium.Carduus.type","Malvaceae","Onagraceae","Caryophyllaceae","Polygonum.viviparum","Asteraceae.subf..Cichorioideae","Alnus.viridis","Larix","Xanthium","Caltha.type","Viburnum.opulus.type"
95,-24,0.00189214758751183,0.00189214758751183,0.00567644276253548,0.183538315988647,0.00189214758751183,0.00946073793755913,0.00946073793755913,0.043519394512772,0.0851466414380322,0.00378429517502365,0.0264900662251656,0.0245979186376537,0.00567644276253548,0.0775780510879849,0.00378429517502365,0.0075685903500473,0.00189214758751183,0.0264900662251656,0.0132450331125828,0.0189214758751183,0.00189214758751183,0.0463576158940397,0.00189214758751183,0.0075685903500473,0.327341532639546,0.00378429517502365,0.0208136234626301,0.00189214758751183,0.00189214758751183,0.0075685903500473,0.00189214758751183,0.011352885525071,0.00378429517502365,0.00189214758751183,0.00189214758751183,0.00189214758751183,0.00189214758751183,0.00189214758751183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,-3,0.00584795321637427,0,0.00194931773879142,0.142300194931774,0,0.00389863547758285,0.00194931773879142,0.0331384015594542,0.103313840155945,0.00194931773879142,0.0155945419103314,0.0272904483430799,0.0175438596491228,0.0916179337231969,0.00389863547758285,0.00584795321637427,0.00194931773879142,0.0253411306042885,0.00779727095516569,0.0116959064327485,0,0.0350877192982456,0,0.00584795321637427,0.385964912280702,0.0155945419103314,0.0292397660818713,0,0.00194931773879142,0.00584795321637427,0,0.00389863547758285,0.00194931773879142,0,0,0.00194931773879142,0.00389863547758285,0,0.00194931773879142,0.00194931773879142,0.00194931773879142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,19,0.00211416490486258,0.00211416490486258,0.00211416490486258,0.137420718816068,0,0.00211416490486258,0.00211416490486258,0.0359408033826638,0.090909090909091,0,0.0211416490486258,0.0232558139534884,0.00845665961945032,0.0761099365750529,0.00211416490486258,0.00211416490486258,0.00211416490486258,0.0380549682875264,0.0147991543340381,0.0126849894291755,0,0.0317124735729387,0,0,0.391120507399577,0.0169133192389006,0.0274841437632135,0,0,0.0126849894291755,0,0.0105708245243129,0.00634249471458774,0,0,0.00422832980972516,0,0.00211416490486258,0.00211416490486258,0.00422832980972516,0,0.00211416490486258,0.00211416490486258,0.00422832980972516,0.00211416490486258,0.00211416490486258,0.00211416490486258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,40,0.00837696335078534,0,0,0.152879581151832,0.00209424083769634,0,0.00418848167539267,0.031413612565445,0.069109947643979,0.00209424083769634,0.0167539267015707,0.0209424083769634,0.00837696335078534,0.0900523560209424,0,0.0104712041884817,0.00418848167539267,0.0293193717277487,0.00837696335078534,0.00837696335078534,0.00418848167539267,0.0261780104712042,0,0.00418848167539267,0.414659685863874,0.00837696335078534,0.0167539267015707,0,0.00418848167539267,0.0167539267015707,0,0.006282722513089,0.00837696335078534,0,0.00418848167539267,0.006282722513089,0,0,0.00209424083769634,0,0.00418848167539267,0,0,0,0,0,0,0.00209424083769634,0.00209424083769634,0.00209424083769634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,62,0.00590551181102362,0,0.00393700787401575,0.147637795275591,0,0,0.00590551181102362,0.031496062992126,0.110236220472441,0.00196850393700787,0.0177165354330709,0.0236220472440945,0.00984251968503937,0.0905511811023622,0.00196850393700787,0.00590551181102362,0.00393700787401575,0.0255905511811024,0.00590551181102362,0.00590551181102362,0,0.0393700787401575,0,0.00196850393700787,0.377952755905512,0.0078740157480315,0.0196850393700787,0,0.00196850393700787,0.0196850393700787,0,0.00590551181102362,0.00590551181102362,0,0,0.00393700787401575,0,0,0.00393700787401575,0.00196850393700787,0.00196850393700787,0,0.00196850393700787,0,0,0.00196850393700787,0.00196850393700787,0,0,0,0.00393700787401575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,83,0.0055452865064695,0,0.00369685767097967,0.147874306839187,0,0,0.0055452865064695,0.033271719038817,0.140480591497227,0.00369685767097967,0.0203327171903882,0.0295748613678373,0.0129390018484288,0.0850277264325323,0.0055452865064695,0.00184842883548983,0.00184842883548983,0.022181146025878,0.00369685767097967,0.0055452865064695,0,0.0388170055452865,0.00184842883548983,0,0.33271719038817,0.0166358595194085,0.0203327171903882,0,0.00184842883548983,0.0203327171903882,0,0.0055452865064695,0.00184842883548983,0,0,0.00184842883548983,0.00184842883548983,0,0.00739371534195933,0.00184842883548983,0.00184842883548983,0,0.00184842883548983,0,0,0.00369685767097967,0.00184842883548983,0,0,0,0.00739371534195933,0.00184842883548983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,105,0.00394866732477789,0,0,0.128331688055281,0,0.00592300098716683,0.00789733464955577,0.0434353405725568,0.128331688055281,0.00197433366238894,0.033563672260612,0.0236920039486673,0.00592300098716683,0.0592300098716683,0.00394866732477789,0.00394866732477789,0.00394866732477789,0.0197433366238894,0.00394866732477789,0.00592300098716683,0.00394866732477789,0.0207305034550839,0,0,0.367226061204344,0.0276406712734452,0.0315893385982231,0,0,0.0296150049358342,0,0.00394866732477789,0.00394866732477789,0,0,0.00592300098716683,0,0.00197433366238894,0.0197433366238894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,126,0.00395256916996047,0,0.00395256916996047,0.0948616600790514,0,0.00790513833992095,0.00592885375494071,0.041501976284585,0.158102766798419,0.00197628458498024,0.0316205533596838,0.0197628458498024,0.00592885375494071,0.0652173913043478,0.00592885375494071,0.00395256916996047,0.00395256916996047,0.0197628458498024,0.0118577075098814,0.00988142292490119,0,0.0217391304347826,0,0.00197628458498024,0.375494071146245,0.0158102766798419,0.033596837944664,0,0,0.0197628458498024,0,0.00592885375494071,0.00395256916996047,0,0,0.00395256916996047,0,0.00197628458498024,0.0177865612648221,0,0,0,0,0,0,0,0,0.00197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,191,0.00573613766730402,0,0.00764818355640535,0.0650095602294455,0,0,0.00382409177820268,0.0325047801147228,0.189292543021033,0,0.0305927342256214,0.0152963671128107,0.00382409177820268,0.0669216061185468,0.0095602294455067,0.00382409177820268,0.00573613766730402,0.0133843212237094,0.017208413001912,0.00764818355640535,0,0.0210325047801147,0,0.00191204588910134,0.393881453154876,0.0133843212237094,0.0267686424474187,0,0,0.011472275334608,0.00191204588910134,0.00573613766730402,0.00382409177820268,0,0,0.00191204588910134,0,0.00573613766730402,0.0133843212237094,0,0.00191204588910134,0.00191204588910134,0.00191204588910134,0,0,0,0,0.00191204588910134,0,0,0,0,0.00191204588910134,0.00191204588910134,0.00191204588910134,0.00382409177820268,0.00191204588910134,0.00191204588910134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,320,0.0055350553505535,0,0.0055350553505535,0.0129151291512915,0,0.003690036900369,0.0055350553505535,0.0387453874538745,0.212177121771218,0,0.0498154981549815,0.03690036900369,0.0055350553505535,0.0940959409594096,0.007380073800738,0.003690036900369,0.0018450184501845,0.0166051660516605,0.0166051660516605,0.0129151291512915,0.00461254612546125,0.0249077490774908,0,0,0.317343173431734,0.0202952029520295,0.033210332103321,0,0.003690036900369,0.014760147601476,0.0018450184501845,0.011070110701107,0,0,0,0.003690036900369,0,0.0055350553505535,0.0092250922509225,0.003690036900369,0.003690036900369,0,0,0,0,0,0,0.0018450184501845,0,0.0018450184501845,0,0,0.0018450184501845,0,0.0018450184501845,0,0,0.0018450184501845,0.0018450184501845,0.0018450184501845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,449,0.00359066427289048,0,0.00538599640933573,0.00359066427289048,0.00179533213644524,0,0.0125673249551167,0.0682226211849192,0.201077199281867,0,0.0377019748653501,0.0179533213644524,0.00359066427289048,0.118491921005386,0.0125673249551167,0.00179533213644524,0.00359066427289048,0.0197486535008977,0.0161579892280072,0.0107719928186715,0,0.0215439856373429,0,0,0.344703770197487,0.0179533213644524,0.0179533213644524,0,0,0.0107719928186715,0,0.00359066427289048,0.00359066427289048,0,0.00179533213644524,0.00359066427289048,0.00538599640933573,0.00897666068222621,0.00718132854578097,0,0,0,0,0,0,0,0.00359066427289048,0,0,0,0,0,0,0,0,0,0,0.0107719928186715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,578,0.00189214758751183,0,0.00189214758751183,0.00378429517502365,0,0.00378429517502365,0.00378429517502365,0.0340586565752129,0.232734153263955,0.00189214758751183,0.0378429517502365,0.0416272469252602,0.0208136234626301,0.0681173131504257,0.011352885525071,0.00189214758751183,0.00189214758751183,0.0189214758751183,0.0283822138126774,0.011352885525071,0.00378429517502365,0.0236518448438978,0,0,0.33112582781457,0.0302743614001892,0.0245979186376537,0.00378429517502365,0.00189214758751183,0.00567644276253548,0.00189214758751183,0.00378429517502365,0,0,0,0.00567644276253548,0.00189214758751183,0.00567644276253548,0.00946073793755913,0.00567644276253548,0.00378429517502365,0,0,0,0,0,0,0,0,0.00189214758751183,0,0,0.00378429517502365,0,0.00189214758751183,0,0,0,0.00189214758751183,0,0.00189214758751183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,707,0.00530035335689046,0,0.00353356890459364,0.0088339222614841,0,0,0.0176678445229682,0.0300353356890459,0.220848056537102,0,0.0123674911660777,0.0282685512367491,0.019434628975265,0.123674911660777,0.0159010600706714,0.00176678445229682,0.00176678445229682,0.0159010600706714,0.0088339222614841,0.00530035335689046,0.00176678445229682,0.0159010600706714,0,0,0.34452296819788,0.0282685512367491,0.0353356890459364,0.00353356890459364,0,0.00353356890459364,0,0.00706713780918728,0,0,0,0.00706713780918728,0.00706713780918728,0.00176678445229682,0.00706713780918728,0,0.00176678445229682,0,0,0,0,0,0,0,0,0,0,0,0.00176678445229682,0,0.00176678445229682,0,0,0.00353356890459364,0.00530035335689046,0,0,0.00176678445229682,0.00176678445229682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,836,0.00198807157057654,0,0.00397614314115308,0.0099403578528827,0,0,0.00397614314115308,0.0576540755467197,0.105367793240557,0,0.0099403578528827,0.0357852882703777,0.00596421471172962,0.165009940357853,0.00596421471172962,0.00198807157057654,0.00596421471172962,0.0238568588469185,0.00198807157057654,0.00198807157057654,0,0.0178926441351889,0,0,0.41351888667992,0.0437375745526839,0.0198807157057654,0,0,0,0.00198807157057654,0.00795228628230616,0,0,0,0.00596421471172962,0.00397614314115308,0.0218687872763419,0.0119284294234592,0.00795228628230616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198807157057654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1661,0.0100300902708124,0,0.00200601805416249,0.0100300902708124,0.00200601805416249,0,0.0120361083249749,0.0361083249749248,0.136409227683049,0,0.0260782347041123,0.0581745235707121,0.0100300902708124,0.102306920762287,0.00401203610832497,0.00200601805416249,0.00200601805416249,0.0280842527582748,0.00802407221664995,0.00802407221664995,0,0.0130391173520562,0,0,0.367101303911735,0.0641925777331996,0.0260782347041123,0,0,0.00802407221664995,0,0.00802407221664995,0,0,0,0.0100300902708124,0.00401203610832497,0.0100300902708124,0.0100300902708124,0.0180541624874624,0,0,0,0,0,0,0,0,0,0,0,0,0.00200601805416249,0,0,0,0,0,0.00200601805416249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
