"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Bidens.type","Carya","Cephalanthus","Clethra","Cyperaceae","Cyrilla.racemiflora","Fagus","Gordonia","Ilex","Liquidambar","Magnolia","Nyssa","Ostrya.Carpinus","Quercus","Rumex","Salix","Serenoa","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Cornus","Fraxinus","Myrica","Pinus","Amaranthaceae","Viburnum","Poaceae","Plantago","Polygonum","Ericales.undiff.","Iva","Boehmeria.type","Acer.saccharum.type","Artemisia","Chamaecrista","Itea","Prunus.Sorbus","Apiaceae.undiff.","Celtis","Aralia","Acer.rubrum","Juglans.nigra","Platanus","Rhus","Tilia","Castanea","Smilax","Xyris","Lechea","Thalictrum","Phoradendron","Liriodendron","Rhexia","Brassicaceae","Gleditsia","Symplocos"
580,10,1648,16,1,4,13,2,3,6,2,1,7,2,9,3,27,5,250,4,2,1,25,15,2,4,3,1,3,73,1118,5,5,22,1,1,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,106,1281,14,0,2,11,1,0,4,1,4,7,4,7,3,13,5,165,3,1,0,83,8,4,3,3,0,6,38,840,5,8,11,0,0,14,3,1,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,171,1821,2,2,9,35,0,1,6,0,6,5,2,23,1,17,6,257,0,1,0,74,3,4,0,1,0,2,36,1279,2,1,29,0,1,10,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,448,1314,0,1,2,22,0,0,7,0,10,9,0,22,0,15,9,190,0,1,0,94,2,3,0,1,0,3,51,833,0,0,29,0,0,3,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
640,817,1206,4,0,2,30,0,0,4,0,13,3,0,12,1,7,11,186,0,0,0,115,1,6,0,2,0,8,50,729,2,0,11,0,0,5,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
660,1186,1126,3,1,5,23,0,0,6,0,11,9,1,14,3,9,9,163,0,0,0,114,1,2,2,1,0,2,45,676,2,0,14,0,0,6,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,1555,1223,2,2,3,22,0,0,5,0,16,9,2,31,1,11,15,293,0,0,1,78,0,11,3,2,0,8,40,643,0,3,12,0,0,2,1,0,0,1,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
700,1924,1705,1,2,3,46,1,0,3,0,9,14,0,22,6,12,7,381,0,0,0,73,3,6,1,1,0,5,31,1050,0,0,12,0,0,6,0,1,0,0,1,2,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
720,2294,1786,2,1,2,35,1,0,2,0,8,8,1,24,0,14,18,342,0,0,0,59,0,10,2,1,0,5,52,1158,3,2,29,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
740,2663,1589,1,2,0,52,1,0,10,0,5,8,0,23,0,12,10,258,0,1,0,61,0,3,0,2,1,8,45,1051,1,0,23,0,0,2,0,1,1,0,1,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
760,3032,1756,3,1,0,24,3,0,8,0,7,13,0,23,1,27,12,441,0,0,0,45,1,16,1,1,0,4,45,1053,1,1,14,0,0,1,0,1,0,0,2,1,0,0,0,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0
780,3401,1283,3,0,1,56,1,0,5,0,4,4,1,39,2,18,19,252,0,0,0,32,1,9,0,2,0,9,46,753,1,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
800,3770,1708,2,0,1,40,0,0,11,0,3,10,0,32,3,24,10,392,0,0,0,49,2,8,2,1,0,6,51,1039,3,0,13,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
830,4324,1890,3,0,1,39,3,0,8,0,0,15,2,31,1,21,13,325,0,1,0,33,1,13,2,1,0,3,53,1289,2,0,24,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
840,4508,1559,1,1,3,45,0,0,11,0,2,16,2,19,0,13,6,295,0,0,0,23,0,18,2,1,0,3,76,984,1,0,31,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
860,4877,1671,1,2,0,53,0,0,5,0,0,18,2,27,2,27,7,266,0,0,0,16,4,8,2,3,0,7,46,1132,3,2,33,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
880,5247,1939,6,1,0,47,0,0,7,0,0,23,4,15,1,13,6,333,0,0,0,15,5,4,3,2,0,4,60,1347,9,0,21,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,3,0,0,0,0,0,3,0,0,1,0,0,0,0
900,5616,2790,5,1,2,46,1,1,9,0,1,14,2,18,4,37,6,572,0,0,0,16,1,12,3,6,0,6,49,1942,2,1,23,0,0,0,1,0,0,1,1,1,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
920,5985,1821,2,0,1,47,1,0,12,0,1,9,1,30,4,38,7,410,0,0,0,14,1,9,0,2,0,9,53,1126,1,1,31,0,0,1,0,0,0,3,0,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
940,6354,1669,2,3,3,64,2,0,10,0,0,0,0,23,3,37,7,504,0,0,0,7,6,13,3,5,0,2,37,894,4,0,28,0,0,1,1,0,0,2,0,1,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
960,6723,1818,8,1,0,25,0,0,12,0,0,0,0,10,4,46,4,612,0,0,0,13,0,12,4,4,0,10,40,963,3,0,36,0,0,0,1,1,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
