"sample.depths","sample.ages","Abies","Ambrosia.type","Betula","Corylus","Ericaceae","Fagus","Picea","Quercus","Tsuga","Ulmus","Alnus","Fraxinus","Myrica","Pinus","Poaceae","Plantago","Rosaceae","Ilex","Acer","Cyperaceae","Asteraceae.subf..Asteroideae.undiff.","Valeriana","Ostrya.Carpinus","Urtica.type","Salix","Amaranthaceae","Larix","Tilia","Polygonum","Carya","Juglans","Pterocarya","Viburnum","Lamiaceae","Ranunculaceae.undiff.","Thalictrum","Artemisia","Amorpha.type","Cupressaceae"
0,1,0.025,0.0791666666666667,0.195833333333333,0.0166666666666667,0.258333333333333,0.00833333333333333,0.120833333333333,0.00833333333333333,0.00833333333333333,0.00416666666666667,0.125,0.00416666666666667,0.0125,0.0458333333333333,0.0666666666666667,0.0125,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,120,0.0625,0.00986842105263158,0.394736842105263,0.0197368421052632,0.0328947368421053,0.0427631578947368,0.226973684210526,0.00328947368421053,0.0427631578947368,0.00328947368421053,0.0230263157894737,0.00328947368421053,0.00986842105263158,0.0986842105263158,0.00986842105263158,0,0,0.00657894736842105,0.00986842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,592,0.0197183098591549,0,0.202816901408451,0.00845070422535211,0.191549295774648,0.0901408450704225,0.0507042253521127,0.0169014084507042,0.211267605633803,0.00845070422535211,0.0140845070422535,0,0.0112676056338028,0.140845070422535,0.00845070422535211,0,0,0,0.0112676056338028,0.0028169014084507,0.0028169014084507,0.00845070422535211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,946,0.0181159420289855,0.0036231884057971,0.221014492753623,0.0108695652173913,0.246376811594203,0.0398550724637681,0.108695652173913,0.0144927536231884,0.141304347826087,0,0.0144927536231884,0.0036231884057971,0.0217391304347826,0.148550724637681,0,0,0,0,0.0036231884057971,0.0036231884057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1300,0.0447761194029851,0.00213219616204691,0.292110874200426,0.00426439232409382,0.110874200426439,0.0298507462686567,0.0746268656716418,0.0277185501066098,0.0810234541577825,0.00213219616204691,0.0383795309168444,0.00213219616204691,0.00639658848614072,0.264392324093817,0,0,0,0,0.00639658848614072,0.00426439232409382,0.00213219616204691,0,0.00426439232409382,0.00213219616204691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1477,0,0,0.251256281407035,0.0050251256281407,0.130653266331658,0.0452261306532663,0.130653266331658,0.0150753768844221,0.226130653266332,0,0.050251256281407,0,0.0100502512562814,0.110552763819095,0,0,0,0.0100502512562814,0.0050251256281407,0.0050251256281407,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1832,0.0311750599520384,0.00239808153477218,0.249400479616307,0.00719424460431655,0.091127098321343,0.0695443645083933,0.124700239808153,0.0119904076738609,0.0743405275779376,0,0.091127098321343,0,0.0119904076738609,0.223021582733813,0.00239808153477218,0,0.00479616306954436,0,0.00239808153477218,0,0,0,0,0,0,0.00239808153477218,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2363,0.0147783251231527,0,0.142857142857143,0,0.246305418719212,0.0147783251231527,0.142857142857143,0.0147783251231527,0.201970443349754,0.00492610837438424,0.0295566502463054,0,0.00492610837438424,0.167487684729064,0.00492610837438424,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0
170,2717,0.0253968253968254,0.00317460317460317,0.385714285714286,0.00634920634920635,0.173015873015873,0.0222222222222222,0.10952380952381,0.00793650793650794,0.0888888888888889,0,0.0619047619047619,0,0.00634920634920635,0.0936507936507937,0,0,0.00317460317460317,0,0.00158730158730159,0.00793650793650794,0.00158730158730159,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2894,0.00591715976331361,0,0.189349112426035,0,0.118343195266272,0.0591715976331361,0.0473372781065089,0.00591715976331361,0.218934911242604,0,0.00591715976331361,0,0.0118343195266272,0.337278106508876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
