"sample.depths","sample.ages","Alnus","Amaranthaceae","Ambrosia","Asteraceae.undiff.","Avicennia","Betula","Bumelia","Bursera.simaruba","Carya","Casuarina","Celtis","Cephalanthus","cf..Acanthaceae","Conocarpus","Cyperaceae","Cyrilla.racemiflora","Decodon.verticillatus","Ericaceae","Euphorbiaceae","Fabaceae","Hippocratea","Ilex","Juglans","Liquidambar","Myrica","Myriophyllum","Pinus","Poaceae","Polygalaceae","Polygonaceae","Quercus","Rhizophora","Sagittaria","Salix","Solanaceae","Typha","Ulmus","Unknown..monolete.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia"
3,-26,6,4,0,12,2,2,2,6,0,14,6,0,4,0,2,0,0,4,0,20,0,0,0,0,176,0,26,2,0,0,10,6,0,0,0,0,0,0,0,4,12,40,0
11,18,0,0,2,6,0,0,0,0,0,6,0,0,6,0,14,0,0,0,2,12,0,0,0,2,182,0,64,0,0,0,0,0,0,0,0,0,0,2,0,4,18,10,0
15,38,4,6,2,68,2,0,0,0,0,0,0,0,0,0,4,2,0,0,2,6,0,0,0,0,332,0,94,0,4,0,8,6,2,0,16,4,0,4,4,4,4,30,2
19,87,4,10,2,136,0,0,0,0,0,0,0,0,2,2,34,0,6,0,2,14,2,8,0,0,196,2,98,0,14,0,12,10,0,0,46,16,0,10,4,4,0,16,0
32.5,425,0,2,0,4,0,0,0,0,2,0,0,0,0,0,50,0,0,0,0,4,0,0,0,2,66,0,88,0,0,16,0,0,0,0,0,2,0,8,0,4,0,2,0
37.5,550,0,0,2,4,0,0,0,0,0,0,0,0,2,0,52,0,0,0,4,6,0,2,2,0,102,0,62,2,0,6,12,0,6,0,0,2,0,14,0,2,0,2,0
45,737,2,6,0,82,0,2,0,0,0,0,0,0,0,0,260,0,0,0,2,6,0,0,0,4,68,0,56,0,0,18,10,6,0,0,4,38,0,10,0,20,2,34,0
55,987,0,2,0,16,0,0,0,0,0,0,0,0,0,0,114,2,0,0,6,4,0,14,0,0,52,0,58,0,0,12,6,4,0,0,0,34,0,8,0,12,0,14,2
65,1237,2,4,0,2,0,0,0,0,0,0,0,0,4,0,48,0,0,0,2,10,0,0,0,0,106,0,76,0,0,0,10,14,0,2,0,0,2,2,0,2,0,14,4
75,1487,2,2,2,4,0,0,0,0,0,0,0,2,2,0,32,2,0,0,0,10,0,2,0,0,58,0,176,4,0,0,2,0,0,0,0,4,0,2,0,4,0,2,2
85,NA,0,6,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,2,0,0,0,0,10,0,186,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
94,NA,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,348,0,0,0,6,0,0,0,0,0,2,4,0,0,0,2,0
