"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Indeterminable","Juglans.cinerea","Juglans.undiff.","Larix","Lycopodium.type","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Saxifragaceae","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
0,-24,0,11,0,2,43,5,0,0,12,0,0,0,2,4,0,0,4,2,0,0,0,0,0,0,0,1,38,1,1,3,0,78,0,0,2,2,0,0,0,0,0,1,0,0,0,6,5
4,-23,0,1,1,2,39,2,1,4,15,0,0,0,0,5,0,0,9,7,0,0,1,0,0,0,3,0,24,0,0,3,0,84,0,0,3,2,0,0,0,0,0,0,0,0,0,9,1
8,-23,0,2,1,4,55,1,0,2,9,0,0,0,0,2,0,0,3,3,0,0,4,0,0,0,1,4,21,0,0,5,0,90,0,0,4,0,0,0,0,0,0,2,0,0,0,6,4
13,-21,0,0,1,4,59,0,1,1,5,0,1,0,0,4,0,0,8,0,0,0,1,0,0,0,0,6,11,0,0,3,0,88,0,0,5,1,0,0,0,0,0,0,0,0,0,20,4
18,-18,0,2,1,2,87,2,3,1,15,0,0,0,0,6,0,0,3,3,0,0,4,0,0,0,1,1,17,0,0,3,0,99,0,0,2,0,0,0,0,0,0,1,0,0,0,9,1
23,-14,0,1,2,1,84,1,1,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,11,3,0,2,1,95,0,0,7,0,0,0,0,0,0,0,0,0,0,10,5
28,-8,0,0,0,2,93,1,1,6,9,0,0,0,0,3,0,0,3,5,0,0,2,0,0,0,1,1,10,0,0,9,0,72,0,0,14,0,0,0,0,0,0,0,0,0,0,4,2
33,1,0,1,1,2,88,0,1,1,2,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,2,4,2,0,11,0,56,0,0,20,0,0,0,0,0,0,0,0,0,0,10,7
38,13,0,1,3,0,107,0,1,2,5,0,1,0,1,5,0,0,3,0,0,0,1,0,0,0,0,3,6,0,0,8,0,76,0,0,18,1,0,0,0,0,0,1,0,0,0,12,5
43,27,0,0,1,0,86,0,1,2,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,4,0,1,9,0,74,0,0,13,0,0,0,0,0,0,2,0,0,0,10,7
