"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Juglans.nigra","Fabaceae.undiff.","Ostrya.Carpinus","Picea","Platanus","Polygonum.lapathifolium.type","Quercus","Ranunculaceae.undiff.","Salix","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Ambrosia","Pinus","Amorpha","Poaceae","Acer.saccharum","Fraxinus.pennsylvanica","Herbs.undiff.","Rumex","Iva.xanthifolia","Rhamnus","Fraxinus.nigra","Acer.negundo","Celtis","Thalictrum","Urtica","Acer.saccharinum","Abies","Tilia","Vitis","Brassicaceae","Dalea","Juglans.cinerea","Lamiaceae.cf..Stachys","Rosaceae","Fagus","Sambucus","Ephedra.torreyana.type","Euphorbiaceae","cf..Saxifragaceae","Humulus","Galium","Plantago.major","Polygonaceae.undiff.","Populus","Larix"
33,1221,608,14,2,5,242,1,1,4,77,3,1,7,2,7,2,60,33,5,1,15,12,1,1,33,12,1,63,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1730,1098,9,1,2,860,0,0,0,63,1,0,2,0,10,6,25,1,2,0,16,5,0,0,22,20,1,42,0,1,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2566,578,12,1,4,205,1,2,4,139,1,0,1,2,2,4,58,1,0,0,20,3,1,3,26,18,0,62,1,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3294,680,16,3,1,280,3,0,0,155,0,0,1,0,4,0,49,1,1,0,17,2,0,5,67,16,1,50,1,1,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4021,739,21,0,0,306,5,1,0,191,1,0,0,0,7,3,32,0,6,0,24,3,0,1,61,23,1,44,1,0,0,2,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4748,843,11,1,3,374,4,0,0,243,2,0,2,0,4,3,31,0,3,1,21,4,0,1,58,20,1,48,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
152,5548,661,21,0,3,400,3,0,0,91,0,0,0,3,7,2,32,0,1,0,15,2,0,1,35,11,0,27,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
174,6348,684,18,0,4,400,1,1,0,87,0,0,2,2,3,1,32,0,4,0,6,7,0,1,51,13,2,43,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
186,6714,675,34,3,0,264,1,0,2,118,2,1,7,1,2,0,54,0,3,0,19,6,0,1,76,22,1,46,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0
198,6869,640,36,3,2,128,13,1,0,122,1,0,4,2,2,1,55,0,5,0,21,11,0,0,122,22,1,71,2,4,0,0,1,0,0,0,2,0,0,0,1,1,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0
210,7024,667,25,0,4,158,4,1,3,128,2,0,7,1,4,0,59,0,3,2,21,13,0,2,121,19,3,78,1,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,7217,834,22,0,3,205,7,1,2,248,8,0,6,2,6,0,67,0,3,1,15,15,0,2,119,21,3,64,0,0,0,2,3,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
