"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Quercus","Rubus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Iva.annua","Poaceae","Acer.saccharum","Pinus.strobus","Fraxinus.nigra","Cornus","Iva.xanthifolia","Corylus","Rhamnus","Ericaceae.undiff.","Populus.tremuloides","Abies","Larix","Tilia","Juniperus.Thuja","Acer.spicatum","Juglans.cinerea","Fraxinus.pennsylvanica.F..americana.type","Sarcobatus.vermiculatus","Carya","Caryophyllaceae","Ledum.Chamaedaphne.calyculata","Prunus.Sorbus","Populus.balsamifera","Galium","Gaultheria","Potentilla","Urtica","Rosaceae.herbs.undiff.","Xanthium","Platanus","Humulus.Cannabis.sativa","Juglans.undiff.","Asteraceae.subf..Cichorioideae","Myrica"
0,-29,99,3,21,2,3,1,1,2,5,5,1,10,2,1,3,4,3,6,14,1,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,40,135,0,56,1,3,0,2,3,1,9,0,0,0,1,25,1,2,4,13,0,3,3,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,617,146,1,46,0,0,0,3,0,1,59,0,2,0,0,6,0,3,6,3,0,1,5,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1701,111,0,27,1,0,0,2,1,1,48,0,1,1,0,19,0,1,1,1,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2784,137,1,54,0,0,3,1,0,0,57,0,1,0,0,0,2,3,1,2,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3868,120,0,11,0,0,0,1,0,5,71,0,2,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4952,166,4,7,0,1,0,0,0,0,100,0,4,0,0,0,1,2,17,7,0,3,5,12,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5529,118,0,8,1,0,1,2,0,1,69,0,6,0,0,0,1,3,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6066,104,0,11,0,2,0,14,0,0,52,0,3,0,0,0,0,3,0,1,0,1,5,1,1,0,0,0,0,0,0,0,2,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6602,110,2,6,0,4,0,3,1,1,52,0,1,0,0,0,0,3,1,0,1,0,1,31,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,7139,108,0,18,1,4,1,1,0,2,26,0,2,0,0,0,1,1,1,3,0,0,0,36,1,1,0,0,1,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,7675,111,5,7,5,1,0,2,0,6,39,0,9,0,2,0,1,0,2,7,0,0,2,12,0,0,0,1,0,0,0,0,0,2,3,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,8211,137,3,10,0,6,0,2,0,7,55,0,3,0,0,0,0,7,4,0,0,0,2,29,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
200,8681,133,2,17,3,2,1,1,0,24,44,0,7,0,0,0,1,3,3,3,0,0,1,6,2,0,1,0,0,3,1,1,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
220,9076,107,3,14,0,1,0,1,4,19,28,0,7,0,1,0,3,0,3,1,1,2,3,1,0,0,0,2,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
240,9471,104,2,30,1,1,0,3,4,9,13,0,6,0,0,0,0,7,2,1,0,0,0,7,5,0,0,0,1,1,0,4,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
260,9866,133,0,31,0,5,0,4,5,24,10,0,6,0,0,0,0,23,2,1,0,0,0,1,5,0,0,0,0,2,3,3,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
270,10064,100,1,4,1,3,0,6,0,28,13,0,4,0,2,0,1,8,0,2,0,0,4,0,9,0,0,1,0,0,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0
290,10459,122,0,34,1,1,0,4,9,31,11,0,3,0,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,4,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
300,10656,107,2,11,1,0,0,1,3,42,14,0,4,0,2,0,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1
320,NA,96,2,7,0,4,0,1,60,0,1,0,2,0,2,0,0,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
