"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Betula","Carya","Corylus","Cyperaceae","Dryopteris","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Huperzia.selago","Ilex","Indeterminable","Juglans","Juniperus.Thuja","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Menyanthes.trifoliata","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Polypodiaceae","Populus","Potentilla","Pteridophyta.undiff.","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Salix","Sarracenia","Saxifragaceae","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown","Viburnum"
0,-26,13,1,7,0,2,1,0,1,27,1,0,0,0,0,0,13,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,44,52,30,13,6,0,0,0,42,0,1,0,0,0,1,0,0,4,1,0,0,30,0,0,6,0,1,0
10,22,5,2,9,0,6,1,0,1,120,0,0,1,0,0,0,16,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1,3,19,12,21,8,0,0,0,22,0,3,0,0,0,8,1,0,18,0,0,0,1200,0,0,5,0,16,2
20,71,14,0,8,0,1,0,0,0,101,0,1,5,0,0,0,13,0,15,1,0,0,0,0,0,1,0,3,0,0,0,0,0,2,13,22,7,8,3,0,1,0,7,0,7,0,0,0,9,0,0,22,0,0,0,0,0,0,12,0,19,0
30,285,1,1,3,0,1,2,0,0,116,0,0,1,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,4,9,12,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,21,0,1,0
40,665,5,2,1,0,0,0,0,0,104,0,2,0,0,0,0,41,0,1,0,0,1,4,0,1,0,1,0,0,0,0,0,0,5,0,0,15,0,32,21,0,0,0,0,1,1,0,1,20,0,0,0,0,0,0,1,0,0,17,0,0,0
50,1046,3,0,3,0,0,1,1,0,102,0,0,0,1,0,0,41,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,0,30,31,0,0,1,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,14,0,2,0
60,1426,2,2,5,0,0,0,0,0,140,0,0,0,0,0,0,56,0,0,1,0,0,4,1,2,0,3,0,0,0,0,0,1,3,0,0,17,0,35,6,0,0,0,0,1,0,0,4,8,0,0,0,0,0,0,13,0,0,10,0,0,0
70,1806,0,2,0,0,0,1,0,0,115,0,0,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,36,43,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,1,1,0
90,2567,3,0,5,0,0,1,0,0,90,0,0,0,1,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,11,0,33,47,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,11,0,0,0
100,2947,3,3,7,0,1,2,0,0,59,0,0,1,0,0,0,15,0,0,1,0,1,5,0,2,0,1,0,1,3,0,0,1,4,0,0,13,0,37,55,0,0,0,0,4,0,0,3,9,0,0,0,0,0,0,4,0,0,84,0,0,0
