"sample.depths","sample.ages","upland.sum","Acer.saccharinum.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Juglans.undiff.","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Brassicaceae","Rosaceae","Carya","Iva.xanthifolia.type","Picea","Celtis","Asteraceae.undiff.","Iva.annua.type","Fabaceae.undiff.","Ranunculaceae.undiff.","Tilia","Populus","Rumex","Amorpha.type","Pinus.subg..Strobus","Apiaceae","Cerealia","Lamiaceae","Cupressaceae","Acer.negundo","Corylus","Sarcobatus.vermiculatus","Fraxinus.nigra.type","Polemoniaceae","Abies","Asteraceae.subf..Cichorioideae","Dalea","Impatiens","Ephedra","Liliaceae","Pinus.subg..Pinus","Caryophyllaceae","Iva.undiff.","Malvaceae","Polygonaceae.undiff.","Larix","Acer.saccharum.type","Liquidambar","Tsuga","Morus","Plantago","Herbs.undiff.","Trees.undiff.","Acer.rubrum","Rhamnaceae.Vitaceae","Shepherdia","Fraxinus.undiff.","Ericaceae"
150,1271,353,0,50,28,2,0,5,38,4,55,1,0,7,27,2,60,7,1,26,6,2,2,0,5,0,4,1,0,1,4,2,5,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1422,328,0,65,25,6,0,7,17,2,63,1,0,5,19,3,50,3,2,20,5,2,1,0,5,0,10,0,0,0,2,2,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1573,327,0,83,28,4,0,8,11,3,51,0,0,10,13,2,57,3,1,20,4,3,0,0,5,0,11,0,0,2,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1724,335,1,71,25,6,0,2,30,1,67,2,0,6,9,1,55,3,2,0,11,2,0,1,2,0,13,0,17,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1875,351,1,53,30,6,0,12,25,3,60,2,2,4,11,0,84,7,1,19,7,0,0,0,3,0,9,1,0,1,1,3,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2026,338,1,61,27,4,0,6,29,4,61,0,2,7,16,0,59,12,2,14,7,3,0,2,1,0,4,2,0,0,0,2,3,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2177,321,1,55,29,7,0,7,14,4,49,1,2,7,24,1,62,7,1,21,7,5,0,0,1,0,2,0,0,2,1,2,3,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2328,322,0,62,34,5,0,12,17,2,54,2,0,7,14,5,58,4,2,0,12,3,0,0,2,0,6,2,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2479,326,1,71,34,5,0,4,17,1,52,2,4,3,20,2,62,7,1,9,8,5,0,1,1,0,10,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2630,315,1,72,27,5,0,7,12,3,49,3,2,3,17,2,67,7,3,19,5,0,0,0,2,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2781,323,0,71,33,5,0,8,15,1,52,0,0,1,24,1,57,13,2,0,3,2,0,0,0,0,6,0,13,2,0,1,4,0,0,2,1,0,0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2897,312,0,70,21,7,0,10,11,2,76,0,0,0,19,1,34,6,4,12,17,4,0,0,1,0,6,0,0,2,1,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2980,322,1,65,32,5,0,5,13,3,70,1,0,2,13,1,55,15,1,0,9,1,0,0,3,0,5,0,13,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,3062,336,2,55,18,4,0,6,24,8,76,2,2,2,19,4,44,12,0,18,16,2,1,1,2,0,2,1,0,1,0,3,4,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,3145,318,0,87,33,3,0,12,14,0,59,2,0,2,17,0,45,7,0,13,8,5,0,1,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3227,318,1,86,28,2,0,6,8,3,63,1,0,1,19,0,46,11,0,13,10,1,0,0,0,0,5,0,0,2,1,0,3,0,0,1,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,3309,336,0,63,20,5,0,11,29,4,64,0,4,4,19,1,60,7,0,14,8,2,0,0,4,1,6,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,3392,329,1,53,34,4,0,7,25,2,51,1,0,3,23,0,68,9,0,0,8,6,0,0,1,0,4,1,18,0,0,1,3,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,3474,331,0,59,27,0,0,8,14,5,66,0,2,0,22,0,67,7,0,14,11,3,0,2,5,0,5,2,0,3,1,1,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,3675,322,1,86,22,1,0,9,14,4,48,0,0,3,22,0,51,14,2,26,6,1,2,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3876,318,0,106,18,5,0,13,10,3,50,1,0,0,14,0,52,5,2,18,9,0,0,0,1,0,4,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,4077,326,0,102,16,2,0,9,22,4,60,1,2,0,7,0,41,7,3,25,8,1,0,0,1,0,4,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,5083,307,1,70,35,3,0,16,20,3,58,0,0,0,30,0,17,35,0,10,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,5284,339,0,75,33,1,0,12,29,0,86,0,0,0,19,0,17,27,1,17,2,1,0,0,0,1,7,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,5486,338,0,84,30,1,0,16,25,1,72,1,0,0,15,0,23,31,0,13,3,3,0,0,3,0,5,0,0,0,2,3,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,5687,342,0,74,25,4,0,15,27,1,71,0,0,0,23,0,22,27,0,16,4,1,0,1,1,1,7,1,0,2,4,7,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,5888,356,0,77,12,1,0,23,36,4,81,0,0,1,18,0,18,29,3,23,3,0,3,3,0,0,4,0,0,2,3,6,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
460,6032,329,1,143,11,1,0,18,21,0,69,0,0,0,8,0,10,20,3,13,4,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,6120,350,1,97,21,0,0,23,24,2,87,0,0,1,12,0,15,12,4,0,4,0,1,0,0,1,4,0,28,6,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,6207,323,0,107,13,0,0,27,13,0,86,0,0,0,17,0,8,13,2,17,4,0,0,0,0,0,4,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500,6382,324,0,131,9,0,0,37,7,3,68,1,0,0,9,0,10,12,0,10,4,0,1,0,0,0,3,0,0,3,3,3,0,0,0,2,1,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,6470,322,0,69,22,0,0,20,42,0,88,0,0,0,17,0,18,22,0,13,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,6557,353,0,86,15,1,0,48,33,2,78,0,0,0,15,0,8,31,6,14,3,0,0,1,0,1,2,0,0,2,1,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,6645,314,0,95,13,0,0,15,13,0,81,0,0,0,11,0,16,30,6,0,6,0,0,0,0,0,2,0,22,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,6732,329,0,109,18,0,0,15,22,2,94,0,0,0,11,0,10,19,7,6,6,0,0,1,1,1,3,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,6820,335,0,113,14,1,0,11,21,1,95,0,0,0,10,0,8,21,4,13,4,2,4,1,1,0,2,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,6907,345,0,63,16,0,0,33,37,3,120,0,0,0,13,0,6,21,3,12,2,0,0,0,0,0,5,0,0,2,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,6995,342,0,116,11,1,0,21,28,0,74,0,0,0,11,0,8,27,0,26,3,0,0,0,0,0,2,0,0,2,3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,7082,350,0,108,12,0,0,36,40,0,82,0,0,0,7,0,5,25,3,15,3,0,1,0,0,2,0,0,0,2,4,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,7256,309,0,77,28,0,0,40,10,2,37,0,0,0,18,0,15,25,0,37,2,2,1,0,0,2,2,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
610,7343,326,0,112,16,0,0,18,18,4,86,0,0,0,10,0,5,24,0,18,2,0,1,0,0,0,2,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,7430,336,1,72,12,0,0,51,24,3,64,0,0,0,27,0,9,22,4,26,3,0,2,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,7517,349,0,105,14,0,0,18,39,2,81,0,0,0,13,0,7,30,4,16,5,0,0,1,0,0,3,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
650,7691,322,0,107,25,1,0,20,6,2,46,0,0,1,12,0,13,23,2,18,2,3,0,0,0,6,5,1,0,6,9,3,0,0,0,1,0,2,0,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
660,7778,372,0,77,5,0,0,36,58,1,109,0,0,2,11,0,4,18,2,17,5,1,0,0,1,1,4,0,0,2,6,2,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,7952,308,0,77,16,0,0,11,36,0,121,0,0,2,9,0,6,7,1,9,3,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
690,8039,305,0,139,4,2,0,23,5,0,74,0,0,0,11,0,6,5,0,19,4,1,0,0,0,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,8126,307,0,83,11,0,0,18,7,1,105,0,0,0,7,0,11,11,0,22,4,0,0,1,0,0,6,0,0,7,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,8213,323,0,86,14,1,0,17,12,3,121,0,0,1,6,0,5,15,2,17,2,1,0,0,0,0,1,0,0,3,9,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
720,8300,309,0,180,11,1,0,18,11,0,52,0,0,1,8,0,2,1,0,0,2,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
730,8387,203,0,75,7,0,0,20,14,0,35,0,0,0,2,0,6,11,0,15,4,0,0,0,0,1,1,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,8474,309,0,117,16,2,0,23,7,1,77,0,2,1,10,0,3,18,1,10,5,1,0,1,0,0,6,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,8547,308,0,100,20,3,0,23,13,1,72,0,0,0,5,0,10,19,1,16,2,1,0,0,2,2,2,0,0,3,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
760,8606,313,0,93,45,0,0,24,15,0,49,0,2,1,12,0,16,14,4,5,14,2,0,0,0,1,4,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,8665,310,0,76,45,5,0,21,14,1,57,0,0,1,7,1,21,17,1,6,12,3,0,0,0,3,4,0,0,2,6,2,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,8724,318,0,74,55,0,0,17,11,3,61,0,0,2,11,0,22,13,2,13,7,2,0,0,1,1,5,0,0,2,5,2,1,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,8782,311,0,79,49,0,0,12,5,1,64,0,0,4,9,0,18,12,0,12,22,4,0,0,0,1,3,0,0,5,2,3,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
800,8841,308,3,74,47,9,0,16,10,3,45,0,0,4,17,0,17,11,2,15,17,0,0,2,1,0,4,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
810,8900,315,0,68,48,1,0,9,7,2,78,0,0,1,17,0,16,13,2,11,9,2,0,0,0,3,8,1,0,4,8,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
820,8959,314,0,55,59,3,0,14,17,1,70,0,2,1,9,0,16,14,4,2,20,1,0,0,1,0,13,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
830,9018,338,0,66,50,1,0,12,11,1,87,0,0,4,6,0,25,16,0,11,20,1,1,0,2,2,6,0,0,5,0,1,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,9077,307,0,51,46,2,0,10,16,0,67,0,0,5,12,0,19,8,0,12,17,0,0,0,1,2,17,0,0,7,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0
850,9136,317,2,58,41,2,0,19,16,3,57,0,0,5,15,2,41,7,0,4,18,2,0,0,0,5,3,0,0,0,0,7,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,9195,321,0,60,42,1,0,15,10,1,83,0,0,4,15,0,23,12,4,9,17,1,0,0,0,4,3,0,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
870,9254,312,0,69,28,2,0,23,8,1,64,0,0,3,9,0,34,6,1,5,19,2,2,0,2,2,10,1,0,4,0,2,2,0,1,0,2,0,0,0,0,0,1,1,3,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,9406,333,0,40,31,2,0,11,16,3,64,0,0,12,18,1,42,8,1,8,29,3,0,0,0,1,17,1,0,5,1,1,1,0,0,1,1,0,0,0,0,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0
890,9559,315,0,31,39,7,0,14,11,0,62,1,2,8,8,1,31,7,0,13,36,2,3,0,7,3,9,0,0,6,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
900,9711,308,2,58,32,1,0,7,19,6,41,0,0,8,16,0,41,6,0,17,37,2,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
910,9863,309,1,39,32,9,0,11,20,5,44,0,4,3,13,1,30,4,0,7,36,4,0,0,2,5,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,5,0,1,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0
920,10015,351,1,42,14,4,0,3,12,4,62,0,2,12,11,0,45,2,0,6,77,3,1,0,7,5,6,0,0,3,2,0,4,0,0,0,1,0,0,0,0,0,5,0,4,1,2,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0
930,10168,332,0,46,12,2,0,8,5,2,59,0,6,12,19,1,58,4,11,6,53,2,0,0,6,4,2,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
