"sample.depths","sample.ages","upland.sum","Acer.saccharinum.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Juglans.undiff.","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Brassicaceae","Rosaceae","Carya","Iva.xanthifolia.type","Picea","Celtis","Asteraceae.undiff.","Iva.annua.type","Fabaceae.undiff.","Ranunculaceae.undiff.","Tilia","Populus","Rumex","Amorpha.type","Pinus.subg..Strobus","Apiaceae","Cerealia","Lamiaceae","Cupressaceae","Acer.negundo","Corylus","Sarcobatus.vermiculatus","Fraxinus.nigra.type","Polemoniaceae","Abies","Asteraceae.subf..Cichorioideae","Dalea","Impatiens","Ephedra","Liliaceae","Pinus.subg..Pinus","Caryophyllaceae","Iva.undiff.","Malvaceae","Polygonaceae.undiff.","Larix","Acer.saccharum.type","Liquidambar","Tsuga","Morus","Plantago","Herbs.undiff.","Trees.undiff.","Acer.rubrum","Rhamnaceae.Vitaceae","Shepherdia","Fraxinus.undiff.","Ericaceae"
2,5,309,1,133,6,1,4,29,5,12,24,3,2,5,6,1,57,2,1,3,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,354,1,176,6,0,4,22,7,5,36,0,2,0,8,0,60,6,0,6,12,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,25,416,1,231,4,0,1,33,5,13,31,1,0,1,4,0,51,13,2,0,9,1,1,1,1,1,1,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,38,317,0,196,7,1,0,15,7,5,32,0,0,1,6,0,35,0,1,4,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,50,339,1,166,10,3,1,9,12,5,18,2,2,1,18,0,59,2,1,6,11,0,2,3,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,62,343,0,112,20,5,0,16,34,2,33,1,0,8,11,4,57,4,2,12,8,2,0,3,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,75,332,0,124,15,4,0,7,25,4,29,0,0,4,15,1,64,5,0,8,6,2,2,0,3,0,4,0,0,3,2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,87,343,3,88,28,2,0,9,35,1,41,2,0,0,19,1,64,2,0,21,6,0,0,1,6,0,7,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,100,357,3,24,33,5,0,6,76,3,45,0,2,4,21,5,75,6,2,16,6,2,1,2,4,1,4,0,0,1,1,1,2,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,229,354,2,68,22,6,0,10,51,4,59,0,4,2,20,1,67,2,0,23,3,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,357,334,1,85,19,4,0,3,21,4,46,1,0,10,16,4,68,0,3,23,4,0,0,0,3,2,2,0,0,1,5,2,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,461,319,0,82,24,4,0,3,13,3,32,1,0,2,15,2,91,1,1,20,5,2,0,0,4,0,8,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,540,321,0,71,29,1,0,8,12,6,37,2,0,1,19,1,59,2,0,32,7,2,0,0,4,0,7,1,0,1,1,2,4,1,0,0,4,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,611,338,0,75,25,5,0,4,22,5,57,1,0,4,14,1,54,6,3,23,6,2,0,0,2,1,3,0,0,3,0,5,1,0,0,1,5,2,0,2,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,776,320,2,59,26,4,0,10,13,0,67,0,0,2,23,1,63,4,1,17,5,5,0,0,1,0,8,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,855,324,1,46,26,4,0,9,17,2,63,1,0,2,35,1,57,2,0,0,4,3,0,2,2,0,5,0,23,0,2,2,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,969,327,0,66,21,6,0,7,19,5,57,0,1,5,31,2,54,7,0,20,6,1,0,1,3,0,5,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1120,331,1,53,20,5,0,7,23,8,64,2,0,8,32,2,52,5,1,21,4,1,0,0,3,0,6,0,0,2,0,2,2,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
