"sample.depths","sample.ages","Picea","Pinus","Abies","Tsuga","Betula","Populus","Quercus","Ulmus","Fagus","Fraxinus","Ostrya.Carpinus","Other.trees","Juniperus.Thuja","Alnus","Salix","Shepherdia.canadensis","Myrica","Ericaceae","Other.shrubs","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Chenopodiineae","Ranunculaceae","Rosaceae","Plantago","Other.herbs","Cyperaceae"
600,11460,0.0580204778156997,0.170648464163823,0.00341296928327645,0,0.146757679180887,0,0.0887372013651877,0.00341296928327645,0,0.0204778156996587,0.0102389078498294,0.0102389078498294,0.378839590443686,0.0102389078498294,0,0,0.0341296928327645,0.0170648464163823,0,0.0273037542662116,0.0136518771331058,0,0.00341296928327645,0,0,0,0,0,0.00341296928327645
610,11652,0.0456273764258555,0.239543726235741,0.00760456273764259,0.0152091254752852,0.091254752851711,0,0.0608365019011407,0.0114068441064639,0,0.0114068441064639,0.0114068441064639,0,0.361216730038023,0.026615969581749,0.00380228136882129,0,0.0570342205323194,0.0152091254752852,0,0.00760456273764259,0.00380228136882129,0.00380228136882129,0.00380228136882129,0.00380228136882129,0,0.0114068441064639,0.00380228136882129,0,0.00380228136882129
615,11747,0.0428134556574924,0.223241590214067,0.0244648318042813,0,0.100917431192661,0,0.0825688073394495,0.00305810397553517,0,0.018348623853211,0.0122324159021407,0.0152905198776758,0.259938837920489,0.036697247706422,0,0,0.073394495412844,0.0152905198776758,0.00611620795107034,0.036697247706422,0.0122324159021407,0,0.00305810397553517,0,0,0,0,0,0.0336391437308868
625,11939,0.0798816568047337,0.215976331360947,0.00887573964497041,0.0029585798816568,0.0857988165680473,0,0.0710059171597633,0.00591715976331361,0.00591715976331361,0.00591715976331361,0.00591715976331361,0.0118343195266272,0.260355029585799,0.0177514792899408,0,0,0.130177514792899,0.0473372781065089,0,0.0118343195266272,0.0029585798816568,0,0.00887573964497041,0,0,0,0,0,0.0207100591715976
630,12035,0.047752808988764,0.224719101123595,0.0337078651685393,0.00842696629213483,0.148876404494382,0.00280898876404494,0.123595505617978,0.0112359550561798,0,0.047752808988764,0,0.00842696629213483,0.0168539325842697,0.0168539325842697,0.0112359550561798,0,0.143258426966292,0.0112359550561798,0,0.0842696629213483,0.0196629213483146,0,0.00280898876404494,0,0,0,0,0.0196629213483146,0.0168539325842697
634,12122,0.0702127659574468,0.238297872340426,0.051063829787234,0.00425531914893617,0.0978723404255319,0.00425531914893617,0.0638297872340425,0,0.00212765957446809,0.0148936170212766,0,0.00638297872340425,0.0702127659574468,0.0234042553191489,0.00212765957446809,0,0.180851063829787,0.0638297872340425,0,0.0297872340425532,0.0170212765957447,0,0.00212765957446809,0,0.00212765957446809,0.00851063829787234,0,0.00425531914893617,0.0425531914893617
646,12436,0.166666666666667,0.134615384615385,0.0288461538461538,0,0.256410256410256,0,0.00961538461538462,0,0,0.016025641025641,0,0.00641025641025641,0.0576923076923077,0.0769230769230769,0.00641025641025641,0,0.0865384615384615,0.0544871794871795,0.00320512820512821,0.00961538461538462,0.00320512820512821,0.00641025641025641,0,0,0,0.00641025641025641,0,0.0128205128205128,0.0576923076923077
656,12697,0.106854838709677,0.209677419354839,0.0705645161290323,0,0.157258064516129,0,0.0161290322580645,0.00201612903225806,0,0.00403225806451613,0,0,0.030241935483871,0.100806451612903,0.00806451612903226,0,0.122983870967742,0.0463709677419355,0,0.0241935483870968,0.00806451612903226,0,0.00604838709677419,0,0,0.00604838709677419,0,0.0100806451612903,0.0705645161290323
666,12958,0.0732484076433121,0.200636942675159,0.035031847133758,0,0.0732484076433121,0,0.0477707006369427,0,0.00318471337579618,0.00955414012738853,0.00318471337579618,0.00318471337579618,0.054140127388535,0.0509554140127389,0.00955414012738853,0,0.207006369426752,0.035031847133758,0,0.0605095541401274,0.00318471337579618,0,0.0191082802547771,0,0,0,0,0.00636942675159236,0.105095541401274
675,13317,0.0892857142857143,0.134920634920635,0.0297619047619048,0.00198412698412698,0.0734126984126984,0.0138888888888889,0.00992063492063492,0.00198412698412698,0.00595238095238095,0.0257936507936508,0,0.00396825396825397,0.101190476190476,0.00198412698412698,0.00793650793650794,0.00396825396825397,0.35515873015873,0.0396825396825397,0,0.0178571428571429,0.00992063492063492,0,0.0138888888888889,0,0,0,0.00396825396825397,0.00793650793650794,0.0456349206349206
695,14131,0.0547945205479452,0.150684931506849,0.0136986301369863,0,0.0410958904109589,0,0.0136986301369863,0.0684931506849315,0,0.0136986301369863,0,0,0.0821917808219178,0,0.205479452054795,0,0.0273972602739726,0.095890410958904,0.0273972602739726,0.0410958904109589,0,0.0136986301369863,0.0273972602739726,0,0,0,0,0.0136986301369863,0.10958904109589
700,14335,0.0180505415162455,0.151624548736462,0.0216606498194946,0.0072202166064982,0.0072202166064982,0.0180505415162455,0.0180505415162455,0.0036101083032491,0,0.0036101083032491,0,0.0216606498194946,0.176895306859206,0.0144404332129964,0.0397111913357401,0,0.0072202166064982,0.0072202166064982,0,0.187725631768953,0.0144404332129964,0,0.0288808664259928,0,0.0252707581227437,0,0,0.0180505415162455,0.209386281588448
