"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Aesculus","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Ilex","Indeterminable","Indeterminable.undiff.","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Leitneria.floridana","Liquidambar","Lycopodium.clavatum","Magnolia","Menyanthes.trifoliata","Morus","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Polypodium.type","Populus","Potamogeton","Potamogetonaceae.undiff.","Potentilla.type","Proserpinaca","Prunus.Sorbus","Pteridium.type","Quercus","Rubus","Sagittaria","Salix","Sambucus","Sanguisorba","Saxifragaceae","Shepherdia.canadensis","Sparganium.type","Sphagnum","Spiraea.type","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Viburnum","Vitis","Xanthium"
25,-238,0,1,102,0,0,0,80,2,73,0,3,0,5,4,0,0,19,0,0,6,26,0,0,0,1,7,0,0,0,0,1,5,1,3,0,0,7,17,0,0,1,0,2,1,0,0,8,0,0,0,0,0,0,0,5,0,0,4,0,0,7,1,19,0,8,18,0,0,1,0,0,0,0,0,0,95,3,1,2,0,0,8,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1
30,-183,0,0,106,2,0,0,66,1,65,1,1,0,7,1,0,0,15,0,6,2,10,0,0,0,0,2,0,0,0,0,0,9,0,2,0,0,11,23,0,0,1,0,6,1,0,0,4,1,0,0,0,0,0,0,3,0,0,2,0,0,8,0,12,0,3,13,0,0,0,1,0,0,0,0,0,104,3,1,7,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0
35,-116,0,0,24,0,0,0,317,1,86,0,24,2,15,5,2,0,12,0,15,0,48,0,0,1,0,23,0,0,0,0,2,6,0,6,0,0,18,58,0,0,0,1,2,2,0,2,6,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,20,0,5,15,1,0,0,1,0,0,0,0,0,175,28,3,4,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1
40,-26,0,1,8,0,0,0,336,1,56,1,20,1,10,1,0,0,17,0,18,0,70,1,0,1,0,40,0,0,0,0,3,5,1,8,0,1,11,43,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,21,1,1,17,2,0,0,4,0,0,0,0,0,197,6,4,6,0,0,9,0,1,0,0,0,0,4,1,0,7,1,0,1,1,0
45,99,0,0,14,0,0,0,358,2,56,0,26,1,12,3,1,0,15,0,18,0,72,0,0,0,1,50,0,0,0,0,2,4,2,11,0,0,17,53,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,21,0,1,18,0,0,0,1,0,0,0,0,0,192,4,2,10,0,0,8,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
52,355,0,1,11,0,0,0,493,0,96,0,6,0,7,37,1,0,11,0,29,0,116,0,0,0,0,31,0,1,0,0,3,5,1,7,0,0,79,165,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,18,0,1,8,3,0,2,5,2,0,0,0,0,178,5,2,0,0,0,7,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0
56,556,0,0,6,0,0,0,229,0,37,0,2,0,0,3,0,0,24,0,17,0,67,1,0,0,0,56,0,0,0,20,4,3,2,10,0,0,54,144,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,18,2,0,28,1,0,1,3,0,0,0,0,0,187,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0
60,803,0,0,3,0,0,0,251,0,36,0,2,0,0,10,4,0,29,0,14,0,80,0,0,0,0,54,0,0,0,8,2,6,3,6,0,0,35,103,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,17,1,1,24,0,0,3,6,0,0,0,0,0,190,1,5,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
64,1102,0,0,4,0,0,0,206,0,8,0,1,0,0,7,0,0,25,0,3,0,33,0,0,0,0,65,0,2,0,4,4,4,0,15,0,0,49,157,0,1,0,1,1,2,0,0,3,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,19,0,1,26,0,0,1,0,0,0,0,0,0,199,0,13,0,0,0,7,0,0,0,0,0,1,0,0,0,6,1,0,1,1,0
68,1454,0,0,1,0,2,0,194,0,7,0,0,0,0,4,3,0,27,0,7,1,54,0,0,0,0,56,1,2,0,4,2,2,0,15,1,0,38,142,0,0,0,1,2,3,0,0,5,0,1,0,0,2,0,0,0,4,0,2,1,0,4,0,15,0,0,41,1,0,4,0,2,0,0,0,0,197,0,7,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
