"sample.depths","sample.ages","upland.sum","Ambrosia.type","Carya","Cephalanthus","Amaranthaceae.undiff.","Cyperaceae","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fraxinus","Pinus","Poaceae","Cupressaceae.undiff.","Liquidambar","Ostrya.Carpinus","Apiaceae","Juglans","Artemisia","Nyssa","Sambucus","Taxodium","Populus","Vitis","Alnus","Acer","Liliaceae","Phlox","Prunus","Polygonum","Platanus","Sarcobatus.vermiculatus","Robinia.type","Fagus","Corylus","Caryophyllaceae","Fabaceae.undiff.","Tilia","Celtis","Betula","Picea","Liriodendron","Rosaceae.undiff.","Brassicaceae"
20,NA,425,27,4,1,41,40,68,7,24,4,3,12,163,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NA,418,20,8,5,35,34,85,4,41,1,2,15,156,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,NA,418,13,10,5,20,35,75,9,38,4,3,18,162,8,1,0,5,1,1,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,432,13,10,26,2,47,76,15,10,4,3,9,166,20,10,0,0,2,0,5,4,1,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5868,404,10,11,22,3,15,76,17,14,2,8,9,183,13,3,0,1,0,0,1,0,0,4,4,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,6319,411,6,15,5,1,16,83,2,10,3,6,9,237,8,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80,6770,407,11,8,2,0,12,48,0,15,3,7,4,277,3,3,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0
90,7159,417,4,11,0,0,26,73,3,6,2,6,1,277,1,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,7359,397,15,6,4,35,14,66,4,15,1,6,16,193,11,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
105,7459,393,6,8,4,36,0,53,4,18,0,2,10,232,7,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,2,1,0,0,0,0,0,0
110,7559,433,7,11,3,3,37,58,3,19,1,3,2,269,7,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
120,7760,428,12,7,0,9,33,56,2,19,4,4,1,271,4,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,7960,416,21,8,0,5,19,65,2,11,7,1,5,261,0,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
140,8169,434,10,11,0,3,36,51,2,11,1,3,4,286,8,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,8405,439,9,10,2,1,44,65,2,13,1,0,2,275,7,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
160,8640,427,14,13,3,0,36,34,1,17,1,2,2,290,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
170,8876,405,20,4,0,0,12,60,4,13,4,2,4,269,4,1,0,1,0,1,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,9112,412,16,10,0,1,14,42,1,9,1,4,0,309,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
190,9347,408,12,6,0,1,11,68,3,10,4,1,1,283,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
200,9583,437,13,18,0,10,47,90,6,10,2,0,1,236,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
210,9818,411,19,10,18,75,36,130,43,3,9,4,2,30,6,0,0,1,2,0,0,8,0,1,5,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0
215,NA,400,7,12,9,11,12,112,15,6,3,7,1,192,3,4,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,NA,416,12,11,4,13,20,113,15,4,8,3,0,197,1,5,0,0,2,0,0,0,2,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
230,NA,439,27,13,14,72,29,118,60,4,3,9,3,20,3,2,50,0,4,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
