"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Ambrosia.type","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.undiff.","Herbs.undiff.","Iva.xanthifolia.type","Picea","Pinus.undiff.","Quercus","Salix","Ulmus","Populus","Poaceae","Acer.saccharum.type","Artemisia","Betula","Carya","Iva.annua.type","Fagus","Fraxinus.pennsylvanica.type","Juglans.cinerea","Liquidambar","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Xanthium","Rhamnaceae.Vitaceae","Thalictrum","Myrica","Rosaceae","Juglans.undiff.","Polygonaceae.undiff.","Rumex","Acer.rubrum","Abies","Alnus.viridis.type","Iva.undiff.","Asteraceae.subf..Cichorioideae","Juglans.nigra","Larix","Plantago","Acer.undiff.","Celtis","Shrubs.undiff.","Ephedra","Sarcobatus.vermiculatus","Nyssa","Castanea"
45.5,72,97,2,42,4,1,1,1,1,1,1,1,1,3,22,1,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.5,88,327,3,24,2,0,0,2,4,0,0,2,1,16,187,2,13,0,16,1,2,9,8,1,2,1,1,1,7,7,3,4,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.5,200,349,5,6,5,2,0,2,0,0,0,2,2,22,215,0,15,3,13,2,2,10,5,1,8,5,0,0,5,6,3,1,0,3,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.5,500,314,5,19,3,4,2,1,1,0,1,2,1,21,177,0,6,0,13,0,3,11,8,0,1,2,1,0,4,8,4,4,1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.5,800,302,2,8,3,0,1,13,3,0,0,1,1,20,159,0,9,0,12,8,3,11,9,0,5,0,0,1,1,11,3,0,4,3,5,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125.5,1100,262,3,9,2,1,3,6,1,0,0,2,0,21,138,1,6,0,15,1,5,12,5,0,5,0,0,0,3,7,4,3,0,1,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.5,1999,205,5,3,3,0,0,4,1,0,0,0,1,11,122,0,5,0,11,1,5,11,1,0,2,1,0,0,3,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0
205.5,2238,293,3,5,11,0,1,5,2,0,0,3,1,17,158,3,8,0,22,3,7,12,5,1,2,2,0,0,2,5,5,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
215.5,2349,407,4,5,3,1,1,3,5,0,0,7,0,22,239,2,11,0,39,2,4,15,5,2,0,1,3,0,5,5,7,4,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
225.5,2460,363,2,14,16,0,1,3,5,2,0,18,2,21,159,1,8,1,46,3,8,14,5,0,1,3,1,0,3,3,4,7,2,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
