"sample.depths","sample.ages","Abies","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Cupressaceae","Cyperaceae","Epilobium","Equisetum","Ericaceae","Fabaceae","Fraxinus","Huperzia.lucidula","Huperzia.selago","Indeterminable","Isoëtes","Juglans","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Ostrya.type","Oxyria.digyna","Pedicularis.lanceolata","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum.viviparum","Polypodiaceae","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubiaceae","Rubus.chamaemorus","Salix","Sparganium","Sphagnum","Thalictrum","Typha","Ulmus","Unknown"
0,-57,0,0,111,3,19,9,2,287,0,0,0,69,0,0,46,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,84,0,0,1,0,1,0,0,0,0,0,0,1,0,1,6,0,46,0,0,0,0
2.5,646,0,0,98,0,5,12,0,243,0,0,1,46,1,0,69,0,0,0,0,0,7,0,8,2,0,0,1,1,0,0,73,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,52,0,0,0,1
4.5,1169,0,0,114,0,4,11,1,166,0,0,0,46,0,0,64,1,0,0,0,0,22,0,1,0,0,3,0,0,0,0,63.5,2,0,1,0,6,0,2,1,0,0,1,0,0,1,0,0,22,0,0,0,1
5.5,1417,0,2,110,1,2,7,0,191,0,0,3,43,0,0,68,0,0,0,0,1,14,0,2,2,0,0,0,0,0,0,91.5,0,0,2,1,3,0,1,1,0,0,0,0,0,3,3,0,16,0,0,0,4
7.5,1888,0,0,113,2,3,7,1,197,0,0,0,39,0,0,70,0,0,0,0,0,27,0,2,3,0,1,0,0,0,0,54,1,0,3,0,3,0,0,0,0,0,0,0,0,2,3,1,17,1,0,0,0
9.5,2327,0,0,128,0,6,6,1,219,0,0,0,34,0,1,63,0,0,1,0,1,17,0,4,0,0,0,1,0,1,1,73,1,0,3.5,0,5,0,1,0,0,0,0,1,0,4,4,0,20,0,0,1,4
10.5,2534,0,1,149,1,1,15,1,195,0,0,0,43,0,0,70,0,1,1,1,0,13,1,7,4,1,0,1,0,0,0,82.5,1,0,3.5,0,3,0,1,2,0,0,1,0,0,1,4,0,19,0,0,0,1
15,3376,0,1,161,0,0,4,0,188,0,0,0,31,1,0,74,0,1,0,1,4,10,0,4,5,0,1,0,0,0,0,72,0,0,5,0,4,0,9,1,0,0,0,1,0,1,5,0,16,0,1,0,3
21.5,4346,0,0,197,1,1,6,1,227,1,0,2,49,0,0,81,0,0,0,0,4,8,0,3,6,2,1,1,0,0,0,73.5,3,0,8.5,0,10,0,6,1,0,0,0,1,0,0,10,0,24,0,0,0,5
30,5242,0,2,208,0,1,13,0,320,0,0,0,44,0,1,79,0,0,0,1,2,10,0,5,4,1,0,0,1,0,0,64.5,1,0,5,0,10,1,4,0,0,0,0,0,0,0,12,0,23,0,0,0,1
40,5874,0,2,148,0,0,11,0,298,0,0,0,37,0,0,49,0,0,0,0,1,0,0,3,3,0,0,0,0,1,0,31.5,2,0,0,1,4,1,1,0,0,0,0,0,0,0,7,0,6,0,0,1,2
50,6196,0,0,133,0,1,14,1,323,1,0,1,43,0,1,73,0,0,0,0,2,4,0,1,3,1,0,0,1,0,0,53.5,0,1,4.5,0,5,0,1,0,1,0,0,1,0,0,4,0,17,0,0,0,1
60,6365,0,1,196,0,2,6,1,379,0,0,1,52,0,0,41,0,0,1,0,0,0,0,6,3,0,1,0,0,0,0,40.5,0,0,2.5,0,3,0,7,0,0,0,1,0,1,0,6,0,11,0,0,0,1
70,6536,1,3,159,3,7,15,0,256,0,0,0,47,0,0,25,0,0,1,0,2,0,0,3,5,1,1,0,0,0,0,43,0,0,2.5,0,0,0,4,0,0,0,1,0,0,0,12,0,20,0,0,0,3
80,NA,0,0,120,3,4,16,1,199,0,1,0,54,0,0,14,0,0,1,1,1,0,0,3,1,1,0,2,0,0,0,44.5,1,0,0,0,2,0,6,0,0,1,0,0,0,1,15,0,29,1,0,0,3
