"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus..pentaporate.","Alnus..tetraporate.","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Larix","Liquidambar","Nyssa","Ostrya","Picea","Pinus","Platanus","Quercus","Rhamnaceae","Rhus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Impatiens","Plantago.lanceolata","Poaceae.undiff.","Rosaceae","Rumex","Solanaceae","Thalictrum","Urtica","Zea"
1,-22,0,0.011627907,0.011627907,0.011627907,0,0.127906977,0.081395349,0,0,0,0,0,0,0,0,0,0,0,0,0.034883721,0.011627907,0.139534884,0,0.220930233,0,0,0.034883721,0,0.011627907,0.011627907,0.011627907,0.093023256,0,0,0.011627907,0,0.011627907,0.011627907,0.011627907,0.023255814,0,0.011627907,0.069767442,0.034883721,0,0,0,0,0
2,-21,0,0,0.010989011,0,0.029304029,0.139194139,0.018315018,0.003663004,0,0,0.014652015,0,0,0.021978022,0,0,0,0.003663004,0,0.010989011,0.003663004,0.194139194,0.003663004,0.252747253,0,0,0.032967033,0.007326007,0.010989011,0.047619048,0,0.076923077,0,0.003663004,0,0,0,0,0.003663004,0,0.003663004,0,0.095238095,0.010989011,0,0,0,0,0
5,-17,0,0.045016077,0.01607717,0.009646302,0.012861736,0.163987138,0.032154341,0.022508039,0.006430868,0,0.006430868,0.003215434,0.019292605,0.035369775,0.006430868,0,0,0.006430868,0,0.022508039,0.019292605,0.147909968,0,0.135048232,0,0.003215434,0.032154341,0,0.009646302,0.012861736,0.003215434,0.122186495,0,0.003215434,0.012861736,0,0.003215434,0.01607717,0.006430868,0.003215434,0.006430868,0,0.032154341,0.012861736,0.009646302,0,0,0,0
7.5,-14,0,0.014134276,0.024734982,0,0.003533569,0.169611307,0.042402827,0,0,0,0.007067138,0,0.007067138,0.045936396,0,0,0,0.003533569,0,0.035335689,0,0.035335689,0.003533569,0.293286219,0,0.003533569,0.024734982,0,0.003533569,0.010600707,0,0.123674912,0.003533569,0,0.024734982,0,0,0.007067138,0,0.003533569,0.014134276,0,0.081272085,0.010600707,0.003533569,0,0,0,0
10,-11,0,0.027777778,0.006944444,0,0.006944444,0.201388889,0.038194444,0.006944444,0,0,0,0,0.003472222,0.03125,0,0.006944444,0,0,0,0.024305556,0.003472222,0.027777778,0,0.368055556,0,0,0.010416667,0,0.006944444,0.024305556,0,0.107638889,0,0.003472222,0.010416667,0,0,0.003472222,0.003472222,0.006944444,0,0.003472222,0.052083333,0.010416667,0.003472222,0,0,0,0
15,-1,0.003194888,0.009584665,0.009584665,0.006389776,0.015974441,0.124600639,0.028753994,0.009584665,0.003194888,0,0,0,0.015974441,0.022364217,0,0,0,0.003194888,0,0.022364217,0,0.03514377,0.006389776,0.313099042,0.003194888,0,0.009584665,0,0.006389776,0.03514377,0,0.146964856,0,0,0.003194888,0,0.003194888,0.006389776,0,0.006389776,0.009584665,0,0.108626198,0.015974441,0.015974441,0,0,0,0
20,10,0,0.007168459,0.007168459,0.003584229,0.021505376,0.136200717,0.035842294,0.068100358,0.003584229,0,0.007168459,0,0.010752688,0.021505376,0.003584229,0.003584229,0,0.003584229,0,0.017921147,0.003584229,0.039426523,0,0.218637993,0,0,0,0.007168459,0.010752688,0.017921147,0,0.146953405,0,0,0.007168459,0,0,0,0.007168459,0.007168459,0,0.017921147,0.093189964,0.003584229,0.05734767,0.003584229,0,0,0.007168459
20.5,11,0,0.013289037,0.006644518,0,0.009966777,0.139534884,0.066445183,0.006644518,0,0,0.003322259,0,0.009966777,0.043189369,0,0.006644518,0,0.003322259,0.003322259,0.023255814,0.003322259,0.013289037,0.003322259,0.318936877,0,0.006644518,0.009966777,0.006644518,0.003322259,0.019933555,0.006644518,0.139534884,0,0.003322259,0,0,0.006644518,0.009966777,0.003322259,0.013289037,0.003322259,0.009966777,0.066445183,0.006644518,0.009966777,0,0,0,0
25,24,0,0.009584665,0,0.006389776,0.009584665,0.220447284,0.047923323,0.025559105,0,0,0.003194888,0,0.009584665,0.028753994,0.006389776,0,0,0,0,0.019169329,0.003194888,0.019169329,0.012779553,0.242811502,0,0,0.003194888,0.003194888,0.012779553,0.019169329,0,0.102236422,0,0,0.009584665,0,0,0.009584665,0.012779553,0.003194888,0,0.015974441,0.108626198,0,0.028753994,0,0.003194888,0,0.003194888
27,30,0,0.016393443,0.013114754,0.006557377,0.039344262,0.157377049,0.019672131,0.009836066,0.003278689,0,0.006557377,0,0.009836066,0.032786885,0,0.003278689,0,0,0,0.019672131,0.003278689,0.029508197,0.003278689,0.213114754,0,0.003278689,0.003278689,0,0.003278689,0.036065574,0.003278689,0.17704918,0,0,0.013114754,0,0.003278689,0,0.006557377,0.003278689,0.003278689,0.009836066,0.104918033,0.003278689,0.039344262,0,0,0,0
