"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Larix","Ostrya.Carpinus","Picea","Pinus","Poaceae","Quercus","Salix","Tilia","Ulmus"
0,0,6,7,0,5,46,0,10,2,6,4,11,60,4,3,9,3,0,2,0,35,23,48,10,3,3
11,164,4,6,2,2,16,0,4,2,5,4,6,59,1,4,6,2,0,3,1,43,24,68,4,1,5
31,1373,1,3,0,5,12,0,6,5,14,0,5,60,0,8,8,3,0,0,0,36,19,76,0,4,0
41,1977,4,4,5,5,9,2,6,6,7,5,3,85,2,5,7,7,0,4,2,82,39,98,0,1,1
51,2581,4,2,2,9,16,2,3,1,8,1,3,49,1,6,7,1,0,1,2,60,21,31,2,4,1
58,3004,7,3,1,3,17,4,5,1,5,2,3,53,2,3,10,2,0,2,0,65,18,54,2,2,2
65,3427,3,4,4,2,5,1,5,3,6,0,0,51,0,4,7,2,0,1,0,60,17,52,2,2,2
79,4274,3,9,0,10,18,1,10,0,2,0,10,52,3,0,7,0,0,0,0,67,17,44,5,3,0
86,4697,0,5,2,6,14,4,9,2,7,0,5,97,2,2,3,4,0,4,0,50,19,49,0,6,7
93,4927,5,8,0,6,27,3,17,0,7,0,0,93,2,4,4,5,0,2,0,45,18,61,3,6,10
104,5238,2,6,4,3,20,0,22,0,0,0,2,137,5,4,9,2,0,0,0,95,21,114,4,1,5
127,5889,7,3,1,5,24,3,9,0,1,5,1,143,2,6,8,0,0,2,2,60,26,76,0,1,5
139,6229,6,10,0,7,20,4,10,0,2,0,0,107,0,6,5,1,0,4,0,43,21,45,4,4,15
147,6455,4,5,2,22,23,3,5,0,5,0,0,91,0,4,7,3,0,0,0,35,22,48,0,4,12
155,6681,2,4,1,15,12,1,7,2,3,1,1,95,2,2,7,0,0,0,0,52,20,50,5,4,6
163,6908,4,8,2,12,34,1,7,0,6,2,4,97,0,2,6,0,0,5,0,37,28,62,0,3,0
171,7134,4,18,3,2,35,4,3,2,12,3,8,101,1,5,8,4,0,6,0,52,48,106,1,2,24
179,7361,10,6,0,4,18,2,3,0,7,0,0,97,2,1,8,2,0,4,0,52,28,60,0,0,18
187,7587,7,6,0,10,30,2,1,1,11,4,0,92,0,2,10,2,0,6,0,92,44,77,5,1,23
195,7813,6,0,0,10,25,0,8,0,3,0,2,130,2,1,7,2,0,4,0,80,28,16,0,4,7
201,7983,6,6,4,10,22,3,6,0,1,1,0,132,0,0,9,0,0,0,0,70,24,20,0,0,10
207,8153,2,4,1,4,84,0,8,2,2,3,0,121,0,1,7,0,0,0,2,65,20,40,6,4,6
213,8435,2,0,0,6,96,3,10,0,4,2,1,142,0,3,6,1,0,0,0,68,48,20,0,7,0
220,8765,15,8,103,2,15,2,5,2,24,11,5,118,2,3,20,3,8,17,4,188,33,101,10,0,51
228,9142,5,1,0,13,35,3,4,0,5,0,0,131,3,0,4,0,0,0,0,62,50,20,0,3,3
236,9518,10,8,0,10,35,10,0,0,2,0,0,141,0,1,5,2,0,1,4,70,34,35,0,2,0
243,9848,7,10,2,10,26,0,10,0,1,1,3,132,2,1,9,1,0,1,6,62,24,31,2,1,2
250,10177,6,1,2,3,26,0,2,3,5,0,1,121,2,1,10,0,0,0,5,55,30,44,3,1,5
256,10460,10,0,1,12,30,3,12,5,2,1,0,150,6,0,7,4,2,0,8,58,35,35,3,0,4
262,10741,8,0,5,6,38,0,8,2,2,2,0,72,6,1,8,0,10,1,22,51,35,21,4,4,3
266,10929,4,0,4,1,1,0,1,10,0,0,0,27,2,1,6,0,22,0,163,28,12,7,0,0,3
271,11072,0,0,0,0,0,0,0,6,0,0,0,31,1,0,5,0,12,0,158,18,8,2,0,0,0
276,11215,0,0,5,0,0,0,0,6,0,0,0,40,2,2,10,0,7,0,199,12,15,0,0,0,0
281,11359,0,0,0,0,2,0,0,8,0,0,0,20,2,1,9,0,8,0,187,8,12,0,0,0,1
296,11789,2,0,7,3,0,1,0,14,0,0,0,22,3,0,11,0,8,0,276,7,14,3,0,0,5
299,11875,0,0,1,0,1,0,0,17,0,0,0,23,1,0,7,0,9,0,289,12,10,2,0,0,0
301,11932,2,0,0,0,2,0,0,8,0,0,0,31,0,0,7,0,10,0,204,9,12,3,0,0,0
307,12104,0,0,4,0,8,0,2,12,0,0,0,30,4,0,5,0,9,0,237,6,20,0,0,0,0
