"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Iva.annua.type","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Urtica.type","Vitis","Xanthium","Alnus","Juniperus.Thuja","Populus","Cannabis.sativa.type","Tilia.americana","Chenopodium.type","Pinus.banksiana.P..resinosa","Brassicaceae.cf..Brassica","Juglans.cf..J..nigra","Larix.laricina","Acer.negundo","Acer.saccharinum.type","Pinus.subg..Strobus","Tsuga","Cerealia","Rosaceae","Abies.balsamea","Acer.saccharum","Platanus.occidentalis","Euphorbia.subg..Chamaesyce","Juglans.cf..J..cinerea","Sarcobatus.vermiculatus","Amorpha","Onosmodium","Celtis.occidentalis","Ephedra.trifurca.type","Dalea.candida.type","Rhamnus.alnifolia","Prosopis","Dalea.purpurea","Humulus.lupulus","Phlox","Zanthoxylum.americanum","Laportea.type","Pilea.type","Brassicaceae.undiff.","Thalictrum","Caltha.type","Morus.rubra","Ephedra.viridis.type","Cirsium","Fraxinus.undiff.","Rumex.type.undiff.","Polygonum.lapathifolium.type","Cornus","Caryophyllaceae","Juglans.undiff.","Polygonum.amphibium.type","Viburnum.lentago","Ephedra.undiff.","Galium","Epilobium","Ericaceae","Shepherdia.canadensis"
130,-10,601,2,161,7,44,1,1,1,5,2,2,164,4,1,1,9,1,21,66,1,2,3,5,8,1,4,1,1,14,7,6,2,3,22,15,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,45,854,0,82,11,77,1,0,4,16,7,0,342,0,0,0,7,0,70,96,0,2,2,4,17,0,1,2,0,25,8,8,1,3,14,1,2,1,26,1,1,9,3,1,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,486,598,0,9,11,39,1,1,0,7,2,0,331,1,0,0,9,1,39,71,0,1,0,3,2,0,1,0,0,12,15,1,0,0,1,2,0,1,17,0,0,13,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1259,455,0,6,7,28,0,0,0,14,5,0,199,0,0,0,5,0,28,98,0,1,0,2,4,0,0,0,0,13,9,3,0,2,2,2,0,0,16,0,0,4,0,0,0,0,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2032,543,0,8,17,28,2,1,3,19,3,0,224,0,0,0,9,3,32,117,0,2,0,6,3,0,1,0,0,21,3,2,0,1,1,4,0,0,21,0,0,3,0,0,0,0,2,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2805,1161,4,22,22,82,2,0,3,23,7,0,520,1,0,0,40,0,56,224,0,2,0,8,18,0,0,0,0,26,4,5,0,3,8,2,0,0,48,0,0,10,1,0,0,0,8,3,0,4,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3578,925,0,12,15,16,1,1,10,11,3,0,653,1,0,0,27,0,23,67,0,0,0,5,13,0,2,0,1,19,3,1,0,5,5,2,0,0,15,0,0,3,0,0,0,0,3,4,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,4351,509,1,16,19,15,1,0,1,14,4,2,197,1,0,0,39,2,18,67,0,4,0,11,10,0,1,0,0,14,6,5,0,12,9,7,0,0,22,0,0,1,1,0,0,0,2,1,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,4602,343,0,9,13,9,0,0,2,17,1,2,148,1,0,0,15,0,10,58,0,0,0,3,3,0,2,1,0,11,8,1,0,4,5,5,0,0,10,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,4847,303,0,21,10,8,0,0,2,19,2,0,76,0,0,0,14,1,17,79,0,3,0,1,5,0,0,0,1,13,5,0,0,4,5,4,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
