"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Diapensia.lapponica","cf..Oxyria.digyna","cf..Taxus","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris","Dryopteris.type.undiff.","Epilobium","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum","Nuphar","Onagraceae.undiff.","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Quercus","Ranunculaceae","Rhus.typhina","Ribes","Rosaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Taxus","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff.","Woodsia.type"
5,121,1,1,0,14,1,12,2,0,31,0,1,2,0,240,0,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,25,5,1,6,0,0,7,0,5,0,0,0,1,1,0,0,0,0,0,0,5,0,2,11,15,1,29,34,10,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,3,1,6,2,0,0,0
25,606,2,2,0,15,0,15,0,1,4,0,0,2,0,287,0,0,1,0,0,0,0,0,0,0,4,7,0,0,0,0,1,0,0,44,5,7,2,0,0,6,3,3,1,2,0,0,1,0,0,0,0,3,0,2,0,0,33,10,2,76,52,4,0,0,1,0,0,0,0,14,0,0,0,0,0,1,0,1,0,0,0,4,0,44,0,0,1,8,0,1,4,0,0,0
50,1212,4,5,0,28,1,17,3,0,1,0,2,1,0,417,0,0,4,0,1,2,0,0,0,0,2,11,0,0,0,0,0,0,0,72,8,4,1,0,4,9,1,5,2,4,0,0,0,0,0,5,0,2,0,4,0,0,26,6,1,88,48,13,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,2,0,0,0,6,0,65,0,0,0,26,0,6,0,0,0,0
75,1585,1,6,0,17,1,6,3,0,0,0,3,2,0,258,0,0,1,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,56,6,2,4,0,2,5,0,2,1,5,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,26,30,3,0,0,1,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,61,0,0,1,10,0,1,0,1,0,0
100,1958,0,4,0,33,0,8,0,0,0,0,0,0,0,373,0,0,3,1,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,71,14,8,2,0,1,8,1,0,2,4,0,0,0,0,0,1,0,2,0,6,0,0,1,11,1,34,42,8,0,0,4,1,0,0,0,31,0,0,0,1,0,0,0,2,0,0,0,0,0,61,0,0,0,17,3,2,3,0,0,0
125,2330,8,11,0,41,0,18,2,1,2,0,2,0,0,480,0,0,2,0,1,0,0,0,0,0,4,9,0,1,0,0,0,0,0,123,6,8,0,0,1,17,0,5,1,5,0,0,0,0,0,0,0,8,0,6,0,1,10,6,1,147,87,8,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,1,0,26,0,8,1,0,0,0
150,2703,6,4,0,20,0,2,1,1,0,0,1,1,0,237,0,0,0,2,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,52,9,2,0,0,2,5,2,6,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,29,37,4,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,1,0,0,0,2,0,41,0,0,1,15,0,11,1,0,0,0
175,3076,2,1,0,22,1,6,2,0,1,0,3,4,0,207,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,44,7,3,0,0,2,7,0,8,6,2,0,0,1,0,0,1,0,1,0,0,0,0,3,2,0,42,38,5,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,1,0,25,0,0,0,8,0,4,2,0,0,0
200,3449,1,3,0,34,0,5,0,1,4,0,0,1,0,344,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,59,15,1,3,0,1,6,2,2,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,8,1,77,70,12,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,0,0,13,1,10,2,0,0,0
225,3821,4,2,0,22,0,1,0,0,1,0,0,0,0,245,0,0,1,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,36,6,4,2,0,0,6,0,9,12,1,0,0,1,0,0,0,0,1,0,4,0,0,1,2,0,64,43,1,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,5,0,8,2,0,0,0
