"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Ericaceae","Fagus","Fraxinus.nigra.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea","Pinus","Abies","Betula","Betula.undiff.","Acer.spicatum","Cyperaceae","Fraxinus.pennsylvanica.type","Larix","Acer.saccharum","Amaranthaceae","Taxus","Juniperus.communis.Thuja.occidentalis.type","Caryophyllaceae","Carya.ovata","Populus.tremuloides.type","Rosaceae","Corylus.cornuta","Myrica.gale","Thalictrum","Cupressaceae.cf..Thuja.occidentalis","Castanea.dentata","Populus.balsamifera.type","Ilex.Nemopanthus"
0,0,0.00550964187327824,0.00550964187327824,0.0165289256198347,0.0110192837465565,0.00550964187327824,0.00550964187327824,0.00550964187327824,0.00550964187327824,0.00275482093663912,0.0798898071625344,0.00826446280991736,0.00550964187327824,0.00826446280991736,0.00275482093663912,0.00275482093663912,0.00550964187327824,0.0220385674931129,0.112947658402204,0.0110192837465565,0.121212121212121,0.0110192837465565,0.00275482093663912,0.00550964187327824,0.0192837465564738,0.0110192837465565,0.00550964187327824,0.50137741046832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,642,0,0.00246305418719212,0.0246305418719212,0,0,0.00246305418719212,0,0.00492610837438424,0,0.177339901477833,0,0.0197044334975369,0,0,0,0,0.00492610837438424,0.113300492610837,0.0172413793103448,0.103448275862069,0,0.00492610837438424,0.00738916256157635,0.00738916256157635,0.00738916256157635,0,0.482758620689655,0.00738916256157635,0.00246305418719212,0.00246305418719212,0.00738916256157635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1284,0.00455927051671732,0.00151975683890578,0.0060790273556231,0.0060790273556231,0.00151975683890578,0.00303951367781155,0,0.00759878419452888,0.00151975683890578,0.124620060790274,0,0.0121580547112462,0,0,0.00303951367781155,0,0.0060790273556231,0.0775075987841945,0.0303951367781155,0.117021276595745,0.00303951367781155,0.00151975683890578,0.0182370820668693,0.013677811550152,0.0121580547112462,0,0.537993920972644,0,0,0.00455927051671732,0.00151975683890578,0.00455927051671732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1926,0,0.00444444444444444,0.0133333333333333,0.00666666666666667,0.00222222222222222,0.00222222222222222,0,0.00222222222222222,0,0.115555555555556,0,0.02,0,0,0.00222222222222222,0,0.00222222222222222,0.0711111111111111,0,0.211111111111111,0,0,0.00222222222222222,0.00888888888888889,0.00222222222222222,0,0.526666666666667,0,0.00222222222222222,0.00222222222222222,0,0,0.00222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2568,0,0,0.00200803212851406,0.0120481927710843,0,0.00401606425702811,0,0.00803212851405622,0,0.0963855421686747,0,0.00602409638554217,0,0,0.00200803212851406,0,0,0.0943775100401606,0.0120481927710843,0.154618473895582,0,0.00401606425702811,0.0120481927710843,0.0200803212851406,0.0240963855421687,0.0160642570281124,0.506024096385542,0,0,0.00602409638554217,0.00200803212851406,0.00803212851405622,0,0.00401606425702811,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,0
100,3210,0,0.00586510263929619,0.0102639296187683,0.00586510263929619,0,0.00293255131964809,0,0.0161290322580645,0,0.0777126099706745,0,0.0146627565982405,0,0,0.00146627565982405,0,0,0.0571847507331378,0.00586510263929619,0.131964809384164,0,0.00879765395894428,0.00586510263929619,0.00146627565982405,0.00146627565982405,0,0.642228739002933,0.00146627565982405,0.00146627565982405,0.00586510263929619,0,0,0,0,0,0.00146627565982405,0,0,0,0,0,0,0,0,0,0
120,3852,0,0,0.00428265524625268,0.012847965738758,0.00214132762312634,0.00214132762312634,0,0.019271948608137,0.00642398286937901,0.0492505353319058,0.00856531049250535,0.00428265524625268,0,0,0.00428265524625268,0,0,0.0985010706638116,0.0235546038543897,0.124197002141328,0,0.0107066381156317,0.00214132762312634,0.00428265524625268,0.00428265524625268,0.0107066381156317,0.595289079229122,0,0,0.00214132762312634,0,0.00856531049250535,0,0.00214132762312634,0,0,0,0,0,0,0,0,0,0,0,0
140,4494,0.00316455696202532,0.00158227848101266,0.0126582278481013,0.00949367088607595,0.00158227848101266,0,0,0.0126582278481013,0,0.106012658227848,0,0.00474683544303797,0,0.00158227848101266,0.00632911392405063,0,0,0.0522151898734177,0.0110759493670886,0.155063291139241,0,0.00632911392405063,0.00316455696202532,0.00316455696202532,0.00316455696202532,0,0.591772151898734,0.00316455696202532,0,0.0079113924050633,0.00158227848101266,0,0,0,0,0,0.00158227848101266,0,0,0,0,0,0,0,0,0
160,5136,0.00211864406779661,0.00423728813559322,0,0.0127118644067797,0,0.00211864406779661,0,0.0127118644067797,0.00211864406779661,0.108050847457627,0.00211864406779661,0.0105932203389831,0,0,0,0,0,0.0614406779661017,0.0233050847457627,0.135593220338983,0,0.00635593220338983,0.00211864406779661,0.00211864406779661,0.00635593220338983,0.00847457627118644,0.580508474576271,0.00211864406779661,0,0.00211864406779661,0.00423728813559322,0.00423728813559322,0.00211864406779661,0,0,0,0,0.00211864406779661,0,0,0,0,0,0,0,0
180,5778,0.0111524163568773,0,0.00929368029739777,0.00743494423791822,0,0,0,0.0204460966542751,0,0.0892193308550186,0.00185873605947955,0.00371747211895911,0,0,0.00557620817843866,0,0,0.0520446096654275,0.0185873605947955,0.16542750929368,0,0.00371747211895911,0.00371747211895911,0.00557620817843866,0.00371747211895911,0,0.5817843866171,0,0.00185873605947955,0.00557620817843866,0.00371747211895911,0.00557620817843866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
