"sample.depths","sample.ages","Pinus","Picea","Tsuga","Betula","Carya","Castanea","Quercus","Fagus","Juglans","Ulmus","Liquidambar","Tilia","Acer","Alnus","Salix","Fraxinus","Celtis","Cyperaceae","Poaceae","Ambrosia","Chenopodiaceae","Asteraceae.subf..Asteroideae.undiff.","Plantago","Rumex","Rosaceae","Asteraceae.undiff.","Podophyllum"
0,-50,0.09009009009009,0,0.006006006006006,0.0990990990990991,0.024024024024024,0,0.189189189189189,0.006006006006006,0.024024024024024,0.012012012012012,0.012012012012012,0,0.009009009009009,0.009009009009009,0.012012012012012,0,0,0.012012012012012,0.321321321321321,0.0810810810810811,0.033033033033033,0.006006006006006,0.033033033033033,0.021021021021021,0,0,0
4,-43,0.117088607594937,0.00316455696202532,0.0189873417721519,0.120253164556962,0.0126582278481013,0,0.20253164556962,0.0158227848101266,0.00316455696202532,0.0158227848101266,0.00949367088607595,0,0.00316455696202532,0.00949367088607595,0.0158227848101266,0,0,0.00632911392405063,0.35126582278481,0.0443037974683544,0.0253164556962025,0.0189873417721519,0,0.00316455696202532,0.00316455696202532,0,0
8,-35,0.126684636118598,0,0.00539083557951483,0.129380053908356,0.0269541778975741,0.00269541778975741,0.183288409703504,0.0188679245283019,0.0107816711590297,0.0161725067385445,0.00539083557951483,0,0.00539083557951483,0.0296495956873315,0.00808625336927224,0,0.00269541778975741,0.00539083557951483,0.272237196765499,0.0862533692722372,0.0296495956873315,0.00808625336927224,0.0188679245283019,0.00269541778975741,0,0.00539083557951483,0
12,-27,0.11744966442953,0,0.00671140939597315,0.0939597315436242,0.0302013422818792,0.00335570469798658,0.221476510067114,0.0100671140939597,0,0,0.0167785234899329,0.0134228187919463,0.00335570469798658,0.0201342281879195,0,0,0,0.00671140939597315,0.318791946308725,0.0604026845637584,0.0369127516778524,0.0134228187919463,0.0134228187919463,0.0134228187919463,0,0,0
16,-19,0.13961038961039,0,0.00974025974025974,0.107142857142857,0.0454545454545455,0,0.181818181818182,0.0194805194805195,0.00974025974025974,0.0064935064935065,0.025974025974026,0.0064935064935065,0.00324675324675325,0.0162337662337662,0.0064935064935065,0,0,0,0.243506493506494,0.0714285714285714,0.038961038961039,0.012987012987013,0.0194805194805195,0.025974025974026,0,0.00974025974025974,0
20,-10,0.135761589403974,0,0.0165562913907285,0.105960264900662,0.0364238410596026,0.00662251655629139,0.294701986754967,0.00993377483443709,0,0,0.0033112582781457,0,0.00662251655629139,0.00662251655629139,0.00993377483443709,0,0,0.0033112582781457,0.188741721854305,0.102649006622517,0.0463576158940397,0.00993377483443709,0.0165562913907285,0,0,0,0
24,-1,0.120805369127517,0,0.0201342281879195,0.110738255033557,0.0268456375838926,0.0167785234899329,0.187919463087248,0.0402684563758389,0,0,0.0100671140939597,0.00335570469798658,0.0134228187919463,0.0167785234899329,0,0.00335570469798658,0,0.00671140939597315,0.228187919463087,0.114093959731544,0.0503355704697987,0.00671140939597315,0.0134228187919463,0.00671140939597315,0,0.00335570469798658,0
28,8,0.141447368421053,0.00328947368421053,0.00986842105263158,0.0921052631578947,0.0427631578947368,0.00657894736842105,0.223684210526316,0.0131578947368421,0.0164473684210526,0.0131578947368421,0.00986842105263158,0,0.00328947368421053,0.0197368421052632,0.00986842105263158,0,0,0.0230263157894737,0.118421052631579,0.184210526315789,0.0493421052631579,0.00986842105263158,0.00986842105263158,0,0,0,0
32,18,0.159663865546218,0,0.0168067226890756,0.0952380952380952,0.0504201680672269,0.0196078431372549,0.173669467787115,0.0224089635854342,0.00280112044817927,0.00280112044817927,0.00840336134453781,0.00280112044817927,0.0140056022408964,0.0112044817927171,0.0140056022408964,0,0.00280112044817927,0.00560224089635854,0.162464985994398,0.137254901960784,0.0532212885154062,0.00280112044817927,0.0140056022408964,0.0196078431372549,0,0.00840336134453781,0
36,29,0.134426229508197,0,0.0229508196721311,0.0819672131147541,0.0360655737704918,0.00655737704918033,0.140983606557377,0.00327868852459016,0.0131147540983607,0.0163934426229508,0.0131147540983607,0.00327868852459016,0.0131147540983607,0.00655737704918033,0,0,0,0,0.124590163934426,0.255737704918033,0.0721311475409836,0.0098360655737705,0.0262295081967213,0.019672131147541,0,0,0
40,41,0.13953488372093,0,0.0232558139534884,0.0664451827242525,0.0664451827242525,0,0.136212624584718,0.00996677740863787,0.0166112956810631,0,0.00332225913621262,0.00332225913621262,0.0132890365448505,0.00332225913621262,0.00664451827242525,0,0,0.00664451827242525,0.0631229235880399,0.325581395348837,0.0897009966777409,0,0,0,0,0.026578073089701,0
44,54,0.180064308681672,0.00321543408360129,0.0321543408360129,0.0739549839228296,0.0418006430868167,0.00321543408360129,0.160771704180064,0.0160771704180064,0.00321543408360129,0.00643086816720257,0.00321543408360129,0.00643086816720257,0,0.00964630225080386,0,0.00321543408360129,0,0,0.135048231511254,0.221864951768489,0.0546623794212219,0,0,0.0192926045016077,0,0.0257234726688103,0
