"sample.depths","sample.ages","upland.sum","Acer.rubrum","Artemisia","Betula","Carya","Caryophyllaceae","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Ilex","Asteraceae.subf..Cichorioideae","Nyssa","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rubus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Ambrosia","Alnus.viridis","Rosaceae.undiff.","Myrica.Comptonia.peregrina","Amaranthaceae","Caprifoliaceae","Brassicaceae","Plantago","cf..Hypericum","Abies","Acer.undiff.","Ostrya.Carpinus","Rhus","Scrophulariaceae","Juglans.cinerea","Zea.mays","Fabaceae","Iva","Fraxinus.pennsylvanica","Cupressaceae.Taxaceae","Solanum","Castanea","Fraxinus.nigra","Platanus","Tilia","Alnus.incana","Helianthemum","Hudsonia","Betulaceae.Myricaceae.undiff.","Liquidambar","Polygonaceae.undiff.","Onagraceae","Lamiaceae","Rhamnus","Juglans.nigra","Ranunculaceae.undiff."
335,5073,359,0,0,14,2,0,6,1,6,39,2,2,0,10,0,1,2,14,176,0,0,0,0,7,1,2,0,0,4,26,23,3,0,0,0,1,0,13,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
345,5281,409.5,0,1,32,0,2,7,3,0,55,3,3,0,4,2,2,1,27.5,201,0,0,0,0,8,0,3,0,2,3,17,21,0,0,0,0,0,0,4,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
355,5489,365.5,0,0,20,0,1,4,2,3,24,4,4,0,4,0,1,0,20.5,184,0,0,1,0,7,1,4,0,3,3,34,26,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0
365,5735,402.5,0,1,12,0,0,10,3,7,15,7,4,0,6,0,4,3,33.5,199,0,0,0,0,5,0,5,0,0,2,35,23,0,0,0,0,0,0,7,5,0,0,0,0,0,2,0,0,0,0,6,4,1,0,0,0,2,0,0,0,0,0,1,0
375,6018,354.5,0,1,16,3,0,4,1,7,17,13,7,0,3,0,3,0,29.5,159,0,0,0,0,3,1,7,0,2,1,23,31,0,0,0,0,0,0,11,1,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0
385,6302,456,0,0,23,3,0,6,7,0,7,28,2,0,10,0,7,0,105,176,0,0,0,0,10,2,7,4,3,4,1,31,1,0,0,0,0,0,9,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
405,7083,521.5,2,2,16,1,0,16,13,2,4,34,0,0,4,1,3,4,140.5,195,0,0,1,0,3,8,4,0,0,12,1,29,3,0,0,0,0,0,7,9,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
425,7870,432.5,0,0,21,0,0,12,10,16,0,52,1,0,0,0.5,5,2,171,84,0,0,0,0,2,14,2,0,5,10,0,20,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
435,8263,538.5,0,0,35,1,1,11,8,28,0,37,1,0,1,2.5,5,11,245.5,68,0,0,1,0,6,21,0,0,0,3,0,36,1,0,0,0,0,0.5,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
445,8656,424,0,0,54,0,0,13,12,32,0,26,4,0,0,8,2,5,145,54,0,0,0,0,0,14,5,0,0,9,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
453,8971,488,0,1,61,0,0,27,16,65,0,30,0,0,1,13.5,7,17,121.5,49,0,1,0,0,4,8,5,0,3,10,1,35,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
465,9443,467.5,0,0,52,0,0,11,5,29,0,23,0,0,3,35,14,19,193.5,34,0,0,0,0,5,5,2,0,1,6,0,22,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
475,9836,326,0,0,17,0,0,8,6,4,0,15,0,0,0,38,10,11,163.5,9,0,0,1,0,2,4,1,0,0,15,0,17,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
485,10230,373,0,0,27,0,0,6,8,2,0,4,0,0,0,66.5,30,14,159,9,0,0,0,0,2,2,0,0,0,18,0,20,0,0,0,0,0,2.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
495,10623,338,0,1,7,0,0,1,8,0,0,3,0,0,0,74.5,40,8,163,5,0,0,0,1,6,0,0,0,1,3,0,10,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
505,11017,340.5,0,0,6,0,0,2,10,1,1,3,0,0,0,79,24,12,123.5,14,0,0,0,0,0,4,0,0,0,25,1,27,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
520,11967,370,0,1,1,1,0,4,21,6,0,14,2,0,0,54,17,0,188.5,8,0,0,0,0,0,24,1,0,0,13,0,3,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0
522,12333,415.5,0,0,3,0,0,8,39,12,1,38,0,0,0,67,17,0,177.5,13,0,0,0,0,0,22,1,0,0,4,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
535,14715,450.5,0,1,8,0,0,17,77,9,1,36,0,0,0,58,6,0,133.5,19,0,0,0,0,0,46,0,0,0,3,0,17,0,0,0,0,0,2,0,4,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0
545,16548,382.5,0,23,30,0,1,6,20,29,0,41,1,0,0,36,1,0,36.5,30,0,0,7,0,0,20,0,0,0,6,2,70,0,0,4,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
548,NA,431,0,21,22,0,2,3,81,38,0,49,0,0,0,33,0,0,57,17,0,0,4,0,0,12,3,0,0,3,5,69,0,0,1,0,0,0,0,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
552,NA,381,0,8,11,0,0,3,78,38,0,60,0,0,0,54,0,0,78,4,0,0,5,0,0,19,1,0,0,3,1,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
