"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nemopanthus.mucronatus","Nuphar","Nymphaea","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Rubiaceae","Salix","Saxifragaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
10,498,10,4,1,1,0,13,7,0,0,0,0,0,378,0,0,0,0,0,0,1,0,0,11,2,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,11,12,2,20,44,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,1,0,2,0,0
30,1494,7,3,0,0,1,11,3,0,0,1,0,0,323,0,0,0,0,0,0,0,0,0,11,1,1,0,0,2,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,12,12,0,18,50,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,1,3,0,2,0,0
40,1992,9,0,0,5,2,7,3,0,0,1,0,0,337,0,0,0,0,0,0,1,0,0,11,0,0,1,0,5,1,3,19,0,0,0,0,0,0,1,0,0,0,0,0,14,13,1,21,52,0,0,0,0,1,5,0,0,1,1,0,0,1,0,0,0,3,1,0,4,0,0
60,2989,14,0,0,4,0,9,0,0,0,1,0,0,381,1,0,0,0,0,0,1,0,0,7,3,0,0,0,3,0,3,7,0,0,0,0,0,1,0,0,0,0,0,0,12,7,0,39,77,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0
80,3985,5,3,0,5,1,21,2,0,0,1,1,0,369,0,0,1,0,0,0,2,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,29,50,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,1,6,1,0,1,0
100,4981,5,2,2,3,0,22,0,0,2,0,0,0,420,0,0,0,0,0,0,1,0,0,7,4,3,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,16,10,1,59,77,1,0,0,0,0,14,0,2,0,0,0,0,2,6,0,0,0,3,0,2,0,0
120,5758,3,2,0,1,3,17,5,0,2,0,1,0,401,1,0,2,2,0,3,1,0,0,1,4,0,2,0,1,0,0,1,4,0,0,1,0,1,0,1,0,0,0,0,9,11,6,55,89,1,0,0,0,0,5,0,1,1,0,0,0,1,7,0,0,12,2,0,4,0,0
140,6404,9,1,1,4,0,31,7,1,0,2,0,0,287,0,0,0,1,0,5,0,0,0,1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,1,41,80,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,10,7,1,6,0,0
160,7049,9,0,1,2,0,39,20,0,1,2,0,0,273,0,0,0,0,0,4,3,0,0,2,8,3,0,0,1,0,1,0,4,2,1,2,0,0,0,0,0,2,0,0,10,9,3,60,118,0,0,0,2,0,23,0,0,0,2,0,0,0,11,0,0,2,4,0,2,1,0
180,7695,8,0,0,1,1,1,6,0,0,1,0,0,227,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,7,8,4,29,64,1,0,0,3,0,10,0,0,0,0,0,0,0,4,0,0,5,4,0,2,0,0
190,8020,11,0,1,0,4,9,13,0,2,3,0,0,283,0,0,0,1,0,2,1,0,0,1,5,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,11,13,3,19,73,1,0,1,8,0,14,0,0,0,0,0,0,1,9,1,0,4,8,0,5,0,0
200,8384,10,0,0,0,0,9,26,0,1,2,0,0,249,0,0,0,1,0,2,4,0,0,0,7,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,18,15,5,40,53,3,0,1,7,0,11,0,0,0,1,0,0,0,4,0,0,1,6,0,3,3,0
210,8749,10,0,0,0,0,8,35,0,1,0,0,0,273,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,1,0,1,3,0,0,0,0,0,1,0,0,7,10,4,17,40,0,0,0,12,0,4,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,1
220,9113,25,0,1,0,0,5,67,0,0,0,0,0,450,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,3,3,1,3,0,0,0,0,0,0,0,1,11,18,10,25,94,3,0,2,13,0,12,0,0,0,4,0,0,0,3,0,0,2,4,0,8,2,0
230,9477,14,0,0,0,1,0,68,0,2,1,0,0,215,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,12,9,2,18,41,0,0,3,24,0,11,0,0,0,1,0,0,0,1,0,0,0,4,1,12,1,0
240,9842,2,0,0,0,0,22,336,1,1,1,0,0,128,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,7,29,6,8,34,0,0,0,13,0,11,0,0,0,4,0,0,0,0,0,0,0,1,0,5,1,0
250,10206,0,0,0,0,0,2,372,2,0,4,2,0,73,0,0,0,1,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,35,39,13,6,8,0,1,2,22,0,9,0,1,0,1,0,0,0,0,0,0,2,3,0,0,1,0
255,NA,2,0,0,0,0,0,85,0,1,10,1,1,136,0,0,1,0,0,2,1,0,0,0,0,0,0,9,0,0,0,0,0,6,3,11,0,0,0,0,0,0,1,2,36,43,15,12,26,1,0,0,4,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
260,NA,0,0,0,0,0,2,17,1,1,7,0,0,456,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,5,0,4,0,0,0,0,0,0,0,0,7,6,12,17,7,7,0,3,11,0,15,0,0,0,23,0,2,0,0,0,0,0,3,0,2,0,0
265,NA,0,0,0,0,0,0,20,1,2,20,6,0,76,0,1,0,0,0,0,53,1,1,0,1,0,0,10,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,1,11,5,31,8,18,36,0,0,1,1,4,3,1,0,44,0,0,0,0,3,0,5,1,1,13,6,0
270,NA,0,0,0,0,0,7,13,2,2,9,3,1,24,0,8,0,0,45,0,52,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,16,5,28,6,5,26,0,0,0,0,7,0,0,0,3,1,0,12,0,1,0,0,3,0,4,1,0
280,NA,0,0,0,0,0,7,19,2,5,37,14,3,44,0,8,0,0,114,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,9,66,7,6,47,0,0,0,0,4,0,1,0,15,1,0,3,0,0,0,6,1,0,2,0,0
300,NA,0,0,0,0,0,4,2,0,1,11,4,2,17,0,1,0,0,0,0,38,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,35,8,84,3,5,46,0,0,0,0,7,0,2,0,39,1,0,1,0,0,0,1,5,0,3,0,0
320,NA,0,0,0,1,0,0,2,1,1,10,1,0,29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,8,62,0,3,7,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,3,0,4,1,0
