"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Acer","Fraxinus","Myrica","Poaceae","Carya","Larix","Pinus.undiff.","Populus","Castanea","Sarcobatus.vermiculatus","Taxus","Cupressaceae","Aquifoliaceae","Platanus","Rosaceae.undiff.","Juglans","Tilia","Liquidambar","Sanguisorba","Shepherdia"
2,152,451,15,33,3,5,3,226,1,2,5,1,4,3,6,53,18,13,5,5,3,3,5,1,6,8,2,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1079,425,19,29,1,1,2,201,0,0,0,0,18,8,2,70,5,23,13,1,0,1,12,0,3,6,3,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,1458,539,30,27,2,1,0,282,0,0,5,0,21,8,16,29,16,40,12,0,0,0,22,2,4,6,2,1,2,2,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0
60,1910,516,14,27,0,0,0,320,0,0,3,0,18,4,2,12,14,26,7,1,0,3,19,2,7,10,5,1,8,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0
80,2374,444,19,28,0,0,2,257,1,0,9,0,13,4,3,13,16,33,4,0,0,1,11,0,6,8,3,3,2,0,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0
100,2839,618,29,30,0,1,0,360,0,2,1,0,44,3,15,16,4,31,8,0,0,1,23,1,4,11,12,1,4,0,2,5,3,1,0,1,5,0,0,0,0,0,0,0,0
120,3246,518,9,29,3,1,1,289,0,1,8,0,14,5,8,7,5,68,10,0,0,2,12,3,6,13,10,5,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
140,3582,444,10,30,0,0,1,242,0,2,2,0,13,3,7,12,9,68,5,0,0,1,2,3,5,8,4,3,3,0,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0
160,3917,471,9,32,5,0,0,268,0,1,4,0,12,5,6,2,2,54,21,0,1,2,4,0,5,3,8,5,6,0,1,7,1,0,0,1,1,0,2,2,1,0,0,0,0
180,4253,557,13,30,3,0,0,347,0,1,3,0,6,4,10,4,14,64,12,0,0,2,4,0,3,6,5,2,2,0,1,12,0,1,0,0,3,0,1,0,1,3,0,0,0
200,4589,571,3,36,3,1,0,355,0,0,5,0,11,5,5,4,30,32,21,0,0,1,4,5,6,8,11,1,1,0,1,12,4,0,0,0,4,0,0,1,0,1,0,0,0
220,5957,537,7,27,13,0,0,292,1,1,2,0,7,6,5,4,17,36,17,0,0,1,56,0,1,14,6,4,2,1,1,7,2,0,0,2,3,0,0,0,2,0,0,0,0
240,7074,508,9,31,9,1,0,249,0,0,5,0,4,3,1,8,44,41,10,0,2,0,44,3,8,8,9,3,3,1,2,4,1,0,0,0,5,0,0,0,0,0,0,0,0
260,8191,446,6,23,14,0,0,174,0,2,8,0,3,5,3,7,36,76,15,0,0,0,24,1,8,11,8,1,0,1,1,13,0,0,1,4,0,0,0,0,0,1,0,0,0
280,9308,521,14,32,12,0,0,144,1,3,7,2,3,6,1,6,53,133,38,0,0,0,4,2,8,24,11,1,3,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0
300,9878,521,16,7,14,2,0,167,0,2,1,0,2,4,5,31,76,93,30,0,1,2,8,0,10,10,11,2,2,0,0,11,5,0,0,0,8,0,0,0,0,0,1,0,0
320,10351,486,22,3,33,1,1,141,1,1,5,0,0,4,8,17,77,90,24,0,2,0,2,1,6,3,5,6,3,0,1,10,8,0,0,7,3,0,0,0,1,0,0,0,0
330,10588,484,35,4,23,0,0,179,0,0,4,0,0,3,3,23,67,76,18,0,2,0,2,2,6,1,7,5,0,0,4,4,10,0,0,2,3,0,1,0,0,0,0,0,0
340,10825,659,34,4,41,2,0,257,0,0,6,0,0,5,14,36,100,49,30,0,3,1,0,1,11,3,8,12,4,0,7,0,30,0,0,0,0,0,0,0,1,0,0,0,0
345,10943,773,48,4,39,0,0,333,2,1,4,0,0,11,8,70,87,60,29,1,4,1,3,1,9,0,3,3,4,1,4,0,42,0,0,0,1,0,0,0,0,0,0,0,0
350,11468,441,46,1,16,0,2,63,0,4,12,0,1,4,13,63,56,31,39,0,2,0,0,3,11,2,7,13,5,1,10,0,30,0,0,0,6,0,0,0,0,0,0,0,0
355,12264,407,2,0,2,1,1,75,1,1,13,0,0,6,6,139,52,24,24,0,8,0,0,1,7,3,6,4,6,2,4,0,15,0,0,0,2,0,0,1,1,0,0,0,0
358,12741,330,6,0,18,0,1,39,0,0,11,0,0,5,7,153,47,9,10,0,3,0,2,3,2,1,0,0,1,0,1,0,7,0,0,0,1,0,0,0,0,0,0,2,1
362,NA,374,1,1,20,1,0,63,0,1,14,2,0,3,0,176,54,4,3,1,8,0,3,1,0,0,0,1,1,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,1
364,NA,423,1,0,32,1,10,180,0,0,20,2,0,9,0,46,44,7,3,0,33,2,1,1,3,0,1,2,7,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0
366,NA,370,0,0,16,2,2,139,0,1,78,0,0,8,2,21,40,1,4,0,34,3,1,3,1,0,0,1,8,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
371,NA,330,1,0,17,0,1,50,0,0,130,1,0,1,1,39,42,2,10,0,14,0,1,4,4,0,0,0,6,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0
