"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Acer.undiff.","Ambrosia.type","Betula","Carya","Castanea","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rhus","Rumex","Salsola","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Myrica","Populus","Poaceae","Plantago","Galium","Ilex","Platanus","Taxus","Thalictrum","Viburnum","Rosaceae","Cephalanthus","Liquidambar","Tilia","Nyssa","Morus","Corylus","Salix","Abies","Apiaceae","Artemisia","Sambucus","Rhamnaceae","Acer.negundo","Larix","Trees.undiff.","Urtica.type","Iva.xanthifolia.type","Cornus","Cannabaceae","Caryophyllaceae","Oxyria.digyna","Brassicaceae","Caprifoliaceae.undiff.","Celtis","Scrophulariaceae"
10,215,0.0115606936416185,0.0115606936416185,0.00578034682080925,0.00192678227360308,0.0443159922928709,0.154142581888247,0.0154142581888247,0.115606936416185,0.00192678227360308,0.00770712909441233,0.0173410404624277,0.00192678227360308,0.0308285163776493,0.0115606936416185,0.00385356454720617,0.00192678227360308,0.00963391136801541,0.00385356454720617,0.0134874759152216,0.00578034682080925,0.00385356454720617,0.00192678227360308,0.0558766859344894,0.28131021194605,0.00192678227360308,0.0308285163776493,0.00192678227360308,0.0269749518304432,0.0134874759152216,0.00963391136801541,0.00192678227360308,0.0269749518304432,0.00192678227360308,0.00770712909441233,0.0616570327552987,0.00192678227360308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,505,0.016728624535316,0.00185873605947955,0,0.00185873605947955,0,0.133828996282528,0.0371747211895911,0.122676579925651,0,0.00557620817843866,0.0260223048327138,0.00185873605947955,0.0613382899628253,0.0148698884758364,0.0223048327137546,0,0.00371747211895911,0.00185873605947955,0.0111524163568773,0.00371747211895911,0.00371747211895911,0.0185873605947955,0.0576208178438662,0.323420074349442,0,0,0,0.050185873605948,0.00185873605947955,0.0241635687732342,0,0.0297397769516729,0.00371747211895911,0,0,0,0.00185873605947955,0.00557620817843866,0.00371747211895911,0.00185873605947955,0.00371747211895911,0.00185873605947955,0.00185873605947955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,790,0.0254777070063694,0,0,0,0,0.125265392781316,0.0339702760084926,0.184713375796178,0,0.00424628450106157,0.0233545647558386,0.00424628450106157,0.0679405520169851,0.0106157112526539,0.00849256900212314,0.00424628450106157,0.00212314225053079,0,0.0148619957537155,0.00424628450106157,0.00212314225053079,0.0106157112526539,0.0509554140127389,0.314225053078556,0.00212314225053079,0,0,0.0636942675159236,0.00212314225053079,0.00424628450106157,0,0.0127388535031847,0,0.00636942675159236,0,0,0,0.00636942675159236,0,0,0.00424628450106157,0,0,0.00212314225053079,0.00212314225053079,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1011,0.0142857142857143,0.00317460317460317,0.00317460317460317,0.00158730158730159,0.00317460317460317,0.13968253968254,0.0412698412698413,0.177777777777778,0,0,0.019047619047619,0,0.0619047619047619,0.0222222222222222,0.00634920634920635,0,0.00158730158730159,0,0.0126984126984127,0.00317460317460317,0.00634920634920635,0.0222222222222222,0.0603174603174603,0.303174603174603,0.00158730158730159,0,0,0.0428571428571429,0.00317460317460317,0.0111111111111111,0,0.019047619047619,0.00317460317460317,0.00158730158730159,0,0,0,0.00158730158730159,0.00158730158730159,0,0.00317460317460317,0.00158730158730159,0.00476190476190476,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1296,0.0224719101123595,0.00449438202247191,0.00224719101123596,0.00224719101123596,0.00224719101123596,0.139325842696629,0.0382022471910112,0.137078651685393,0,0.00674157303370787,0.0337078651685393,0.00449438202247191,0.0404494382022472,0.00898876404494382,0.0134831460674157,0,0,0,0.0134831460674157,0.00674157303370787,0.00224719101123596,0.0112359550561798,0.0359550561797753,0.397752808988764,0,0,0,0.0247191011235955,0,0.00898876404494382,0,0.0247191011235955,0.00449438202247191,0.00224719101123596,0.00224719101123596,0,0,0.00224719101123596,0,0.00224719101123596,0.00224719101123596,0,0,0,0,0,0,0.00224719101123596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1814,0.00684931506849315,0.0045662100456621,0.00228310502283105,0,0,0.207762557077626,0.0319634703196347,0.118721461187215,0,0,0.0570776255707763,0.00228310502283105,0.089041095890411,0.0182648401826484,0.0114155251141553,0.00228310502283105,0.0091324200913242,0.00228310502283105,0.0228310502283105,0.00228310502283105,0.00684931506849315,0.0136986301369863,0.0570776255707763,0.219178082191781,0,0,0,0.045662100456621,0.0045662100456621,0.0159817351598174,0,0.0296803652968037,0,0.00228310502283105,0,0,0,0.00684931506849315,0.00228310502283105,0.00228310502283105,0,0,0,0,0,0.00228310502283105,0,0,0.00228310502283105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2035,0.00829875518672199,0.0020746887966805,0,0.004149377593361,0.0020746887966805,0.149377593360996,0.0352697095435685,0.170124481327801,0,0.00829875518672199,0.045643153526971,0,0.0601659751037344,0.00829875518672199,0.0020746887966805,0,0.00622406639004149,0,0.024896265560166,0.004149377593361,0.00622406639004149,0.016597510373444,0.037344398340249,0.317427385892116,0.0020746887966805,0,0,0.0394190871369295,0.0020746887966805,0.0020746887966805,0,0.024896265560166,0.004149377593361,0.004149377593361,0,0,0,0.0020746887966805,0.0020746887966805,0,0,0.0020746887966805,0,0.004149377593361,0,0,0,0,0,0.0020746887966805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2497,0.00833333333333333,0.00208333333333333,0.00208333333333333,0,0,0.122916666666667,0.0333333333333333,0.133333333333333,0,0.00208333333333333,0.06875,0.00208333333333333,0.0625,0.0145833333333333,0.0208333333333333,0,0.00625,0,0.01875,0,0.00416666666666667,0.0145833333333333,0.05625,0.345833333333333,0.00416666666666667,0,0,0.0166666666666667,0.00208333333333333,0.0166666666666667,0,0.0208333333333333,0.00416666666666667,0.00416666666666667,0,0,0,0.00416666666666667,0,0.00208333333333333,0,0,0,0.00208333333333333,0,0,0,0,0,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,2982,0.0215827338129496,0.00719424460431655,0,0,0,0.0815347721822542,0.0455635491606715,0.0767386091127098,0,0.00479616306954436,0.0503597122302158,0.00239808153477218,0.0815347721822542,0.0239808153477218,0.0167865707434053,0,0.00959232613908873,0,0.0167865707434053,0,0,0.0191846522781775,0.0311750599520384,0.41726618705036,0,0,0,0.0479616306954436,0,0.0119904076738609,0,0.0215827338129496,0,0.00239808153477218,0,0,0,0.00239808153477218,0.00719424460431655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,3231,0.0215982721382289,0.00647948164146868,0.00431965442764579,0,0.00215982721382289,0.0885529157667387,0.0712742980561555,0.00647948164146868,0,0.0107991360691145,0.0431965442764579,0,0.08207343412527,0.00647948164146868,0.0259179265658747,0,0.00215982721382289,0,0.0215982721382289,0.00215982721382289,0.00863930885529158,0.00863930885529158,0.062634989200864,0.408207343412527,0,0,0,0.0388768898488121,0.00431965442764579,0.0151187904967603,0,0.0259179265658747,0.00647948164146868,0.00647948164146868,0.00215982721382289,0,0,0.00215982721382289,0,0,0.00215982721382289,0.00215982721382289,0,0.00431965442764579,0,0.00215982721382289,0,0,0,0,0.00215982721382289,0.00215982721382289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
