"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Fraxinus.americana.type","Fraxinus.nigra","Indeterminable","Juglans.cinerea","Larix","Lycopodium.type","Onagraceae","Ostrya","Picea","Pinus","Poaceae","Pteridium","Quercus","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Tilia","Tsuga","Ulmus","Unknown"
150,NA,0,0,0,0,1,0,1,0,0,1,0,2,11,0,0,0,9,0,0,8,0,0,49,35,8,1,0,0,0,0,0,0,0,0,3,0
190,NA,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,2,0,0,72,19,1,0,1,0,1,0,0,1,0,0,1,0
210,NA,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,1,0,2,0,0,0,48,14,0,0,0,0,0,0,0,0,0,0,0,0
230,NA,0,0,0,0,0,0,0,0,0,0,0,10,1,5,0,0,4,0,6,1,0,0,66,12,3,0,0,0,0,3,0,0,0,0,0,0
250,NA,0,0,0,0,0,0,1,0,0,0,0,6,1,10,0,0,7,0,8,0,0,0,68,10,4,0,0,0,0,1,0,0,0,0,1,0
270,10475,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,1,0,4,0,0,0,73,12,0,0,2,0,1,0,0,0,0,0,0,0
290,10683,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,4,0,0,1,65,16,2,0,2,0,0,2,0,1,0,0,1,0
310,10908,1,0,0,0,0,0,3,0,0,0,0,6,2,0,0,0,5,0,6,0,1,0,68,8,0,0,3,2,0,1,0,0,0,0,1,1
330,11234,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,1,0,2,0,0,0,62,19,3,0,0,0,0,0,0,0,0,1,0,1
350,11560,0,0,0,0,1,2,5,0,1,0,0,7,2,0,0,0,4,0,1,0,1,0,68,9,2,0,0,0,0,2,0,1,1,0,0,2
370,11886,0,0,0,0,1,0,1,1,0,0,0,7,1,0,0,0,1,0,3,0,0,0,73,8,2,0,1,0,0,2,0,1,0,0,1,2
390,12218,1,0,1,0,0,0,8,1,0,1,0,22,0,5,0,0,1,0,2,0,0,0,51,4,7,0,2,0,0,0,1,0,0,0,0,0
400,12386,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,3,0,0,0,1,0,70,11,0,0,2,0,0,1,0,0,0,0,0,0
410,12554,0,0,0,0,0,0,0,0,0,0,1,23,4,4,0,0,1,0,1,0,0,0,60,10,2,0,0,0,0,2,0,0,0,0,1,1
440,NA,0,2,0,1,0,0,0,0,2,1,0,11,2,0,2,1,0,1,0,0,0,0,62,9,0,0,8,0,0,0,0,0,0,0,0,0
