"sample.depths","sample.ages","Cupressaceae","Picea","Abies","Larix","Tsuga","Pinus","Betula","Populus","Fraxinus.nigra","Fraxinus.americana","Quercus","Ulmus","Ostrya.Carpinus","Salix","Acer.saccharum","Acer.rubrum","Tilia","Juglans.nigra","Juglans.cinerea","Carya","Platanus","Celtis","Fagus","Castanea","Liquidambar","Sambucus.racemosa","Shepherdia","Alnus","Corylus","Myrica.Comptonia.peregrina","Ericaceae","Clethra","Thalictrum","Viola","Lamiaceae","Saxifraga","Caryophyllaceae","Hypericum","Menyanthes.trifoliata","Cornus.canadensis","Poaceae","Artemisia","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Cyperaceae","Rumex","Plantago","Rosaceae.undiff.","Rubus","Sanguisorba.canadensis","Epilobium","Ranunculus.flabellaris","Brassicaceae","Chenopodiaceae","Typha","Sparganium","Nuphar","Equisetum","Pteridium","Dryopteris","Osmunda","Polypodiaceae","Spore..monolete.","Huperzia.lucidula","Lycopodium.clavatum","Lycopodium.annotinum","Lycopodium.undiff.","Sphagnum","Nyssa","Ilex.Nemopanthus","Viburnum"
1,-14,2,9,0,0,17,70,69,0,0,4,67,6,1,1,1,16,0,0,2,5,1,1,4,1,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,0,6,3,21,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,1,34,8,1
3,50,2,10,0,2,15,63,81,5,0,6,74,1,0,2,4,44,2,0,0,5,0,0,7,1,0,0,0,2,4,3,3,0,1,0,2,0,0,0,0,0,10,0,16,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,42,15,0
5,114,9,12,1,0,22,53,90,0,0,5,65,11,11,2,5,17,0,0,0,3,0,0,5,3,0,0,0,1,3,17,5,0,0,0,0,0,0,0,0,0,17,1,47,0,1,2,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,30,0,3,0,5,0,1,7,44,53,0
7,179,1,9,0,0,5,31,141,5,0,3,40,4,2,0,1,18,0,0,1,2,2,0,4,3,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,8,2,36,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,25,0,1,0,1,0,0,5,23,56,0
10,277,2,15,2,0,9,34,86,2,0,3,26,1,0,2,1,21,0,0,3,2,2,0,4,22,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,41,2,56,2,0,4,20,0,1,0,0,0,0,0,1,0,3,0,0,2,0,35,0,1,3,0,3,0,14,15,79,0
13,376,7,23,0,1,9,52,125,8,0,0,37,1,0,0,1,22,0,0,0,2,4,0,11,31,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,32,1,43,3,0,3,23,0,4,0,0,0,0,0,0,2,0,0,0,1,0,89,0,2,0,1,0,0,20,19,87,3
15,444,9,9,0,0,13,33,51,0,0,3,38,0,5,1,0,9,0,0,2,1,0,0,12,12,0,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,12,2,24,0,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,75,0,11,4,0,0,0,20,16,67,0
17,513,5,19,0,0,21,91,153,6,0,8,88,3,4,0,1,11,0,0,0,2,0,0,39,36,0,0,0,2,5,2,11,0,0,0,0,0,0,0,0,0,4,0,3,1,1,1,0,1,26,0,0,0,0,0,0,0,0,0,1,9,0,107,0,1,0,0,0,0,12,18,109,19
20,619,8,21,0,1,44,44,81,3,0,6,75,0,2,3,2,14,0,0,0,6,0,0,35,4,0,0,0,1,10,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,7,2,103,0,2,0,0,0,1,49,13,75,28
22,692,12,46,0,0,60,60,173,13,0,8,78,3,3,0,0,17,1,0,0,5,1,0,95,14,1,0,0,2,5,0,6,0,1,0,0,0,0,1,0,0,4,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7,0,150,0,1,0,0,3,0,22,15,100,7
26,843,2,28,0,0,38,64,139,6,0,4,64,3,2,3,1,9,0,0,0,2,0,0,88,10,0,0,0,4,3,2,2,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,146,0,1,0,0,0,0,14,25,40,11
30,1002,0,10,0,0,28,14,40,0,0,0,23,0,4,0,1,2,0,0,0,3,0,0,21,5,0,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,1,0,0,0,0,9,16,14,0
33,1128,0,8,0,1,41,54,124,8,0,10,81,4,1,0,5,8,1,0,0,5,1,0,76,19,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,1,0,0,0,0,42,31,21,2
37,1303,4,10,0,1,53,99,165,4,0,6,98,5,5,0,3,24,2,0,0,4,0,0,115,9,0,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,214,0,2,0,0,0,0,56,64,62,2
40,1439,3,7,0,5,78,91,73,7,0,4,64,5,1,1,1,4,0,0,1,3,0,0,74,6,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,260,0,1,0,0,0,0,28,9,17,2
42,1532,5,10,0,2,55,171,100,7,0,4,79,5,2,0,2,8,2,0,0,8,0,0,111,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,411,0,1,0,0,0,0,19,17,55,1
45,1674,0,6,0,1,31,47,35,4,0,0,29,0,0,0,1,3,0,0,0,1,0,0,32,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,123,0,1,0,0,0,1,7,9,18,1
47,1771,1,8,0,1,29,76,70,4,0,6,94,3,2,0,2,14,3,0,0,3,1,0,77,6,1,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,242,0,1,0,0,1,0,31,26,23,1
60,2418,1,6,0,0,24,27,35,0,0,3,29,1,7,0,0,4,0,0,0,7,0,0,44,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,3,1,0,0,0,13,1,0,0
70,2922,1,2,0,0,32,107,56,3,0,2,120,4,0,2,0,3,0,0,0,2,0,0,31,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,171,0,0,0,0,0,0,21,30,46,0
80,3411,0,0,0,0,13,48,24,0,0,3,69,1,2,1,0,3,0,0,0,7,0,0,58,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,2,26,2,0
90,3889,1,0,0,0,34,50,57,1,0,3,128,1,2,1,2,19,1,0,1,4,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,8,23,0,0
95,4129,1,1,0,1,30,57,82,7,0,7,96,3,0,2,0,7,0,0,2,3,0,0,73,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,412,0,3,0,0,0,0,44,37,12,0
