"sample.depths","sample.ages","upland.sum","Acer.undiff.","Alnus.undiff.","Ambrosia.type","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.undiff.","Juglans.cinerea","Ostrya.Carpinus","Pinus.undiff.","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Juniperus.Thuja","Populus","Poaceae","Artemisia","Fraxinus.nigra.type","Larix","Platanus","Brassicaceae","Corylus","Ilex","Asteraceae.subf..Asteroideae.undiff.","Iva.annua","Acer.saccharum.type","Castanea","Juglans.nigra","Magnolia","Picea","Thalictrum","Apiaceae","Alnus.incana","Pinus.strobus","Shepherdia.canadensis","Liquidambar","Impatiens","Asteraceae.subf..Cichorioideae","Nyssa","Lamiaceae","Plantago","Rosaceae","Sarcobatus.vermiculatus","Celtis","Ericales","Taxus","Ephedra","Myrica","Viburnum","Ilex.Nemopanthus.undiff.","Alnus.viridis","Cephalanthus","Abies","Cornus","Caryophyllaceae","Rubiaceae.undiff."
806,-29,358,15,1,19,19,4,1,9,19,6,1,22,50,120,5,6,2,9,26,4,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,24,370,18,2,34,17,0,1,1,17,4,2,23,57,119,9,1,1,8,29,1,0,17,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,80,346,16,3,14,23,6,1,7,24,4,0,19,41,120,5,2,3,4,25,5,1,13,0,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,136,392,17,1,6,22,6,5,4,30,6,4,26,45,110,5,1,2,7,33,6,1,24,2,6,16,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,315,1010,11,0,6,48,16,1,5,75,13,4,67,71,378,4,4,2,26,81,16,10,5,8,31,6,22,0,2,0,1,0,23,2,1,1,2,2,1,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,512,906,0,0,8,40,16,1,8,67,25,1,51,115,361,1,2,4,20,74,6,2,12,2,11,7,8,0,0,0,2,0,37,4,0,0,2,1,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,625,938,4,0,6,52,28,0,16,81,12,7,48,93,326,0,5,5,24,75,10,1,5,1,23,1,13,0,1,0,2,0,34,2,0,0,1,0,0,5,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,753,1013,8,0,6,65,29,1,16,94,14,6,56,46,308,0,1,3,27,117,8,12,7,3,34,7,16,0,1,0,1,0,38,0,2,2,1,1,0,10,63,0,0,1,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,882,931,0,0,6,50,39,0,6,92,14,3,37,55,254,0,4,10,27,125,6,4,8,6,53,6,19,0,1,0,5,0,54,2,0,0,0,0,0,6,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
914,1011,1169,33,0,3,84,40,2,12,188,20,10,69,37,272,0,1,11,28,131,7,5,11,3,57,11,18,0,0,0,1,0,74,1,1,0,1,0,0,5,28,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,1139,951,10,0,1,41,24,0,4,178,21,10,64,38,254,0,0,13,21,89,4,2,2,1,35,20,11,0,1,0,1,0,78,8,0,0,0,0,0,3,15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
928,1236,1018,10,0,0,52,57,0,11,251,20,10,69,27,174,0,1,13,22,100,2,7,2,4,33,33,11,0,1,0,8,0,87,2,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,1396,785,3,0,1,53,31,0,13,191,30,6,37,39,151,0,1,6,18,75,8,3,5,0,17,12,5,1,0,0,0,0,62,2,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,1595,1010,13,0,6,50,25,2,12,265,24,8,50,49,210,0,4,17,18,105,5,2,2,3,23,16,12,0,1,0,2,0,61,4,2,0,1,0,0,4,11,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
954,1794,978,5,0,0,46,22,1,17,219,34,8,46,48,228,0,0,10,23,117,5,1,0,2,25,10,14,0,1,0,0,0,78,3,0,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
962,1993,1078,6,0,0,54,42,0,14,216,38,9,59,48,317,0,0,13,17,112,2,6,0,1,29,1,12,1,0,0,1,0,72,0,0,0,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,2192,967,12,0,1,69,35,3,10,233,37,8,57,33,241,0,5,20,15,3,2,2,1,4,37,14,20,0,1,0,0,0,88,2,0,0,2,0,0,4,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
978,2391,1000,5,0,1,37,39,0,11,302,30,6,42,29,183,0,1,12,12,92,10,2,2,0,47,10,7,0,0,0,0,0,83,1,1,0,0,0,0,5,25,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
986,2590,1022,4,0,4,74,29,0,11,278,38,8,37,36,177,0,6,18,17,97,7,2,2,1,37,10,13,0,1,0,1,0,99,1,0,0,0,0,0,2,9,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
996,2816,966,7,0,1,50,20,1,15,242,37,16,50,61,160,0,3,17,19,119,3,0,5,1,18,4,8,0,1,0,5,0,86,1,0,0,2,0,0,3,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1002,2898,1001,12,0,2,45,40,4,30,233,30,9,61,22,200,0,2,20,23,128,3,2,0,0,30,1,8,1,2,0,1,0,67,1,0,0,1,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
1010,3008,967,24,0,2,63,22,0,4,262,29,5,47,21,184,0,1,14,10,93,10,5,4,3,54,4,21,0,0,0,1,0,72,0,1,0,1,0,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1018,3118,946,7,0,3,65,36,1,15,266,41,15,39,33,160,0,1,13,15,87,6,0,1,3,36,4,12,0,1,0,0,0,69,2,0,0,3,1,0,4,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1026,3227,885,7,0,1,46,37,2,13,199,30,3,44,35,230,0,4,23,14,78,3,0,5,5,20,0,17,2,0,0,1,0,49,1,0,0,2,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
