"sample.depths","sample.ages","Acer.rubrum","Alnus","Carya","Casuarina","Cephalanthus.occidentalis","Citrus","Clematis.type","Conocarpus","Cornus","Diospyros","Ficus.aurea","Fraxinus.caroliniana","Ilex","Juglandaceae.undiff.","Magnolia.virginiana","Myrica.cerifera","Ostrya","Arecaceae","Picea","Pinus.elliottii","Psychotria","Quercus","Myrsine.cubana","Rhamnaceae","Rhizophora.mangle","Salix.caroliniana.type","Sideroxylon","Taxodium","Trema.micrantha","Ulmus","Vitis","Zanthoxylum.fagara","Amaranthaceae","Salicornia.type","Chenopodium.album.type","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Iva.frutescens","Anacardiaceae","Apiaceae","Brassicaceae","Euphorbiaceae","Fabaceae.undiff.","Crotalaria.type","Hippocratea.type","Hypericum","Lamiaceae","Polygalaceae","Polygonum","Rumex","Sabatia.type","Solanaceae","Urticaceae","Verbenaceae","Waltheria.indica","Cerealia","Cyperaceae.undiff.","Vaccinium.type","Poaceae.undiff."
1.5,-48,0.00641025641025641,0,0,0,0,0,0,0.00320512820512821,0,0,0,0.0352564102564103,0,0,0,0.016025641025641,0.00320512820512821,0,0,0.0256410256410256,0,0.0192307692307692,0,0,0,0.0128205128205128,0,0.833333333333333,0,0,0,0,0.0256410256410256,0.00961538461538462,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641
5,-47,0.00332225913621262,0,0,0,0.00332225913621262,0,0,0,0,0,0,0.0166112956810631,0,0,0,0.00664451827242525,0,0,0.00664451827242525,0.053156146179402,0,0.0830564784053156,0,0.00332225913621262,0,0.00996677740863787,0.00332225913621262,0.724252491694352,0,0,0.00332225913621262,0,0.0332225913621262,0.00664451827242525,0,0.00996677740863787,0,0,0,0,0,0,0,0,0,0,0,0.00332225913621262,0,0,0,0,0.00664451827242525,0,0,0,0,0.00996677740863787,0,0.0132890365448505
8.5,-43,0,0,0,0,0,0,0,0,0,0,0,0.0216606498194946,0,0,0,0,0,0,0,0.0036101083032491,0,0.0180505415162455,0,0.0036101083032491,0,0.0144404332129964,0,0.895306859205776,0,0,0,0,0.0144404332129964,0,0.0036101083032491,0.0108303249097473,0,0,0,0,0,0,0,0.0036101083032491,0,0,0,0,0,0,0,0,0.0036101083032491,0,0,0,0.0036101083032491,0,0,0.0036101083032491
12,-35,0.00389105058365759,0,0,0,0.00389105058365759,0,0,0.00389105058365759,0,0,0,0,0,0,0,0.0116731517509728,0,0.00778210116731518,0,0.0272373540856031,0,0.0466926070038911,0.00389105058365759,0,0,0.00389105058365759,0,0.824902723735409,0,0,0,0,0.0311284046692607,0,0,0.0116731517509728,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116731517509728,0,0
17,-13,0.00719424460431655,0,0,0,0,0,0,0,0,0,0,0.00359712230215827,0,0,0,0,0,0,0,0.0179856115107914,0,0.00719424460431655,0,0,0,0,0,0.899280575539568,0,0,0,0,0.0359712230215827,0,0,0.0179856115107914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359712230215827,0,0,0,0,0,0,0.00719424460431655
21,18,0.00341296928327645,0.00341296928327645,0,0,0.00341296928327645,0,0,0,0,0,0,0.0204778156996587,0,0,0,0.0102389078498294,0,0.0307167235494881,0,0.0409556313993174,0,0.0068259385665529,0,0,0,0.00341296928327645,0,0.764505119453925,0,0,0,0,0.0887372013651877,0.0136518771331058,0,0.0068259385665529,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,49,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0.0157728706624606,0,0,0,0,0,0,0,0.0536277602523659,0,0.00946372239747634,0,0,0,0.00630914826498423,0,0.817034700315457,0,0,0,0.00315457413249211,0.0599369085173502,0.00630914826498423,0.00630914826498423,0,0,0,0,0,0,0,0,0,0,0.00315457413249211,0,0,0,0,0,0,0.00630914826498423,0,0,0,0,0.00630914826498423,0,0.00315457413249211
32,180,0.00294985250737463,0,0,0,0,0,0,0.00294985250737463,0,0,0,0.00294985250737463,0,0,0,0,0,0,0,0.0117994100294985,0,0.0088495575221239,0,0,0,0.00589970501474926,0,0.867256637168142,0,0,0.00294985250737463,0,0.0648967551622419,0.00294985250737463,0,0.00589970501474926,0,0,0,0.00294985250737463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00589970501474926,0,0,0,0,0,0.0117994100294985
36,273,0,0,0,0,0.003003003003003,0,0,0,0,0,0,0.003003003003003,0,0,0,0,0,0.003003003003003,0,0.012012012012012,0,0.024024024024024,0,0,0,0.003003003003003,0,0.9009009009009,0,0,0,0,0.042042042042042,0.006006006006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003003003003003,0,0,0,0,0,0
40,378,0,0,0,0,0,0,0,0,0,0,0,0.00337837837837838,0,0,0,0.00337837837837838,0,0,0,0.0337837837837838,0,0,0,0,0,0.00337837837837838,0,0.898648648648649,0,0,0,0,0.0304054054054054,0.00337837837837838,0.00337837837837838,0.0101351351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00675675675675676,0,0.00337837837837838
44,488,0.00340136054421769,0,0,0,0.00340136054421769,0,0,0.00340136054421769,0,0,0,0.0136054421768707,0,0,0,0,0,0,0,0.0238095238095238,0,0.0204081632653061,0,0,0,0,0,0.891156462585034,0.00340136054421769,0,0,0,0.0136054421768707,0.00340136054421769,0,0.00680272108843537,0,0.00340136054421769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00680272108843537,0,0,0,0.00340136054421769,0,0
47.5,583,0,0,0,0,0,0,0,0,0,0,0,0.00328947368421053,0,0,0,0,0,0,0,0.0394736842105263,0,0.00657894736842105,0,0,0,0.00328947368421053,0,0.87171052631579,0,0,0,0,0.0394736842105263,0,0,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328947368421053,0,0,0,0,0.00328947368421053,0,0.0164473684210526
51,669,0,0,0,0,0.00355871886120996,0,0,0,0,0,0,0.0106761565836299,0,0,0,0.00355871886120996,0,0,0,0.0711743772241993,0,0.0106761565836299,0,0,0,0.00711743772241993,0,0.825622775800712,0,0,0,0,0.0355871886120996,0,0.00355871886120996,0.00711743772241993,0,0,0.00355871886120996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355871886120996,0,0.00355871886120996,0,0.0106761565836299
56,754,0.00314465408805031,0,0,0,0,0,0,0.00314465408805031,0,0,0,0.00943396226415094,0,0,0,0.00628930817610063,0,0,0,0.0660377358490566,0,0.0125786163522013,0,0,0,0.0283018867924528,0,0.811320754716981,0,0,0,0,0.00314465408805031,0.00314465408805031,0.00628930817610063,0.0377358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00628930817610063,0,0.00314465408805031
60,779,0,0,0,0,0.00790513833992095,0,0,0.00395256916996047,0,0,0,0.0237154150197628,0,0,0,0.0118577075098814,0,0,0,0.126482213438735,0,0.0197628458498024,0.00790513833992095,0,0,0.00790513833992095,0,0.660079051383399,0,0,0,0,0.0592885375494071,0,0,0.0474308300395257,0,0,0,0,0,0,0,0.00395256916996047,0,0,0,0,0.00395256916996047,0,0,0,0,0,0,0,0,0,0,0.0158102766798419
64,786,0,0,0,0,0,0,0,0,0,0,0,0.003584229390681,0,0,0,0.003584229390681,0,0,0,0.043010752688172,0,0,0,0,0,0.003584229390681,0,0.878136200716846,0,0,0,0,0.03584229390681,0.007168458781362,0.003584229390681,0.014336917562724,0,0,0,0,0,0,0,0,0,0,0.003584229390681,0,0,0,0,0,0.003584229390681,0,0,0,0,0,0,0
71,845,0,0,0,0,0,0,0,0,0,0,0.00303030303030303,0.0333333333333333,0,0,0,0.00909090909090909,0,0,0,0.0484848484848485,0,0.0181818181818182,0.00303030303030303,0,0,0.0151515151515152,0,0.803030303030303,0,0,0,0,0.0242424242424242,0.00606060606060606,0,0.0242424242424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121212121212121
71.5,855,0,0,0,0,0,0,0,0,0,0,0,0.0179856115107914,0,0,0,0.00359712230215827,0,0,0,0.0503597122302158,0,0.0107913669064748,0,0,0,0.0143884892086331,0,0.852517985611511,0,0,0,0,0.0287769784172662,0.00359712230215827,0,0.00719424460431655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00719424460431655,0,0.00359712230215827
77.5,1038,0,0,0,0,0,0,0,0,0,0,0,0.0148809523809524,0,0,0,0,0,0,0,0.0416666666666667,0,0.00892857142857143,0,0.00297619047619048,0,0.00595238095238095,0,0.833333333333333,0,0,0,0,0.0416666666666667,0,0.00297619047619048,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297619047619048,0,0,0,0,0.00595238095238095,0,0.00297619047619048
79,1104,0,0,0,0,0,0,0,0.0036101083032491,0,0,0,0.0685920577617329,0,0,0,0.0036101083032491,0,0,0,0.0144404332129964,0,0.0144404332129964,0,0,0,0,0,0.859205776173285,0,0,0,0,0.0144404332129964,0,0,0.0144404332129964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072202166064982
83,1319,0.0116731517509728,0,0,0,0.0155642023346304,0,0,0,0,0,0,0.0505836575875486,0,0,0,0.00778210116731518,0,0,0,0.11284046692607,0.00778210116731518,0.0272373540856031,0.00778210116731518,0,0,0.0544747081712062,0,0.56420233463035,0,0,0,0,0.0466926070038911,0,0,0.0389105058365759,0.00389105058365759,0,0,0,0.00389105058365759,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116731517509728,0,0.0272373540856031
87,1592,0,0,0,0,0,0,0,0,0,0,0.00290697674418605,0.00290697674418605,0,0,0,0,0,0.00581395348837209,0,0.162790697674419,0,0.00290697674418605,0,0.0145348837209302,0,0.168604651162791,0,0.392441860465116,0,0,0,0,0.0436046511627907,0.00872093023255814,0,0.165697674418605,0.00872093023255814,0,0,0,0,0,0,0,0,0,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0.00290697674418605,0,0.0116279069767442
91,1925,0,0,0,0,0.0277777777777778,0,0,0.00347222222222222,0,0,0,0.00347222222222222,0,0,0,0,0,0.00694444444444444,0,0.111111111111111,0,0.0173611111111111,0,0,0,0.100694444444444,0.00347222222222222,0.576388888888889,0,0,0.00347222222222222,0,0.0659722222222222,0,0,0.0416666666666667,0,0,0.00347222222222222,0,0,0.00347222222222222,0,0.00694444444444444,0,0,0,0,0,0.00694444444444444,0,0,0,0,0,0,0,0,0,0.0173611111111111
95,2306,0,0,0,0.00348432055749129,0,0,0,0,0,0,0,0.024390243902439,0,0.00348432055749129,0,0,0,0.00348432055749129,0,0.21602787456446,0,0.024390243902439,0,0.00348432055749129,0,0.048780487804878,0,0.581881533101045,0,0,0,0,0.00696864111498258,0,0,0.0418118466898955,0.00348432055749129,0,0,0,0,0,0,0,0.00696864111498258,0,0,0,0,0,0,0.00348432055749129,0.00348432055749129,0,0,0,0,0,0,0.024390243902439
99,2705,0.00284090909090909,0,0,0,0.00852272727272727,0,0,0.00284090909090909,0,0,0.00284090909090909,0.0284090909090909,0,0,0,0,0,0,0,0.363636363636364,0,0.0227272727272727,0,0,0,0.0113636363636364,0,0.397727272727273,0,0.00284090909090909,0,0,0.0625,0.00568181818181818,0,0.0511363636363636,0.00284090909090909,0,0,0,0,0.00284090909090909,0,0,0,0,0,0,0.00852272727272727,0,0,0,0,0,0,0,0,0.0113636363636364,0,0.0113636363636364
103,3090,0,0,0,0,0,0,0,0,0,0,0,0.00595238095238095,0,0,0,0.00892857142857143,0,0.00892857142857143,0,0.449404761904762,0,0.0416666666666667,0,0.0178571428571429,0,0.0267857142857143,0,0.380952380952381,0,0,0,0,0.0148809523809524,0,0,0.0119047619047619,0.00595238095238095,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0.00595238095238095,0,0.0119047619047619
107,3434,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0.00655737704918033,0,0,0,0.00327868852459016,0,0,0,0.40655737704918,0,0.0262295081967213,0,0,0,0.019672131147541,0,0.340983606557377,0,0,0,0,0.0426229508196721,0,0.0098360655737705,0.0852459016393443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00327868852459016,0,0,0,0,0.019672131147541,0,0.0295081967213115
111,3711,0,0,0,0,0.00326797385620915,0,0,0,0,0,0,0.0228758169934641,0,0,0,0.00326797385620915,0,0,0,0.245098039215686,0,0.0065359477124183,0,0.00980392156862745,0,0.101307189542484,0,0.441176470588235,0,0,0,0,0.0359477124183007,0.0163398692810458,0.00326797385620915,0.0522875816993464,0.0130718954248366,0,0,0,0.00326797385620915,0.00326797385620915,0,0.00326797385620915,0,0,0.00326797385620915,0,0,0,0,0.00326797385620915,0,0,0,0,0,0.0163398692810458,0,0.0130718954248366
115,3908,0,0,0,0,0,0,0,0,0,0,0,0.0106761565836299,0,0,0,0,0,0,0,0.615658362989324,0,0.0177935943060498,0,0.00355871886120996,0,0.00355871886120996,0,0.174377224199288,0,0,0,0,0.0106761565836299,0.00355871886120996,0,0.0533807829181495,0.00355871886120996,0,0,0,0,0,0,0.0142348754448399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604982206405694,0,0.0284697508896797
