"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Vitis","Myrica","Poaceae","Rosaceae.trees","Acer.saccharum.type","Acer.negundo","Acer.rubrum","Fraxinus.pennsylvanica.type","Juglans.undiff.","Laportea.type","Morus","Sarcobatus.vermiculatus","Tilia","Apiaceae","Xanthium","Acer.saccharinum.type","Castanea","Fabaceae.undiff.","Ranunculus","Saxifragaceae.undiff.","Iva.xanthifolia.type","Platanus","Cornus","Bidens.type","Celtis","Pyrus.type","Ericaceae.undiff.","Rumex","Potentilla.type","Shepherdia.canadensis","Amorpha.type","Rosaceae.undiff.","Crassulaceae","Ephedra","Epilobium","Gentianaceae","Hypericum","Maclura.pomifera.type","Taxus","Thalictrum","Galium","Brassicaceae","Asteraceae.undiff.","Fagus","Shepherdia.argentea","Spiraea.type","Prunus.Sorbus","Vaccinium","Asteraceae.subf..Cichorioideae","Shrubs.undiff.","Caryophyllaceae","Oxyria.digyna","Rubus","Liliaceae","Dryas.type","Polemoniaceae","Geum.type","Pinus.subg..Strobus","Scrophulariaceae","Viburnum","Plantago.major","Polygonum","Hydrophyllum","Lycopus.type","Boraginaceae","Saxifraga.type","Ranunculaceae.undiff.","Stachys.type","Koenigia.islandica","Plantago.undiff.","Pterocarya"
750,NA,900,5,57,15,17,24,181,3,2,7,2,1,11,12,3,1,1,1,15,3,69,22,359,2,18,23,5,1,1,22,2,1,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,9424,804,3,6,1,4,11,75,1,1,6,1,2,5,13,6,1,1,0,6,5,69,13,437,1,13,27,10,0,4,59,3,0,0,8,0,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,9462,838,3,34,3,11,18,91,5,2,10,0,1,7,24,3,2,1,0,9,9,41,33,432,0,6,20,6,0,2,35,2,0,5,15,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,9500,996,3,37,6,14,25,149,1,1,10,1,4,3,18,6,0,0,0,10,9,57,9,516,5,24,27,4,1,2,24,1,0,2,20,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,9538,995,11,7,2,7,22,172,3,2,14,0,3,6,20,13,1,0,0,16,8,112,47,421,1,19,25,1,0,2,37,3,0,0,9,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,9576,1061,2,7,3,17,21,131,3,7,3,2,3,3,20,6,0,0,0,16,14,133,32,476,2,17,31,6,1,1,71,4,0,2,14,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,9926,1005,1,3,1,5,13,90,7,2,2,1,7,7,13,6,1,1,1,21,12,120,71,507,2,12,40,4,0,2,43,1,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,10332,942,3,2,1,12,21,49,4,4,6,0,3,10,21,10,0,2,0,27,15,149,26,382,4,26,43,12,0,4,82,4,0,0,8,0,3,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,10535,794,1,2,2,17,24,50,4,3,4,1,3,7,30,22,0,1,1,26,17,221,9,156,5,35,48,5,0,2,56,6,1,0,19,0,4,0,0,0,1,2,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,10735,908,7,0,3,16,33,36,11,3,7,1,3,16,38,24,0,5,1,25,6,237,27,172,16,53,48,9,0,3,57,9,0,0,25,0,2,0,0,3,1,0,1,1,0,0,2,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,11135,958,3,3,2,9,51,34,7,3,8,1,5,19,34,20,0,2,2,30,10,286,12,194,7,30,56,13,0,5,69,4,0,0,13,0,3,3,0,4,1,1,0,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,11534,813,2,0,1,13,31,27,4,4,2,0,3,10,43,30,1,3,0,24,13,229,32,155,13,54,31,12,0,1,45,4,1,0,16,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,11797,976,7,4,2,11,34,47,4,0,4,0,4,33,35,40,0,0,0,21,6,344,8,191,12,42,34,12,0,3,44,6,0,0,11,0,4,1,0,4,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,12026,787,2,2,1,5,42,61,1,0,1,1,4,19,44,33,0,1,0,13,10,245,16,97,10,37,18,27,0,8,44,3,0,0,21,0,4,0,0,3,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,12141,1340,5,5,4,11,56,133,13,0,9,0,7,24,117,36,0,0,0,32,6,389,8,143,27,89,60,42,0,8,57,6,0,0,29,0,0,1,0,3,0,3,0,0,0,0,1,0,0,0,4,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,12255,984,3,9,3,8,50,139,8,0,8,1,2,19,76,45,0,1,0,16,5,256,13,67,25,31,45,36,0,5,46,12,0,0,27,0,3,2,0,3,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,12491,909,3,10,2,9,56,202,5,0,7,0,1,14,69,21,0,0,0,13,9,260,2,40,26,38,24,22,0,4,35,6,0,0,16,0,0,0,0,1,0,2,0,0,0,1,3,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
