"sample.depths","sample.ages","Abies","Betula","Carya","Corylus","Cupressaceae","Fagus","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Quercus","Tilia","Tsuga","Ulmus","Alnus","Fraxinus.americana.type","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Artemisia","Platanus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra","Cyperaceae","Ericaceae","Poaceae","Larix","Ambrosia","Populus","Salix","Myrica","Juglans.cinerea","Juglans.nigra","Amaranthaceae","Ranunculus","Iva.annua","Shepherdia.canadensis","Rumex"
100,NA,0.00497512437810945,0.0646766169154229,0.00497512437810945,0.00497512437810945,0.00497512437810945,0.0149253731343284,0.00497512437810945,0.00497512437810945,0.0099502487562189,0.0796019900497512,0.00497512437810945,0.0895522388059701,0.0248756218905473,0.0149253731343284,0.00497512437810945,0.0199004975124378,0.557213930348259,0.0845771144278607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7066,0,0.0297029702970297,0,0,0,0.0198019801980198,0.0148514851485149,0.0198019801980198,0.00495049504950495,0.0643564356435644,0.00495049504950495,0.0445544554455446,0.0148514851485149,0.0099009900990099,0.00495049504950495,0.0148514851485149,0.643564356435644,0.0693069306930693,0.0099009900990099,0.0099009900990099,0.00495049504950495,0.0148514851485149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7519,0.00492610837438424,0.0640394088669951,0,0,0,0.0295566502463054,0.0147783251231527,0.0147783251231527,0.00492610837438424,0.0640394088669951,0.00492610837438424,0.0197044334975369,0.0394088669950739,0.0197044334975369,0.00985221674876847,0.0197044334975369,0.591133004926108,0.0541871921182266,0,0.0147783251231527,0.00492610837438424,0.00492610837438424,0.00985221674876847,0.00492610837438424,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0
130,7972,0.00495049504950495,0.0148514851485149,0,0,0.00495049504950495,0.0198019801980198,0.0099009900990099,0.0148514851485149,0,0.0693069306930693,0.00495049504950495,0.0198019801980198,0.0148514851485149,0.00495049504950495,0,0.00495049504950495,0.653465346534653,0.108910891089109,0.0148514851485149,0.0099009900990099,0,0.0099009900990099,0.00495049504950495,0,0,0.00495049504950495,0.00495049504950495,0,0,0,0,0,0,0,0,0,0
135,8198,0.00490196078431373,0.0294117647058824,0,0.00490196078431373,0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.00490196078431373,0.053921568627451,0,0,0.0147058823529412,0.0147058823529412,0.00490196078431373,0.0196078431372549,0.681372549019608,0.0931372549019608,0,0,0,0.0147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,8425,0.0147783251231527,0.0295566502463054,0,0,0.00985221674876847,0,0.0147783251231527,0.0147783251231527,0.00492610837438424,0.0591133004926108,0,0.00985221674876847,0.0197044334975369,0.00985221674876847,0,0.0197044334975369,0.704433497536946,0.0640394088669951,0,0.00985221674876847,0,0.0147783251231527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,8651,0.00497512437810945,0.0497512437810945,0,0,0.0099502487562189,0.00497512437810945,0.00497512437810945,0.0199004975124378,0.00497512437810945,0.0497512437810945,0,0.00497512437810945,0.0149253731343284,0.0199004975124378,0,0.0149253731343284,0.462686567164179,0.308457711442786,0,0,0,0.00497512437810945,0,0,0,0,0.0099502487562189,0.0099502487562189,0,0,0,0,0,0,0,0,0
150,8878,0.00985221674876847,0.083743842364532,0,0,0,0,0.0147783251231527,0.0147783251231527,0,0.0394088669950739,0,0.00492610837438424,0.00985221674876847,0,0.00985221674876847,0.0147783251231527,0.497536945812808,0.270935960591133,0,0,0,0.00492610837438424,0.00985221674876847,0,0.00985221674876847,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0
155,9104,0.00492610837438424,0.0689655172413793,0,0,0.0197044334975369,0,0.00985221674876847,0.0197044334975369,0.0147783251231527,0.0541871921182266,0,0.00985221674876847,0.0147783251231527,0.00985221674876847,0.00492610837438424,0,0.443349753694581,0.310344827586207,0,0,0,0.00492610837438424,0,0,0,0.00492610837438424,0,0,0,0.00492610837438424,0,0,0,0,0,0,0
160,9331,0.0102564102564103,0.082051282051282,0.00512820512820513,0,0,0,0.0102564102564103,0.00512820512820513,0,0.0512820512820513,0,0.0102564102564103,0.0256410256410256,0.00512820512820513,0,0,0.471794871794872,0.287179487179487,0,0,0,0.0102564102564103,0.0102564102564103,0,0,0.0102564102564103,0,0.00512820512820513,0,0,0,0,0,0,0,0,0
