"sample.depths","sample.ages","upland.sum","Acer.rubrum","Artemisia","Betula","Carya","Castanea","Cephalanthus","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tricolpate.","Galium","Poaceae.undiff.","Liquidambar","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Alnus","Ambrosia","Populus","Amaranthaceae","Viburnum","Rosaceae","Zea","Acer.saccharum","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Other.herbs","Acer.undiff.","Fraxinus..tetracolpate.","Larix","Picea","Iva.annua","Rhamnus","Morus","Myrica","Pinus.strobus","Rhus","Acer.saccharinum","Thalictrum","Urtica","Nyssa","Apiaceae","Celtis","Other.trees.and.shrubs","Abies","Cornus"
1146,41,479,1,1,11,29,7,1,21,2,1,7,17,9,1,30,1,9,5,5,126,10,4,3,2,14,15,123,2,2,1,1,2,7,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,70,419,3,2,9,18,5,0,11,1,0,10,12,13,0,14,0,7,9,5,132,17,3,2,3,18,11,86,0,2,0,0,1,11,1,0,0,3,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,130,327,1,0,9,21,13,0,0,0,1,3,29,14,0,0,0,10,9,5,147,0,2,1,1,11,20,1,2,1,2,0,0,3,6,2,1,4,0,2,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0
1194,419,355,1,1,6,29,13,0,0,0,1,4,27,14,0,1,0,7,7,4,201,0,0,0,1,14,7,0,1,0,0,0,0,7,0,0,0,2,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1242,995,409,0,0,6,51,9,0,1,1,0,2,26,24,0,2,0,7,4,5,211,0,1,1,0,19,13,0,2,0,0,0,0,16,1,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1290,1572,416,0,1,8,54,4,0,2,0,0,6,16,11,0,4,0,5,8,12,232,0,0,0,4,19,11,1,2,1,0,0,0,5,1,1,0,0,0,3,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
1336,2124,544,0,0,5,64,6,0,3,1,0,5,21,20,0,3,0,3,13,6,330,0,1,3,1,11,19,2,1,1,0,0,0,9,5,1,1,1,0,0,1,0,1,0,0,2,1,1,0,2,0,0,0,0,0,0,0
1344,2220,417,4,0,11,60,9,0,2,0,0,5,11,18,0,1,0,7,8,3,204,0,0,0,1,24,28,5,0,1,0,0,0,1,2,0,4,1,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
1376,2690,452,0,1,2,64,8,0,4,0,0,2,13,16,0,6,1,5,1,4,263,0,0,1,2,20,14,2,2,3,0,0,0,4,1,1,2,2,0,2,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0
1420,3353,541,1,0,12,50,12,0,6,2,0,9,38,17,0,4,1,14,8,8,286,0,1,0,1,25,19,1,1,0,0,1,0,12,1,0,2,1,0,2,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0
1452,3835,462,1,1,7,44,10,0,0,1,1,3,51,20,0,0,0,15,6,6,220,0,0,0,1,26,12,0,3,1,0,1,0,9,4,5,5,3,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,4559,365,2,0,0,49,6,0,0,0,0,2,21,24,0,2,0,6,6,2,192,0,1,1,0,17,18,3,0,1,0,0,0,6,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1526,4945,453,1,2,3,46,4,0,4,2,1,3,48,18,0,2,0,7,6,7,218,0,6,2,2,25,15,1,1,1,0,0,0,6,3,4,2,4,1,2,0,1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0
1558,5364,628,2,1,3,58,3,0,1,1,1,5,75,32,0,3,0,11,12,11,288,0,2,1,3,52,24,1,0,0,0,0,0,10,4,2,0,5,0,5,2,1,0,2,0,0,3,0,3,0,0,0,1,0,0,0,0
1574,5573,636,1,1,4,58,0,0,2,4,0,2,90,38,0,3,0,10,12,13,301,0,1,3,4,47,7,0,2,3,0,0,0,11,10,1,1,1,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0
1598,5888,524,1,1,3,35,1,0,9,3,0,1,137,17,0,2,0,10,7,12,197,0,0,0,5,35,17,3,0,0,0,0,0,13,4,3,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1626,6254,517,0,0,3,20,2,0,2,1,1,3,135,23,0,1,0,8,10,10,194,0,0,1,1,59,14,1,0,0,0,0,0,14,4,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
1642,6464,541,0,0,4,48,0,0,4,0,0,3,129,25,0,2,0,10,9,11,184,1,0,1,1,58,10,4,1,0,0,0,0,23,2,4,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1658,6674,521,0,0,5,35,0,0,3,0,0,1,128,21,0,1,0,16,13,2,204,0,1,2,3,51,1,2,0,0,0,1,0,19,1,0,1,0,0,6,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
1682,6988,756,1,0,3,41,0,0,3,1,0,11,180,44,0,1,0,32,13,11,287,0,1,1,4,82,2,1,0,1,0,0,0,18,4,1,0,1,0,2,0,2,0,0,0,0,3,0,2,0,0,0,1,2,0,0,0
1698,7198,522,0,1,0,38,0,0,6,2,0,1,100,45,0,1,0,12,8,4,212,0,0,3,1,64,1,1,1,1,0,1,0,8,4,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
1712,7381,654,0,0,5,62,1,0,5,5,0,4,119,27,0,2,0,27,17,24,233,0,1,1,4,84,1,1,0,1,0,1,0,1,7,0,0,2,0,1,0,2,1,1,0,0,6,0,5,1,0,0,0,2,0,0,0
