"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.undiff.","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Vitis","Alnus","Ambrosia","Rosaceae.undiff.","Populus","Poaceae","Brassicaceae","Plantago","Picea.undiff.","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Corylus","Pinus.undiff.","Rumex.acetosella","Stellaria","Polygonum.lapathifolium","Fraxinus.pennsylvanica.type","Platanus","Picea.mariana","Galium","Castanea","Sarcobatus.vermiculatus","Cornus.canadensis","Juglans.nigra","Shepherdia","Lamiaceae","Abies","Thalictrum","Celtis","Polygonum.viviparum","Cephalanthus","Picea.glauca","Sambucus","Cornus.sericea","Larix","Cornus.racemosa","Potentilla","Ranunculaceae.undiff.","Epilobium","Ericaceae","Rumex.mexicanus"
25,42,480,1,14,3,22,6,4,16,12,1,1,1,11,124,1,5,4,3,18,1,3,1,56,3,3,72,3,1,0.5,4.5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,81,415.5,1,20,1,17,7,2,21,12,4,1,0,14,111,2,3,6,6,18,0,2,1,35,4,4,40,2,0,2,0,0,1,75.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,208,364,0,13,3,6,11,2,14,25,4,0,0,19,104,1,3,8,3,19,0,1,5,3,2,3,22,0,0,2,0,0,0,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,423,375,0,28,1,10,12,0,14,21,2,3,0,18,91,0,9,12,9,22,0,0,5,4,2,1,20,0,0,3,0,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,638,390,0,25,1,17,8,1,12,22,6,0,0,21,103,3,7,10,5,17,0,1,2,3,0,2,12,0,1,0,0,0,1,103,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,853,365.5,0,30,2,15,18,0,15,16,2,0,0,20,91,0,6,4,3,19,0,1,2,5,1,4,13,0,0,2.5,0,0,3,88,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1068,411.5,0,20,1,13,8,0,26,15,6,1,0,13,100,1,4,4.5,8,20,0,0,0,17,0,9,22,0,1,0,0,0,0,116,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1283,322,0,22,0,6,19,0,17,39,5,2,0,19,76,3,5,6,5,15,0,2,0,2,1,3,9,0,0,0,0,61.5,1,0,0,0,1.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1498,294.5,0,22,0,10,10,0,19,32,3,4,0,27,91,0,4,5,1,22,0,0,2,3,3,1,1,0,0,0,0,0,0,30.5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1713,313.5,0,17,0,8,8,0,28,22,1,1,0,33,123,3,2,2,1,19,0,0,2,2,1,1,9,2,0,0,0,0,0,26.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1928,384,0,16,1,14,15,2,12,25,1,1,1,3,108,2,1,7,10,19,0,0,1,7,0,2,14,4,0,0,0,0,0,114,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2143,392.5,0,17,0,13,16,0,21,30,4,1,0,10,129,2,2,8,13,24,0,1,3,5,4,4,12,1,0,0,0,70.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2358,372,0,16,0,8,16,1,16,20,1,1,0,13,130,1,3,11,18,15,0,1,1,2,1,3,12,0,0,1,0,0,0,78,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2573,392,0,10,1,16,16,4,16,21,7,0,0,9,139,5,0,8,12,22,0,0,2,3,1,1,12,1,0,0,0,0,1,76,0,0,0,3,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2855,383.5,0,14,2,20,15,2,15,26,3,0,0,7,121,1,2,4,11,10,0,2,0,2,0,1,14,0,0,0,0,0,0,101.5,0,0,0,4,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3404,399.5,0,21,2,12,14,3,25,23,2,2,0,8,125,3,1,2,6,23,0,1,3,3,0,3,14,0,0,0.5,0,92,0,0,0,0,4,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3954,369,1,16,1,11,15,1,17,23,2,0,0,7,91,0,2,5.5,16,19,0,0,1,2,0,2,8,0,0,2,0,0,0,102.5,0,0,21,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4503,353.5,0,16,2,8,7,1,18,24,5,0,0,14,110,0,1,5,17,18,0,1,1,7,1,1,0,0,0,1.5,0,0,1,87,0,0,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,5053,365.5,1,16,1,6,4,0,5,26,2,1,0,7,71,4,3,7,6,15,0,0,0,1,0,1,5,2,0,1,0,0,0,177.5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,5602,360.5,0,15,0,1,1,0,7,18,4,0,0,17,57,0,2,5,1,15,0,3,0,3,1,2,7,1,0,1,9.5,183,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,6152,368,1,17,2,11,9,2,12,21,4,0,0,9,84,0,4,7,8,16,0,1,0,0,0,3,8,1,0,0,0,0,1,138.5,0,0,3.5,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,6701,327,0,15,0,5,0,2,6,25,2,1,0,2,53,2,3,8,3,9,0,1,1,1,0,2,0,0,0,0,0,0,0,184,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,7250,354.5,0,5,0,4,2,0,6,25,4,0,0,5,47,1,4,11,4,15,0,1,0,1,0,6,5,1,0,1.5,0,0,0,203,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,7353,313,0,3,0,0,3,2,3,6,1,0,0,4,28,1,3,5.5,1,2,0,1,0,3,0,3,2,0,0,1,0,239.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,7455,346.5,0,9,0,0,0,1,7,1,0,0,0,5,41,1,6,20,1,10,0,1,1,5,1,5,0,0,0,0,0,0,0,229.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,7558,320.5,0,9,0,2,4,1,0,8,2,0,0,29,49,0,2,12,1,29,0,0,1,1,0,0,3,0,0,0.5,0,0,3,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,7660,305.5,0,5,1,2,1,0,1,0,1,0,0,2,15,0,3,13,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,253.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,7762,290,2,5,0,2,0,0,1,4,2,0,0,22,22,0,0,1.5,0,14,0,0,0,3,0,1,0,0,0,0,10.5,197,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,7865,349.5,1,3,0,3,1,1,14,6,2,0,0,2,28,2,10,8,0,15,0,0,0,2,0,3,0,0,0,0,0,0,0,245.5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,7967,344.5,0,6,0,3,0,1,1,0,1,0,0,1,34,0,4,1,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,280.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,8070,363,0,7,1,2,4,0,3,3,1,0,0,11,23,1,1,4,1,17,0,0,0,3,0,1,2,0,0,0,0,0,0,276,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,8172,371.5,0,3,0,2,1,0,6,0,2,0,0,20,15,1,5,0,0,11,0,0,1,1,0,0,0,0,0,0,0,298.5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,8274,369,0,3,0,2,2,2,2,1,2,0,0,13,22,0,1,1,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,301,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,8377,338.5,1,5,0,2,1,1,3,0,2,1,0,23,49,1,7,8,1,11,0,0,2,2,0,5,1,0,0,0,0,0,1,208,0,0,0,1,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,8479,330,0,12,2,6,2,0,2,1,3,1,0,17,40,0,3,3.5,3,18,0,0,1,5,0,0,0,0,0,0,0,0,0,208.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,8582,341.5,9,5,0,6,4,0,2,1,2,1,0,11,41,0,7,2,1,13,0,0,0,0,0,3,2,0,0,2,9,219.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,8684,354.5,4,7,0,1,0,2,5,0,0,0,0,41,31,0,2,3,1,18,0,0,1,1,0,1,0,0,0,0,0,0,0,232.5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,8786,379,0,1,0,3,0,0,6,0,0,0,0,20,17,0,2,0,0,9,0,0,1,2,1,2,1,0,0,0,34,277,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,8889,324,0,1,0,0,0,1,0,1,0,0,0,0,4,0,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,8991,315.5,0,2,0,1,0,0,0,0,0,0,0,1,8,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,41.5,254,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,9093,388.5,0,5,0,4,1,2,0,1,7,0,0,14,38,0,1,1,0,8,0,0,1,3,0,0,1,0,0,0,0,0,0,300.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,9196,380,0,3,0,4,2,0,5,1,3,0,0,12,30,0,3,1,2,4,0,0,1,1,0,0,1,0,0,0,92,205,1,0,0,0,1,3,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,9298,373,0,4,0,8,0,1,2,2,7,1,0,14,29,0,1,1,0,6,0,0,0,0,0,1,7,1,0,0,0,0,1,286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,9401,376.5,0,6,1,7,3,0,2,1,4,2,0,8,38,0,0,4,1,11,0,0,1,2,1,0,3,0,0,0,66.5,211,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,9503,361,0,6,1,2,2,1,2,0,4,1,0,9,35,0,1,4,0,5,0,0,0,2,0,0,3,0,0,0,0,0,0,281,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,9605,359,1,2,2,9,2,0,4,1,10,0,0,13,39,1,0,2,2,7,0,0,1,4,0,0,3,1,0,2,150.5,96.5,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,9669,342,0,4,0,7,1,0,2,0,4,0,0,7,39,0,0,1,6,11,0,0,0,1,0,1,8,0,0,2,0,0,0,246,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
260,9733,373.5,0,6,2,3,2,0,1,0,5,0,0,10,45,0,1,4,3,17,0,0,1,0,0,1,6,0,0,2.5,104,156,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,9797,373,0,4,1,5,2,1,1,1,2,2,0,10,38,2,1,0,3,13,0,0,0,4,0,2,9,0,0,0,0,0,1,260,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
270,9861,353.5,0,1,0,5,1,2,0,1,3,3,0,18,21,0,1,0,2,18,0,0,1,0,0,0,4,0,0,2,141,125,1,0,0,0,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,9924,337,0,1,0,6,1,0,1,0,7,0,0,9,31,0,1,0,5,8,0,0,0,5,0,1,6,0,0,0,0,0,0,251,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280,9988,343,0,3,0,10,0,0,4,0,6,0,0,8,25,0,0,0,2,3,0,0,1,1,0,0,6,0,0,1,168.5,95,0,0,0,0,0,0,1,7.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
286,10065,334,0,2,1,1,1,0,2,0,2,0,0,9,25,0,0,0,4,6,0,0,0,1,0,0,8,1,0,6,0,0,0,259,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
290,10116,349,0,1,1,3,1,3,1,0,3,0,0,10,20,0,0,0,1,5,0,0,0,0,0,0,2,0,0,3.5,185.5,100,0,0,0,0,1,2,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,10180,398.5,0,0,2,9,1,1,0,0,6,0,0,6,35,2,0,0,1,19,0,1,0,0,0,0,2,1,0,0,0,0,0,305,0,0,1,2,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
300,10243,361,0,5,0,5,4,0,1,0,4,0,0,8,20,2,0,0,2,6,0,0,0,4,0,0,6,0,0,0,162,117.5,0,0,0,0,4,1,0,6.5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
305,10307,363.5,0,3,1,9,2,2,2,2,1,0,0,10,27,2,0,0,4,9,0,0,0,2,0,0,8,0,0,2.5,0,0,0,263,0,0,0,4,2,3,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
310,10371,346.5,0,0,1,5,1,0,2,1,5,0,0,9,28,1,0,1,8,13,0,0,0,0,0,0,14,0,0,2,133.5,118,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
315,10435,318.5,0,2,0,6,2,1,3,0,5,0,0,7,27,0,0,0,2,9,0,0,1,1,0,0,8,1,0,0.5,0,0,0,237,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
320,10499,370.5,0,2,0,11,0,1,2,0,6,1,0,6,21,0,0,0,5,8,0,0,0,2,0,2,6,2,0,3.5,179,101,0,0,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
325,10562,353,0,2,0,5,2,1,2,0,9,1,0,8,26,0,0,1,0,4,0,0,0,1,0,2,1,0,0,2,0,0,0,282.5,0,0,0,0,0,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,10626,370.5,0,1,2,8,3,0,4,0,5,1,0,7,23,0,0,1,2,12,0,0,0,0,0,0,9,1,0,4,214,64,1,0,0,0,1,2,0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
335,10690,358.5,0,2,2,12,1,0,0,0,3,0,0,9,38,0,0,1,1,12,0,0,0,2,0,1,4,1,0,1.5,0,0,0,257.5,0,0,1,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
340,10754,368,0,0,3,10,1,0,3,0,1,0,0,7,28,0,0,1,6,10,0,0,1,1,0,3,8,0,0,5,186.5,80,0,0,0,0,1,0,2,4.5,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
345,10818,359.5,0,0,1,9,2,1,4,1,2,0,0,10,34,0,1,1,1,8,0,0,0,0,0,2,2,2,0,2.5,0,0,0,266.5,0,0,1,0,0,5.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
