"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Carya","Castanea","Corylus","Cyperaceae","Fagopyrum","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Poaceae.undiff.","Juglans.cinerea","Larix","Ledum.Chamaedaphne.calyculata","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Vitis","Rosaceae.undiff.","Amaranthaceae","Viburnum","Avena.Triticum","Stachys.type","Cupressaceae.undiff.","Solanaceae","Ilex.Nemopanthus","Achillea.type","Apiaceae.undiff.","Acer.spicatum","Artemisia","Juglans.nigra","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Platanus","Tilia","Zea.mays","Brassicaceae","Secale.type","Ranunculus","Ericaceae.undiff.","Epilobium","Potentilla.type","Sambucus","Rhamnus.cathartica","Boraginaceae","Amorpha","Cornus.sericea.type","Hypericum","Valeriana","Plantago.lanceolata.type","Acer.undiff.","Plantago.major","Arceuthobium","Rhododendron","Nyssa","Liliaceae","Populus.undiff.","Rubus","Liquidambar","Myrica","Rhus.typhina.type","Ranunculaceae.undiff.","Celtis","Taxodium","Iva","Cephalanthus","Toxicodendron.radicans","Alnus.undiff.","Saxifraga","Cannabaceae","Empetrum","Caryophyllaceae","Shepherdia.canadensis","Acer.negundo","Scrophulariaceae","Campanulaceae","Primulaceae","Plantago.undiff.","Linnaea.borealis"
663,-20,1177.5,15.5,12,7,23,7,15,427,1,1,1,2,1,66,3,8,1,32,1,9,2,4,95,2,103,85,2,17,40,13,3,1,114,10,9,1,1,2,1,1,1,3,20,5,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,-14,1319.5,13.5,16,13,47,7,18,489,2,1,3,5,0,77,8,11,0,38,0,11,7,7,80,3,114.5,78.5,0,14,46,9,9,0,112,10,3,0,0,10,2,0,0,0,15,3,12,0,0,2,1,1,9,1,2,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,-8,1219.5,15,11,4,37,9,18,433,3,0,5,0,0,82,6,9,0,41,0,6,3,3,82,1,92,100.5,0,19,49,13,5,0,107,4,10,0,0,7,0,2,2,0,13,0,13,0,0,0,1,0,5,0,1,0,0,1,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,-2,1141,14,7,12,42,6,17,442,0,0,2,3,0,72,6,3,0,42,0,4,5,7,69,3,79,80,1,7,35,16,5,0,104,2,9,0,0,0,1,0,0,3,19,4,7,1,0,0,0,0,1,0,2,1,0,0,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,4,1102.5,6,5,16,37,10,18,431,0,0,1,0,0,90,4,15,0,35,0,1,12,3,69,5,28,123.5,0,6,46,9,5,1,82,4,6,1,0,0,1,0,2,0,3,0,13,1,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,9,1052.5,10.5,10,11,29,9,13,406,0,0,6,2,0,79,6,9,0,36,0,1,5,4,78,2,60,67,0,22,34,21,2,1,101,3,6,0,0,0,3,0,2,0,3,0,5,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,14,1035.5,9,17,5,17,8,12,393,0,0,3,4,0,88,5,13,0,29,0,1,4,2,83.5,1,55,93,0,3,27,16,1,0,112,6,9,0,0,0,0,1,0,0,7,0,3,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692,18,1134.5,12.5,16,7,23,4,12,406,1,0,3,3,0,121,5,5,0,41,0,4,12,5,87,7,60,70,0,7,34,25,1,0,121,2,8,0,0,3,1,0,0,0,11,0,8,0,0,0,1,0,1,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,21,1078.5,4,8,5,12,5,7,365,0,0,3,0,0,123,5,9,0,23,1,5,5,6,77,1,94,63.5,0,3,42,16,4,1,171,3,6,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,24,1052.5,11.5,11,7,13,3,3,344,0,0,1,0,0,109,5,13,0,20,1,9,7,6,66.5,4,75.5,86,0,4,29,13,2,0,177,0,8,0,0,2,1,0,0,0,9,1,7,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,27,1090.5,6,11,5,12,6,5,365,0,0,0,0,0,120,3,17,0,10,0,6,5,4,81,2,70,114.5,0,3,30,16,1,0,179,1,8,1,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,31,1045,8,13,9,18,6,1,300,0,0,1,0,0,108,2,10,0,11,0,6,4,6,95.5,5,79,108.5,0,0,34,11,2,0,185,0,5,0,0,0,0,1,0,0,3,0,5,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,37,1015.5,5,9,6,16,1,2,337,1,1,3,1,1,110,0,14,0,12,0,4,3,5,81,2,87,83.5,0,0,39,7,0,0,159,0,9,0,0,2,0,2,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,44,1355,18.5,12,12,14,8,6,452,1,0,2,0,0,151,4,14,0,22,0,7,5,4,130.5,6,121,87,0,6,41,24,1,0,180,0,8,1,0,0,1,3,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,67,1148,8.5,8,13,11,10,4,367,0,0,0,1,0,116,2,16,0,11,0,11,6,7,102.5,5,121,88,1,3,33,8,1,0,151,1,8,1,0,0,0,1,0,0,4,0,8,0,0,1,3,0,0,0,1,1,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,93,1157.5,10,11,6,10,6,1,433,0,0,3,0,0,103,2,5,0,11,0,11,2,2,106.5,4,98,136,0,1,34,5,2,0,136,0,8,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,116,1227.5,14.5,6,7,14,8,1,448,1,0,1,2,0,117,1,16,0,13,0,6,1,9,89,2,103,109,0,2,56,8,3,0,156,1,12,1,0,0,0,2,0,0,5,0,5,0,1,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,144,1323.5,14,10,5,12,2,2,426,1,0,1,2,0,127,4,10,0,12,1,10,5,5,122.5,1,114,183,0,0,47,6,0,0,186,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,178,2073.5,11.5,21,13,30,3,5,701,1,1,6,4,0,216,7,21,0,27,0,9,6,3,162,10,264,147,0,4,59,35,3,1,249,0,11,2,0,3,2,0,0,0,8,0,13,0,0,1,4,0,1,0,4,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
