"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Equisetum","Ericaceae","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Nuphar","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Xanthium"
1,-23,5,1,0,24,5,14,3,0,90,0,0,1,1,0,0,0,0,1,1,2,0,8,0,0,0,0,0,0,1,0,0,26,113,5,1,0,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0
10,30,3,0,0,29,2,13,5,2,87,0,1,4,1,1,0,0,0,0,1,1,0,3,0,0,0,0,2,0,1,2,0,31,98,10,0,0,0,6,0,1,0,0,0,3,0,0,1,1,2,1,0
20,319,5,0,0,27,0,4,6,0,90,0,1,3,3,0,0,0,2,0,2,2,0,2,0,1,0,0,5,0,0,0,0,29,108,4,0,0,0,6,0,2,0,0,0,1,0,1,0,0,2,3,0
30,838,2,0,0,20,0,6,4,2,117,0,0,6,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,2,21,98,5,2,1,0,9,1,1,1,0,2,7,0,0,0,0,5,1,0
40,1356,6,0,0,35,1,4,7,0,115,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,36,78,3,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0
50,1875,3,0,2,20,0,2,2,0,114,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,1,0,1,32,108,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0
60,2393,5,0,0,22,1,2,4,3,129,0,1,3,1,0,0,0,0,0,2,2,0,4,0,0,0,0,2,0,1,0,0,19,98,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1,0
70,2912,6,0,1,18,0,2,2,0,101,0,0,1,1,0,0,0,0,0,1,1,0,3,0,0,0,0,5,0,0,0,1,22,132,1,0,0,0,4,0,2,0,0,0,7,0,0,1,0,0,0,0
80,3430,6,0,2,27,0,1,3,0,110,0,1,1,0,1,0,0,0,0,2,2,0,2,0,0,0,1,3,0,0,0,2,18,112,0,0,0,0,7,0,1,1,0,0,1,0,0,0,0,2,0,0
90,3949,3,0,3,26,0,4,5,0,108,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,17,124,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0
100,4467,4,0,0,23,1,4,3,0,114,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,16,123,1,1,0,0,4,0,1,0,0,0,0,0,0,1,0,2,0,0
110,4960,6,0,0,11,1,4,3,0,93,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,163,0,1,0,0,2,0,0,0,0,0,2,0,0,1,1,4,0,0
120,5428,2,0,0,12,2,7,5,0,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,180,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,1,0
130,5895,2,0,0,18,1,2,3,0,85,0,1,1,0,1,0,0,0,0,1,1,0,11,0,0,0,0,1,0,1,0,0,5,170,0,0,0,1,7,0,1,0,0,0,1,0,0,0,0,3,0,0
150,6830,0,0,1,5,0,3,0,0,95,0,0,0,1,0,0,0,0,0,1,1,0,8,0,0,1,0,0,0,1,0,0,4,181,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,4,0,0
155,7064,1,0,0,28,2,3,2,0,96,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,5,151,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0
160,7297,3,0,0,25,2,7,2,1,89,0,0,0,2,1,0,0,0,1,2,3,1,0,0,0,1,0,0,0,2,0,1,6,141,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
165,7531,3,0,0,39,4,8,7,1,82,0,1,0,0,0,0,1,0,0,2,2,0,2,1,0,1,0,1,0,2,0,0,10,125,1,0,0,0,9,0,1,0,0,0,0,0,0,0,1,2,0,0
170,7765,4,0,2,46,5,12,6,4,93,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,14,99,1,1,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0,1
175,7998,3,0,0,62,0,9,2,1,106,1,0,0,2,0,0,0,0,0,3,3,0,2,0,0,0,0,1,0,0,0,1,25,76,1,0,0,1,4,0,2,0,0,0,0,0,0,0,0,1,0,0
180,8232,4,0,0,39,5,5,4,1,93,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,28,103,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,4,0,0
185,8466,2,0,0,49,0,5,4,1,124,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,3,0,0,35,66,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0
190,8699,3,0,0,53,6,6,4,1,74,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,4,47,83,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,4,0,0
195,8933,0,0,0,41,3,9,5,0,39,0,0,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,2,0,2,43,135,5,2,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0
200,9167,0,0,0,9,1,4,1,1,37,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,2,0,1,62,163,0,0,0,1,6,0,1,0,0,0,0,0,0,0,1,3,0,0
205,9205,0,0,0,6,4,12,8,1,40,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,2,0,3,76,120,1,0,0,0,14,0,2,0,0,0,0,0,1,0,0,3,0,0
210,9244,1,0,0,1,3,7,13,2,32,2,0,0,3,1,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,0,6,84,117,3,3,0,0,9,0,2,0,0,0,0,0,0,0,0,6,1,0
215,9283,1,0,1,1,11,7,16,3,27,1,0,2,11,1,0,0,0,0,1,1,0,5,0,0,1,0,3,0,0,0,7,51,129,1,1,0,0,16,0,0,0,0,0,0,0,1,0,0,8,0,0
220,9321,2,0,2,4,5,12,8,2,18,0,0,1,10,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,69,127,4,0,0,0,18,0,3,1,1,0,0,0,0,0,1,12,0,0
225,9360,0,0,1,6,2,6,15,3,20,4,0,1,20,0,1,3,0,1,4,5,0,4,0,0,1,0,2,0,0,0,9,42,106,9,1,1,1,20,0,3,1,0,0,0,0,0,0,0,22,1,0
230,9399,0,0,0,0,3,6,25,0,20,0,0,0,4,0,0,0,0,0,3,3,0,4,0,0,1,0,0,0,0,0,8,90,99,5,1,0,0,22,0,1,0,1,0,0,0,0,0,0,11,0,0
235,9437,1,0,1,0,5,15,23,0,6,3,0,0,14,0,0,0,0,1,2,3,0,11,0,0,0,0,1,0,0,0,10,86,106,0,2,0,2,17,0,1,0,0,0,0,0,1,0,0,5,0,0
240,9476,0,0,1,1,7,8,23,3,12,2,0,0,14,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,7,62,95,1,3,0,1,47,0,2,1,0,0,0,0,0,0,0,9,1,0
245,NA,0,0,1,1,9,5,14,0,4,2,0,7,46,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,7,45,89,2,19,0,2,16,0,5,0,0,0,0,0,0,0,0,27,0,0
250,NA,0,0,0,1,4,11,22,2,12,0,0,1,34,1,0,0,0,0,5,5,0,16,0,0,3,0,0,0,0,0,6,14,101,3,28,0,4,22,0,6,1,1,0,2,0,0,0,0,23,1,0
