"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Ambrosia.type","Betula","Cannabaceae","Carya","Castanea","Cephalanthus","Corylus","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Thalictrum","Tilia","Tsuga","Ulmus","Xanthium","Alnus","Myrica","Poaceae","Abies","Acer.undiff.","Artemisia","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Salix","Populus","Rosaceae","Rhus","Larix","Nyssa","Ranunculaceae.undiff.","Morus","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Plantago","Ericaceae","Shrubs.undiff.","Taxus","Urtica.type","Viburnum","Salsola","Rhamnaceae","Juglans.nigra","Galium","Liquidambar","Rhamnaceae.Vitaceae.undiff.","Sambucus","Sarcobatus.vermiculatus","Celtis","Acer.negundo"
4,NA,633,21,7,2,3,123,1,16,28,1,2,60,7,9,1,2,17,5,1,3,41,2,184,2,2,59,10,1,12,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NA,365,2,1,2,0,51,0,10,29,0,1,31,5,8,0,0,7,3,2,5,37,0,89,0,1,44,3,0,10,1,1,1,7,1,1,1,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,365,6,0,0,0,55,0,6,23,0,0,30,3,8,0,2,13,1,0,7,50,0,97,0,0,41,5,0,10,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1789,639,13,7,2,0,90,0,22,13,0,2,51,8,6,0,0,10,3,1,16,94,2,158,1,0,80,8,0,39,0,3,0,0,0,0,0,6,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2219,569,11,3,2,1,79,0,11,15,0,1,64,3,5,1,2,12,0,1,6,80,4,143,1,2,87,6,0,20,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2541,373,11,4,1,0,46,0,3,7,0,0,48,5,4,1,0,11,2,0,7,53,2,89,0,1,46,6,0,13,1,1,1,2,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2689,557,12,1,0,1,54,0,10,9,0,0,51,11,7,2,1,15,0,1,30,95,5,147,0,2,67,12,0,16,0,0,0,0,0,0,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2867,544,19,7,2,2,49,0,20,8,0,1,69,11,10,0,0,18,1,2,14,70,6,151,0,1,39,10,0,22,0,0,0,0,1,0,0,6,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3000,382,11,3,1,0,36,0,8,2,0,0,58,6,1,0,2,11,1,3,17,45,1,122,1,1,23,5,0,9,0,0,0,1,0,0,4,2,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,3247,696,17,8,0,2,74,0,21,0,1,3,82,16,12,0,2,23,1,3,13,71,2,244,3,0,31,18,1,28,0,1,1,0,1,0,3,2,0,0,8,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
