"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Amaranthaceae","Poaceae","Oxyria.digyna","Tsuga","Plantago","Ulmus","Fabaceae","Fraxinus","Quercus","Thalictrum","Myrica","Epilobium","Larix","Rosaceae.undiff.","Rubus.chamaemorus","Ostrya","Populus","Cornus.canadensis","Acer","Rubiaceae","Platanus","Abies","Caryophyllaceae","Saxifragaceae","Brassicaceae","Fagus","Rumex"
0,7,544,4,246,1,2,64,30,98.5,9,1,7.5,3,2,2,4,53,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,651,566,15,201,0,1,79,32,132.5,2,0,0.5,10,11,2,5,59,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1081,549.5,16,196,0,2,55,32,142,11,0,0.5,7,7,2,3,62,1,10,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1510,573.5,8,221,0,3,55,30,149,3,0,0.5,3,5,2,6,73,0,8,0,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2154,566.5,8,197,1,8,39,25,172,13,1,3.5,4,5,3,1,76,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2324,670,10,201,0,4,50,30,272,7,0,2,4,5,4,5,62,0,5,0,0,1,0,0,0,0,1,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
30,2449,629,10,230,0,4,35,34,223.5,9,0,2.5,1,5,3,2,56,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,2533,493.5,5,183,0,4,28,22,157,6,0,0.5,2,4,3,0,74,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2658,699,13,278,0,5,41,31,175,11,0,5,9,4,6,2,106,1,8,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
46,2784,606.5,8,229,0,5,35,14,223,8,2,0.5,4,1,2,0,62,2,5,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
50,2867,560.5,8,222,0,3,40,23,148.5,6,1,2,7,7,4,2,77,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
56,2993,638.5,8,234,0,1,34,29,223,6,0,0.5,6,5,2,2,79,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
60,3076,750,12,266,0,3,48,35,205,11,0,1,7,1,5,5,134,2,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3160,709.5,10,288,0,4,30,27,168.5,6,1,0,6,2,7,4,137,1,15,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,3645,488,6,156,0,3,31,30,129,6,0,1,4,1,1,5,107,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,4202,836,9,271,0,1,47,27,181,8,0,3,7,2,13,7,246,2,7,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,4573,723,9,285,0,0,29,24,129.5,7,1,2.5,7,5,8,7,198,2,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
84,4944,587,9,211,0,1,41,22,102.5,3,0,0.5,10,5,6,4,158,1,10,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5501,667.5,5,252,0,1,20,35,89,3,1,2.5,10,4,7,0,223,3,7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
94,5873,539,5,207,0,1,18,27,85,1,0,0,8,2,5,2,168,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6083,792,16,215,0,2,46,39,124,14,1,2,9,5,8,3,284,4,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,6177,724.5,7,314,0,2,29,25,81,1,0,0.5,9,1,6,6,224,2,13,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6319,709,10,281,0,1,42,38,96.5,5,0,0.5,8,5,3,3,205,0,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,6413,499,7,181,0,1,37,17,65.5,0,0,1.5,10,2,1,3,158,1,11,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6554,714,10,318,0,0,32,19,66.5,6,2,1.5,11,1,10,4,216,0,11,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,6649,659.5,6,264,0,0,63,21,73.5,2,0,0,16,4,5,3,187,3,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,6790,526.5,14,187,0,3,67,14,59.5,6,0,3,20,1,5,2,130,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,6931,518,21,88,0,2,105,10,117.5,5,0,0.5,24,1,4,3,118,3,10,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
140,NA,516,30,90,0,1,92,7,123,8,0,1,30,3,2,6,99,4,13,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
144,NA,559,26,88,0,4,86,4,123,6,4,5,31,3,7,16,114,11,21,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
