"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.undiff.","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Acer.saccharum","Impatiens","Platanus","Tilia","Apiaceae","Zea.mays","Fraxinus.americana.type","Plantago","Caryophyllaceae","Cupressaceae","Asteraceae.subf..Cichorioideae","Rumex","Shepherdia.canadensis","Xanthium","Brassicaceae","Abies","Corylus","Sarcobatus.vermiculatus","Rosaceae","Fraxinus.nigra","Myrica","Larix","Thalictrum","Acer.rubrum","Celtis","Ranunculus"
260,1768,478,0,0,8,3,0,30,24,3,245,0,0,3,1,30,0,17,1,5,0,2,0,93,0,5,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
270,1838,969,0,0,20,5,0,54,21,4,711,3,0,1,1,45,0,18,1,13,0,4,0,49,0,10,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
280,1907,323,0,1,17,8,0,54,17,3,65,1,0,5,0,37,0,13,0,14,0,0,0,73,0,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
290,1976,209,0,0,4,4,0,6,5,2,1,1,0,2,0,17,0,18,0,7,0,0,0,124,0,9,0,3,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
300,2045,241,0,0,3,4,9,27,6,2,0,0,0,2,2,20,0,18,0,7,0,0,2,119,0,15,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
310,2110,210,0,0,4,1,2,5,3,0,2,0,0,0,2,14,0,51,1,9,0,0,0,83,0,26,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
320,2170,212,0,0,9,0,1,2,0,2,1,1,0,1,4,13,0,10,4,9,0,2,1,81,0,44,0,0,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
340,2292,104,0,0,2,0,0,3,0,0,1,0,0,2,1,9,0,2,0,13,2,0,0,25,0,31,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,2413,102,0,0,5,0,0,0,0,0,1,0,1,0,2,5,0,3,0,5,0,0,2,50,0,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,2777,103,0,0,7,0,0,0,0,0,2,0,0,1,2,6,0,5,0,3,0,0,0,47,0,16,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,2898,111,0,0,0,0,2,2,0,1,3,0,0,0,2,6,0,6,0,2,0,0,1,40,0,26,3,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,3019,107,0,0,3,0,0,1,0,0,2,0,0,0,5,4,0,3,0,3,0,0,4,44,0,27,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,3140,106,0,0,0,0,0,2,0,0,1,0,0,0,5,5,0,3,1,4,0,0,2,49,0,23,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,3201,209,0,0,4,4,0,3,2,0,2,0,0,1,3,7,0,14,3,6,0,1,2,128,0,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
500,3262,208,0,0,1,0,1,3,2,0,0,1,0,0,7,8,0,17,3,4,0,0,0,126,0,21,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,3322,207,0,0,0,2,1,3,3,2,0,0,0,0,5,6,1,21,0,3,0,0,1,116,0,27,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
520,3383,213,0,0,4,3,1,6,5,0,5,1,0,1,2,8,0,26,0,17,0,0,1,93,0,27,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,3443,210,0,0,4,1,2,2,32,4,0,2,0,2,3,12,0,26,1,61,0,0,0,31,0,15,0,1,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
540,3504,213,0,0,7,4,1,6,46,2,2,4,0,6,5,23,0,16,2,13,0,3,0,36,0,16,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
550,3565,205,0,0,7,2,0,0,25,2,1,5,0,3,1,24,0,21,0,14,0,0,0,72,0,6,0,2,16,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
560,3625,199,0,0,19,6,0,1,15,4,0,5,0,4,0,27,0,23,0,48,2,2,0,29,0,2,0,1,5,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
570,3686,208,0,0,5,4,0,0,20,3,4,6,0,4,1,27,0,21,1,22,0,0,0,51,0,19,0,1,12,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
590,NA,203,0,0,4,3,0,0,29,1,1,2,0,16,2,41,0,33,0,16,1,1,0,12,0,31,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
