"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Celtis","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dalea","Ephedra","Ericaceae","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Impatiens","Indeterminable","Iva.annua.type","Iva.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.undiff.","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium.type","Malvaceae","Menyanthes.trifoliata","Morus","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polemoniaceae","Polygonaceae.undiff.","Populus","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
1040,13051,7,0,0,0,1,61,4,2,0,0,16,5,0,0,79,0,0,0,0,3,0,13,1,9,0,0,0,0,15,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,13,55,1,0,4,0,0,13,0,0,0,12,0,0,1,0,0,0,0,0,0,2,0,0,0,18,1
1050,13886,16,0,0,0,0,50,3,1,0,0,14,2,0,0,57,0,0,0,0,0,0,3,0,4,0,0,0,0,8,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,110,0,0,8,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,19,3
1060,14380,1,0,0,0,0,33,3,12,0,0,25,4,1,0,25,0,4,1,1,0,0,3,0,10,0,0,0,0,18,2,0,0,0,2,1,0,3,0,0,0,4,0,0,0,0,0,0,0,13,121,0,0,2,0,0,20,0,0,0,14,0,0,0,0,4,1,0,0,2,0,0,0,2,9,2
1070,14874,5,0,0,0,0,3,2,23,0,0,24,3,0,0,4,0,2,0,0,0,0,2,0,7,0,0,0,0,49,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,145,0,0,4,0,0,12,0,0,0,8,0,0,0,0,4,1,0,0,4,0,0,0,0,6,4
1090,15862,8,0,0,0,0,2,2,40,0,0,14,6,0,0,1,0,3,0,0,0,0,4,0,15,0,0,0,0,26,2,0,0,0,1,0,0,4,0,0,0,5,0,0,0,0,0,0,0,6,161,0,1,0,0,0,19,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0
1100,16357,4,0,0,0,0,3,2,46,0,0,16,4,0,0,15,0,4,0,0,0,0,4,2,21,0,0,0,0,18,4,7,0,0,3,0,0,0,0,0,0,6,0,0,1,0,0,0,0,15,120,0,0,4,0,0,13,0,0,0,11,0,0,1,0,1,3,0,0,2,0,0,0,0,4,0
1110,16851,8,0,0,0,2,5,2,23,0,1,11,4,0,0,13,0,2,0,0,0,0,2,0,1,0,0,0,1,30,1,0,0,0,1,1,0,1,0,0,0,7,0,0,0,0,0,0,0,4,168,1,0,0,0,0,6,0,0,0,23,0,0,1,0,0,0,0,1,1,0,0,0,0,5,0
1120,NA,1,0,0,0,2,4,0,11,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,10,0,0,0,0,17,2,0,1,0,3,0,0,2,0,0,0,10,0,0,0,0,0,0,0,6,216,0,0,0,0,0,5,0,0,0,6,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0
1130,NA,10,0,0,0,2,3,0,13,0,0,9,0,0,0,20,0,0,0,0,0,0,1,0,4,0,0,0,0,8,1,0,0,0,20,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,212,0,0,2,0,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
1140,NA,2,0,0,0,1,2,2,3,0,0,24,4,0,0,1,0,0,0,1,0,0,0,1,16,0,0,0,0,6,0,0,0,0,17,1,0,0,0,0,2,15,0,0,0,0,0,0,0,4,203,2,0,4,0,0,3,0,0,0,6,0,0,0,0,5,1,1,0,2,0,0,0,0,0,2
1150,NA,1,0,0,0,0,1,2,5,0,0,35,7,0,0,1,1,0,0,0,0,0,0,2,18,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1,178,3,0,3,0,0,24,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1160,NA,2,0,0,0,0,6,0,3,0,0,25,9,1,0,3,1,1,0,0,0,0,0,3,29,0,0,1,0,1,0,0,1,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,164,0,0,6,0,0,26,0,0,0,1,0,0,0,0,3,0,4,0,5,0,0,0,0,1,7
